"metadata_ESTCID,""Freq"",""TotalLength"""
"T138709,""2"",""1411881"""
"T033584,""2"",""18426"""
"T064267,""2"",""89486"""
"N040759,""2"",""353124"""
"N019842,""2"",""21963"""
"T124105,""4"",""118455"""
"T011210,""4"",""178911"""
"N004929,""2"",""25695"""
"T090432,""2"",""1048592"""
"T125258,""2"",""22136"""
"T140376,""2"",""18330"""
"T110582,""2"",""38530"""
"P002572,""6"",""262673"""
"T160906,""2"",""18914"""
"T150137,""2"",""123396"""
"T003137,""2"",""4044"""
"T046564,""4"",""17290"""
"T164236,""2"",""123358"""
"T121072,""2"",""2766"""
"N011120,""4"",""123287"""
"T081254,""2"",""53041"""
"T035304,""2"",""4666"""
"T064311,""2"",""93474"""
"T099478,""2"",""118644"""
"T112929,""2"",""22158"""
"T121417,""2"",""122375"""
"T164702,""2"",""25622"""
"T018621,""2"",""29928"""
"T098052,""2"",""73093"""
"T178294,""2"",""17692"""
"T055021,""2"",""25051"""
"T180948,""2"",""46926"""
"T136063,""4"",""73423"""
"T185116,""2"",""15981"""
"T077751,""2"",""16500"""
"T050908,""2"",""43855"""
"T149491,""2"",""117280"""
"T118043,""2"",""16803"""
"N010903,""2"",""17908"""
"T143962,""2"",""17294"""
"T188746,""6"",""2631"""
"T051707,""6"",""47584"""
"T146092,""2"",""72910"""
"N026832,""2"",""4674"""
"T148502,""2"",""10858"""
"T145739,""4"",""167901"""
"N003703,""2"",""85742"""
"T139449,""2"",""23804"""
"T073185,""2"",""7438"""
"T054388,""2"",""86306"""
"T097921,""2"",""4112"""
"N001743,""14"",""17026"""
"N018727,""2"",""23692"""
"T072352,""2"",""42010"""
"T050874,""2"",""16827"""
"T070201,""2"",""7428"""
"T122066,""4"",""86527"""
"T046335,""2"",""4351"""
"T145739,""4"",""167871"""
"T131033,""2"",""82125"""
"P005964,""2"",""118509"""
"T049618,""2"",""21856"""
"W019245,""2"",""21470"""
"T088129,""2"",""16535"""
"T094090,""2"",""66643"""
"T085261,""32"",""1073009"""
"T109935,""4"",""66738"""
"N022589,""2"",""71673"""
"T061858,""2"",""46468"""
"T001050,""2"",""2741"""
"N066661,""2"",""17028"""
"T063266,""2"",""49583"""
"T084302,""2"",""10495"""
"T047490,""4"",""33085"""
"T170063,""2"",""36484"""
"T132944,""2"",""22260"""
"T173291,""2"",""134623"""
"N019018,""2"",""66065"""
"N004409,""2"",""11226"""
"T100408,""6"",""43758"""
"T032251,""2"",""8674"""
"N011457,""2"",""16787"""
"N023603,""2"",""8690"""
"T145969,""2"",""49343"""
"N047883,""4"",""169849"""
"T126886,""2"",""4133"""
"T004154,""2"",""16400"""
"T188569,""2"",""103830"""
"T103452,""2"",""11933"""
"N010786,""2"",""17748"""
"N025268,""2"",""5191"""
"N001520,""14"",""16488"""
"T197202,""2"",""2637"""
"T145987,""2"",""123343"""
"N026646,""2"",""19055"""
"T144586,""2"",""93667"""
"T041374,""2"",""17507"""
"T135524,""2"",""111462"""
"T051451,""2"",""10911"""
"T096311,""2"",""16823"""
"T116250,""2"",""23777"""
"T125076,""2"",""16980"""
"N006879,""2"",""119233"""
"T090148,""2"",""176923"""
"T220426,""2"",""1227"""
"T225974,""2"",""10942"""
"P003413,""4"",""343554"""
"T050765,""2"",""29181"""
"T163467,""2"",""23062"""
"T200948,""4"",""11136"""
"T140556,""2"",""85928"""
"T177179,""2"",""30186"""
"T057526,""2"",""24176"""
"T044913,""2"",""29238"""
"T120750,""2"",""19923"""
"T095382,""2"",""102429"""
"T117698,""2"",""118753"""
"T146850,""2"",""88050"""
"T054585,""2"",""73477"""
"T112764,""2"",""140564"""
"T026830,""2"",""18279"""
"T200931,""2"",""272539"""
"T106271,""4"",""16495"""
"P002115,""2"",""17945"""
"T062150,""2"",""42083"""
"T208248,""2"",""16476"""
"N050173,""2"",""266624"""
"T037761,""2"",""49308"""
"T110944,""4"",""17326"""
"T145739,""4"",""116637"""
"P003413,""4"",""264045"""
"T166796,""2"",""89491"""
"T139308,""2"",""7307"""
"N019001,""2"",""14631"""
"T127963,""2"",""84155"""
"T056054,""4"",""21871"""
"T176027,""2"",""6179"""
"T145739,""4"",""116637"""
"T213497,""2"",""265059"""
"T187755,""2"",""4555"""
"T182863,""4"",""3366"""
"T005814,""2"",""15033"""
"T088232,""2"",""24716"""
"T124828,""2"",""38584"""
"T109052,""8"",""92168"""
"T106211,""4"",""4263"""
"N007127,""2"",""78143"""
"T221396,""6"",""173015"""
"T048421,""2"",""23254"""
"T184486,""2"",""10539"""
"T186762,""2"",""32199"""
"T116318,""2"",""6785"""
"T130954,""2"",""17089"""
"T166922,""4"",""21853"""
"T110087,""2"",""23307"""
"T005786,""4"",""197493"""
"T109345,""2"",""86477"""
"T145739,""6"",""167871"""
"T140553,""6"",""4106"""
"T121047,""2"",""22946"""
"T145739,""4"",""116637"""
"T053755,""4"",""17601"""
"T010293,""2"",""16924"""
"T208203,""2"",""10578"""
"T092109,""2"",""172057"""
"T031537,""2"",""8397"""
"T089918,""2"",""85958"""
"T150033,""2"",""4195"""
"T132604,""2"",""17186"""
"T071919,""2"",""20685"""
"P002031,""2"",""75960"""
"T142618,""2"",""4855"""
"T054552,""2"",""5559"""
"T140774,""2"",""87229"""
"T088284,""2"",""7385"""
"T038568,""2"",""31094"""
"T175904,""2"",""17933"""
"T084022,""2"",""11188"""
"W028705,""2"",""21838"""
"N015725,""2"",""86353"""
"W013562,""2"",""95853"""
"T081615,""2"",""11234"""
"T005837,""2"",""16511"""
"P006031,""2"",""179764"""
"T108843,""6"",""46586"""
"N015437,""2"",""17077"""
"T133958,""2"",""190949"""
"T038567,""2"",""23078"""
"T088372,""2"",""87035"""
"T046790,""4"",""7636"""
"T118984,""2"",""4200"""
"T085791,""8"",""43499"""
"T127968,""2"",""23325"""
"T145739,""4"",""115479"""
"T002847,""2"",""22804"""
"T193720,""2"",""120874"""
"T107741,""4"",""66738"""
"T095746,""2"",""10776"""
"N009127,""2"",""99773"""
"T036347,""2"",""179701"""
"T085430,""4"",""65936"""
"T113802,""2"",""66237"""
"T080193,""4"",""123753"""
"T053058,""2"",""8641"""
"T144147,""8"",""174362"""
"T134585,""2"",""672609"""
"N000123,""2"",""87245"""
"T128479,""4"",""118479"""
"T039873,""2"",""66879"""
"T022997,""2"",""10501"""
"T132549,""4"",""23155"""
"T084963,""2"",""30069"""
"T078173,""2"",""25994"""
"T119094,""2"",""4700"""
"T054654,""2"",""21801"""
"N008422,""2"",""69845"""
"T131993,""2"",""90461"""
"P002572,""4"",""119262"""
"T147252,""2"",""79310"""
"T113395,""8"",""4112"""
"N010052,""2"",""67332"""
"T131954,""2"",""98906"""
"T144332,""4"",""23917"""
"N018146,""2"",""87084"""
"T153275,""2"",""24199"""
"T051025,""2"",""4432"""
"N033258,""6"",""69716"""
"N016941,""2"",""284588"""
"T186889,""4"",""85674"""
"T107340,""38"",""127170"""
"T113231,""2"",""22330"""
"N024578,""4"",""117745"""
"T109334,""4"",""43401"""
"N015693,""4"",""529854"""
"T078977,""2"",""102439"""
"T140787,""4"",""262285"""
"T071888,""2"",""43099"""
"T106230,""4"",""119556"""
"N020132,""2"",""198066"""
"T121786,""4"",""118148"""
"T136038,""4"",""96854"""
"T040980,""2"",""29816"""
"T135771,""2"",""87060"""
"N004948,""2"",""29931"""
"T144458,""2"",""47394"""
"T117715,""4"",""85690"""
"T139624,""2"",""92752"""
"T177160,""4"",""88311"""
"T080702,""2"",""31345"""
"T059408,""2"",""49343"""
"T113454,""4"",""33347"""
"T131649,""2"",""70029"""
"T118916,""2"",""91685"""
"P002572,""2"",""266314"""
"T074517,""4"",""43882"""
"P002572,""4"",""266570"""
"T055020,""2"",""25051"""
"P002028,""4"",""511613"""
"W028887,""4"",""15213"""
"T195286,""2"",""21779"""
"T160848,""4"",""584366"""
"T117440,""8"",""81243"""
"T110018,""2"",""11186"""
