original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
8⁰.	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	3321
4⁰.	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	1875
12⁰.	12mo	NA	NA	FALSE	12mo	12.5	19.0	 0	 237.50	1490
2⁰.	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	1148
1/2⁰.	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	 723
1⁰.	1to	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	 345
1/4⁰.	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	 171
?⁰.	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	 110
NA	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	  97
18⁰.	18mo	NA	NA	FALSE	18mo	10.0	16.0	 0	 160.00	  45
1/8⁰.	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	  45
16⁰.	16mo	NA	NA	FALSE	16mo	12.0	15.0	 0	 180.00	  34
24⁰.	24mo	NA	NA	FALSE	24mo	 8.5	12.5	 0	 106.25	  33
4⁰	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	  33
4°.	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	  29
broadsheet	1to	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	  21
obl. 1⁰.	1to	NA	NA	 TRUE	2fo	45.0	30.0	 1	1350.00	  20
obl. 1/2⁰.	2fo	NA	NA	 TRUE	2fo	45.0	30.0	 1	1350.00	  19
obl.1/2⁰.	2fo	NA	NA	 TRUE	2fo	45.0	30.0	 1	1350.00	  18
8⁰	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	  15
32⁰.	32mo	NA	NA	FALSE	32mo	 7.0	12.0	 0	  84.00	  14
12⁰	12mo	NA	NA	FALSE	12mo	12.5	19.0	 0	 237.50	  13
quarto [fewer than 50 pages]	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	  12
2⁰	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	  12
1/12⁰.	12mo	NA	NA	FALSE	12mo	12.5	19.0	 0	 237.50	   9
1/2⁰	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   9
17 cm.	NA	NA	17.0	FALSE	NA	12.0	17.0	NA	 204.00	   8
18 cm.	NA	NA	18.0	FALSE	NA	12.0	18.0	NA	 216.00	   8
obl.4⁰.	4to	NA	NA	 TRUE	4to	28.0	22.0	 1	 616.00	   7
quarto	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	   7
21 cm.	NA	NA	21.0	FALSE	NA	14.0	21.0	NA	 294.00	   6
1/fol.	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   6
octavo	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	   5
34 x 21 cm.	NA	21	34.0	FALSE	2fo	21.0	34.0	 0	 714.00	   5
21 cm (8⁰)	8vo	NA	21.0	FALSE	8vo	14.0	21.0	 0	 294.00	   5
obl. 1/4⁰.	4to	NA	NA	 TRUE	4to	28.0	22.0	 1	 616.00	   5
long 24⁰.	24long	NA	NA	FALSE	24long	 9.5	14.0	 0	 133.00	   5
obl.2⁰.	2fo	NA	NA	 TRUE	2fo	45.0	30.0	 1	1350.00	   5
16 cm.	NA	NA	16.0	FALSE	NA	11.0	16.0	NA	 176.00	   5
4.̊	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	   4
35 x 22 cm.	NA	22	35.0	FALSE	2fo	22.0	35.0	 0	 770.00	   4
19 cm.	NA	NA	19.0	FALSE	NA	13.0	19.0	NA	 247.00	   4
obl.8⁰.	8vo	NA	NA	 TRUE	8vo	19.0	13.0	 1	 247.00	   4
s.sh.fol.	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   4
1/16⁰.	16mo	NA	NA	FALSE	16mo	12.0	15.0	 0	 180.00	   4
folio	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   4
duodecimo	12mo	NA	NA	FALSE	12mo	12.5	19.0	 0	 237.50	   3
1⁰	1to	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   3
35 x 21 cm.	NA	21	35.0	FALSE	2fo	21.0	35.0	 0	 735.00	   3
obl.1/4⁰.	4to	NA	NA	 TRUE	4to	28.0	22.0	 1	 616.00	   3
64⁰.	64mo	NA	NA	FALSE	64mo	 5.0	 7.0	 0	  35.00	   3
34 x 22 cm.	NA	22	34.0	FALSE	2fo	22.0	34.0	 0	 748.00	   3
folio [fewer than 50 pages]	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   3
33 cm.	NA	NA	33.0	FALSE	2fo	22.0	33.0	 0	 726.00	   3
22 cm.	NA	NA	22.0	FALSE	8vo	15.0	22.0	 0	 330.00	   3
obl.1/8⁰.	8vo	NA	NA	 TRUE	8vo	19.0	13.0	 1	 247.00	   3
?⁰	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   2
32 x 23 cm.	NA	23	32.0	FALSE	NA	23.0	32.0	NA	 736.00	   2
45 x 35 cm.	NA	35	45.0	FALSE	1to	35.0	45.0	 0	1575.00	   2
6⁰.	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   2
10 cm (16⁰)	16mo	NA	10.0	FALSE	16mo	 7.0	10.0	 0	  70.00	   2
20 cm. (4⁰)	4to	NA	20.0	FALSE	4to	17.0	20.0	 0	 340.00	   2
4⁰ in 8's.	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	   2
20 cm.	NA	NA	20.0	FALSE	NA	13.0	20.0	NA	 260.00	   2
long 12⁰.	12long	NA	NA	FALSE	12long	13.0	20.0	 0	 260.00	   2
26 x 20 cm.	NA	20	26.0	FALSE	4to	20.0	26.0	 0	 520.00	   2
44 cm.	NA	NA	44.0	FALSE	NA	29.0	44.0	NA	1276.00	   2
21 cm (4⁰)	4to	NA	21.0	FALSE	4to	17.0	21.0	 0	 357.00	   2
38 x 31 cm.	NA	31	38.0	FALSE	NA	31.0	38.0	NA	1178.00	   2
10 cm.	NA	NA	10.0	FALSE	16mo	 7.0	10.0	 0	  70.00	   2
obl.1/12⁰.	12mo	NA	NA	 TRUE	12mo	19.0	12.5	 1	 237.50	   2
16⁰ in 8's.	16mo	NA	NA	FALSE	16mo	12.0	15.0	 0	 180.00	   2
1/2.	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   2
long 12⁰	12long	NA	NA	FALSE	12long	13.0	20.0	 0	 260.00	   2
