gatherings	physical_extent	estimated_pagecount	Count
Total count (na.rm TRUE): 	416		
8vo	8p.	96	3
4to	1 sheet	100	3
8vo	1 sheet	96	3
NA	4p.	NA	2
4to	24p.	100	2
8vo	2v.	96	2
2fo	44p.	100	2
2fo	2v.	100	2
8vo	1 sheet	360	2
8vo	32p.	96	2
12mo	2v.	100	2
8vo	23,[1]p.	96	2
2fo	1 sheet	100	2
8vo	16p.	96	2
NA	[2],4p.	NA	1
2fo	2v.	NA	1
1to	45[i.e.49],[1]p.	1318	1
12mo	16p.	100	1
2fo	[4]p.	184	1
8vo	100p.	1558	1
8vo	24p.	452	1
8vo	[4],152p.,plates	NA	1
2fo	16p.	310	1
2fo	12p.	490	1
8vo	[2], v, [1], 20 p.	96	1
12mo	15,[1]p.	100	1
2fo	2v.	1061	1
12mo	[2],106p.,tables	100	1
4to	iv,35,[1]p.	791	1
8vo	v,[3],124,[4]p.	588	1
2fo	43,[1]p.	100	1
2fo	166,[6]p.	184	1
4to	15,[1]p.	100	1
NA	[14],114,[2]p.	NA	1
8vo	viii,46,[2],25,[1]p.	96	1
4to	[24],416p.,plates	2348	1
4to	[4],100p.	100	1
8vo	[1],51p.	490	1
2fo	viii,93,[1]p.,plates	100	1
2fo	53,[1],2p.	2537	1
NA	43,[1]p.,plates	NA	1
8vo	52p.,plate	4066	1
2fo	32p.	504	1
12mo	348p.,plates	560	1
18mo	[20]p.,8 plates	986	1
4to	[4],47,[1]p.	100	1
8vo	[2],5-22p.	96	1
8vo	[4],292p.	96	1
4to	[2],50p.,plate	384	1
8vo	[2],ix,[3],106p.	734	1
2fo	22,[2]p.	1676	1
NA	[4],24p.	NA	1
12mo	xii,246,[2]p.	100	1
2fo	[4],80p.	622	1
12mo	[2],ii,63,[5]p.	100	1
12mo	viii,[16],381,[1]p.,plate	330	1
12mo	1sheet	450	1
2fo	96p.,plate	100	1
4to	[10],470p.	552	1
4to	[4],124p.	567	1
8vo	[16],142p.	720	1
2fo	[2],22p.	184	1
2fo	6p.	100	1
4to	4p.	100	1
8vo	[2],17,[1]p.	96	1
8vo	72p.	96	1
4to	[2],20,[2]p.	1129	1
8vo	12p.	96	1
8vo	[10],33,[1]p.	360	1
