author.unique	publication.title	n
NA	A declaration of the Lords and Commons assembled in Parliament	39
NA	A declaration of the Lords and Commons in Parliament	10
NA	His Majesties message to the Lords and Commons in Parliament, Sept. 5	7
NA	Two declarations of the Lords and Commons assembled in Parliament	6
NA	His Maiesties declaration to both Houses of Parliament	6
NA	His Maiesties declaration to all his loving subjects	6
NA	An ordinance and declaration of the Lords and Commons assembled in Parliament	6
NA	His Majesties declaration to all his loving subjects	5
NA	The humble petition of the Lords and Commons to the King	4
NA	The declaration and votes of both Houses of Parliament, concerning the magazine at Hull, and Sir Iohn Hotham governour thereof	4
NA	The answer of both Houses of Parliament, presented to His Majestie at York the ninth of May, 1642	4
NA	Prince Rupert his declaration	4
NA	His Majesties answer to the petition of the Lords and Commons in Parliament assembled	4
NA	His Maiesties two speeches	4
NA	His Maiesties message sent to the Parliament, April 8. 1642	4
NA	A replication of the Lords and Commons assembled in Parliament	4
NA	A remonstrance of the state of the kingdome	4
NA	A declaration and resolution of the Lords and Commons in Parliament	4
NA	A continuation of the true diurnall of passages in Parliament	4
ferne, h (1602-1662)	The resolving of conscience, upon this question	4
eglisham, george (1612-1642)	The fore-runner of revenge	4
calamy, edmund (1600-1666)	Englands looking-glasse	4
NA	Two letters from Rotterdam	3
NA	True intelligence from Ireland	3
NA	The vindication of the Parliament and their proceedings. Or, Their military designe proved loyall and legall	3
NA	The petition of the Lords and Commons in Parliament, delivered to His Majestie the 16. day of July	3
NA	The petition of both Houses of Parliament	3
NA	The ordinance and declaration of the Lords and Commons	3
NA	The humble petition of the Lords and Commons to the King, for leave to remove the magazine at Hull to the Tower of London	3
NA	The humble petition of the Lords and Commons in Parliament assembled, to the Kings most excellent Majesty	3
NA	The humble petition of the Lords and Commons assembled in Parliament	3
NA	The humble petition of the gentry and commons of the county of Yorke	3
NA	The English intelligencer	3
NA	The declaration of the Lords and Commons in Parliament assembled	3
NA	The declaration of the Lords and Commons assembled in the Parliament of England, to the subjects of Scotland	3
NA	Speciall passages and certain informations from severall places	3
NA	Reasons vvhy this kingdome ought to adhere to the Parliament	3
NA	His Majesties message to both Houses of Parliament, of the eleventh of Iuly. 1642	3
NA	His Majesties message to both Houses of Parliament, April 28. 1642	3
NA	His Majesties gracious message to both Houses of Parliament, sent from Nottingham the 25. of August, 1642	3
NA	His Majesties answer, to a printed book, intituled, A remonstrance, or the declaration of the Lords and Commons now assembled in Parliament, 26. May 1642	3
NA	His Maiesties declaration to all his loving subjects. Of August 12. 1642	3
NA	A true relation of the vnparalleld breach of Parliament	3
NA	A plea for moderation	3
NA	An abstract from Yorke of seven dayes passages, from the twenty-fourth of June to the first of July	3
NA	A frivolous paper, in forme of a petition	3
NA	A declaration and resolution of the Lords and Commons assembled in Parliament	3
