name	count
Shepherdstown WV	1139
Hamburg	914
Bolton	495
Port-au-Prince	427
Birmingham	196
Basseterre Saint Kitts	193
Belfast	170
The Hague	151
St Augustine Fl	120
Windsor	103
Savannah Ga	89
Liverpool	82
Shrewsbury	79
Blackburn	72
Newburyport Ma	62
Charleston SC	62
Niagara	60
Elizabeth NJ	60
Spanish Town	53
Kings Lynn	53
Bridgetown	51
Manchester	48
Leiden	48
Salem NY	45
Bath	45
Winchester	44
Sheffield	44
Exeter	42
Perth	38
Hereford	37
Alexandria Va	37
New York NY	35
Middelburg	35
Hannover	35
Londonderry	34
Leipzig	34
Basel	34
Ipswich	32
Cambridge Ma	32
Antwerp	30
Salisbury	28
Portsmouth	27
Berlin	27
Margate	25
New Brunswick NJ	20
Madras India	20
Haarlem	20
Chester	20
Bury St Edmunds	20
Pointe-A-Pitre	19
Chelmsford	19
Washington DC	18
Rodborough	18
Harlow	18
Newton NJ	17
Hertford	17
Bishopstone	17
Kilkenny	16
Lansingburgh NY	15
Waterford	14
Maidstone	14
Kingston	14
Charlottetown	14
St Omer	13
Coventry	13
Nassau	12
Leicester	12
Cork	12
Sherborne	11
Rutland Vt	11
Quebec	11
Greenfield Ma	11
Wakefield	10
Trevoux	10
Stamford	10
Charlottesville va	10
Carlisle	10
Burlington Vt	10
Royal Tunbridge Wells	9
Plymouth	9
Petersburg Va	9
Litchfield Ct	9
Hanover NH	9
Gloucester	9
Whitehaven	8
Salisbury Ma	8
Rouen	8
Montego Bay	8
Frankfurt	8
Caen	8
St John New Brunswick	7
Providence RI	7
Martinsburg va	7
Lincoln	7
Canterbury	7
Calcutta	7
Vevey	6
St Helier	6
Rotterdam	6
Montreal	6
Hull	6
Durham	6
Douai	6
Cologne	6
Colchester	6
Bath NY	6
Amherst NH	6
York Pa	5
Worcester	5
Warren RI	5
Reading	5
Northampton Ma	5
Newport RI	5
New London Ct	5
New Bedford Ma	5
Minorca	5
Louvain	5
Lancaster Pa	5
Fredicksburg Va	5
Devizes	5
Delft	5
Canterbury NH	5
Bottisham	5
Bern	5
Woodbridge NJ	4
Williamsburg Va	4
Wesel	4
St Johns Antiqua	4
St Eustatius	4
Poughkeepsie NY	4
Portsmouth NH	4
Nottingham	4
New Bern NC	4
Livorno	4
La rochelle	4
Hallowell Me	4
Halifax NS	4
Halifax	4
Gouda	4
Ghent	4
Germantown Pa	4
Fishkill NY	4
Ephrata Pa	4
Drogheda	4
Derby	4
Danvers Ma	4
Cincinnati Oh	4
Caerfyrddin	4
Burlington NJ	4
Bridgnorth	4
Bridgeton nj	4
Annapolis Md	4
Albany NY	4
Wrexham	3
Worcester Ma	3
Warrington	3
Vergennes vt	3
Verdun	3
Strasbourg	3
Stockbridge Ma	3
Stirling	3
St George	3
St Andrews	3
Springfield Ma	3
Saarbrucken	3
Roseau Dominica	3
Richmond Va	3
Newfield Ct	3
Newburgh NY	3
Newark NJ	3
Leeds	3
Keene NH	3
Hagerstown Md	3
Geneva	3
Galway	3
Frederick md	3
Elizabethtown Md	3
Dumfries	3
Doncaster	3
Darlington	3
Cirencester	3
Bury	3
Wolverhampton	2
Wilmington De	2
Walpole NH	2
Vienna	2
Utrecht	2
Strabane	2
St Pierre	2
St Ives	2
Stafford	2
Sligo	2
Schenectady NY	2
Salem NJ	2
Regensburg	2
Portland Me	2
Parr-Town	2
Paris KY	2
Northampton	2
Northallerton	2
Newry	2
Newport	2
Newark	2
Medford Ma	2
Mechelen	2
Marlborough	2
Liège	2
Leominster Ma	2
La Trinite	2
Koningsberg	2
Knoxville TN	2
Kingston NY	2
Kelso	2
Jacksonburgh sc	2
Hudson NY	2
Howden	2
Harrisburgh	2
Gothenburg	2
Gilmanton NH	2
Gainsborough	2
Fredericton	2
Evesham	2
Eton	2
Emden	2
Downpatrick	2
Dorchester	2
Concord NH	2
Concord Ma	2
Chillicothe Oh	2
Chelsea	2
Cap-Haitien	2
Caernarfon	2
Burnley	2
Brookfield Ma	2
Boston england	2
Bombay	2
Bennington Vt	2
Amwythig	2
Altona	2
Alnwick	2
Abbeville	2
Yeovil	1
Yarmouth	1
Wokingham	1
Winterthur	1
Windham Ct	1
Winchester salisbury england	1
Wilmington NC	1
Weymouth	1
Wexford	1
West Springfield Ma	1
Washington Pa	1
Warwick	1
Walsall	1
Venice	1
USA	1
Trenton nj	1
Trenton	1
Trefeca	1
Stockton	1
St Mary's Md	1
St germans	1
Staunton Va	1
St Albans	1
South shields	1
Southampton	1
Siena	1
