author	author_gender	Count
A, 	NA	   46
A,  (1581-NA)	NA	    2
A,  (1621-NA)	NA	    1
Abbadie, Jacques (1654-1727)	ambiguous	    2
Abbot, George (1562-1633)	ambiguous	    1
Abbot, John (1743-1804)	NA	    1
Abelard, Peter (1079-1142)	NA	    2
Abell, Thomas (NA-1540)	NA	    1
Abercrombie, Robert (1712-1780)	ambiguous	    1
Abercromby, David (1702-NA)	ambiguous	    2
Abercromby, James (1747-NA)	NA	    1
Abercromby, Patrick (1656-1716)	NA	    2
Abernethy, John (1680-1740)	NA	    1
Abingdon, Willoughby Bertie (1740-1799)	ambiguous	    3
Ablancourt,  (1621-1696)	NA	    1
Abreu De Galindo, Juan De	ambiguous	    1
Abudacnus, Josephus	NA	    3
Accarias De Sérionne, Jacques (1706-1792)	ambiguous	    1
Acherley, Roger (1665-1740)	NA	    1
Aconcio, Iacopo (NA-1566)	NA	    3
Acres, Joseph (1667-1746)	ambiguous	    1
Acton, Samuel (NA-1740)	NA	    1
Adair, Robert (1763-1855)	ambiguous	    1
Adam-lauder, Helen	ambiguous	    1
Adams, Amos (1728-1775)	ambiguous	    4
Adams, Eliphalet (1677-1753)	male	    1
Adams, Fitz	NA	    1
Adams, Francis	ambiguous	    1
Adams, George (1750-1795)	ambiguous	    1
Adams, Hannah (1755-1831)	ambiguous	    1
Adams, John (1735-1826)	NA	    4
Adams, John (1750-1814)	NA	    3
Adamson, H (1581-1639)	NA	    1
Adamson, J	NA	    1
Adamson, Patrick (1537-1592)	NA	    9
Adams, Samuel (1722-1803)	NA	    1
Adams, Thomas (1586-1668)	NA	    3
Adams, William (1710-1798)	ambiguous	    1
Adams, Zabdiel (1739-1801)	male	    1
Addison, Joseph (1672-1719)	ambiguous	   29
Addison, Lancelot (1632-1703)	male	    5
Adis, Henry	ambiguous	    2
Adlerfeld, Gustavus (1671-1709)	NA	    2
Adolphus, Gustavus	NA	    1
Adolphus, John (1768-1845)	NA	    1
Adrichem, Christiaan Van (1533-1585)	ambiguous	    1
Aelfric, 	NA	    1
Agard, Arthur (1540-1615)	NA	    3
Agar, James	NA	    1
Agatharchides, 	NA	    1
Agricola, 	male	    5
Aickin, Joseph	ambiguous	    1
Aikin, John (1747-1822)	NA	    2
Ainsworth, Henry (1571-1622)	ambiguous	    3
Ainsworth, William (NA-1671)	ambiguous	    1
Aitken, James (1752-1777)	NA	    4
Aitzema, Lieuwe Van (1600-1669)	ambiguous	    1
Al-ʿafīf, Murtaḍā (1155-1237)	NA	    2
Alba, Fernando Alvarez De Toledo (1507-1582)	ambiguous	    1
Albemarle, George Monck (1608-1670)	ambiguous	   27
Albertus,  (1193-1280)	NA	    1
Albeville, 	NA	    1
Albin, John (1791-1800)	NA	    1
Aldworth, Richard	ambiguous	    1
Alembert, Jean Lerond D' (1717-1783)	ambiguous	    1
Alembert, Jean Le Rond D' (1717-1783)	ambiguous	    1
Aletheian, Ireneus	male	    1
Alexander,  (1610-1691)	ambiguous	    2
Alexander, A	NA	    1
Alexander, James (NA-1815)	NA	    2
Alexander, John	NA	    2
Alexander, William (1685-1704)	ambiguous	    1
Alexander, William (NA-1783)	ambiguous	    6
Alfred, 	NA	    1
Algarotti, Francesco (1712-1764)	NA	    3
Alison, Francis (1705-1779)	ambiguous	    1
Alison, Hugh (1740-1781)	NA	    1
Allāh, Salīm	NA	    1
Allan, George (1736-1800)	ambiguous	    1
Al-laṫ-if, àbd (1162-1231)	NA	    4
Allen, Charles (NA-1793)	ambiguous	    5
Allen, Ethan (1738-1789)	ambiguous	   11
Allen, Ira (1751-1814)	ambiguous	    8
Allen, James (1739-1808)	NA	    1
Allen, John	NA	    1
Allen, John (1741-1774)	NA	    7
Allen, John (1763-1812)	NA	    1
Allen, Paul (1775-1826)	ambiguous	    1
Allen, Richard (1640-1717)	ambiguous	    1
Allen, William (1532-1594)	ambiguous	    3
Allestree, Richard (1619-1681)	ambiguous	    1
Alle, Thomas	NA	    1
Alletz, Pons Augustin (1705-1785)	male	    5
Alleyne, John Gay (1724-1801)	ambiguous	    2
Alleyn, Thomas	NA	    2
Allibond, John (1597-1658)	NA	    1
Alline, Henry (1748-1784)	ambiguous	    1
Allington, John (NA-1682)	NA	    1
Allix, Pierre (1641-1717)	NA	    2
Allwood, Philip	NA	    1
Almon, John (1737-1805)	NA	   23
Alsop, Anthony (1672-1726)	NA	    1
Alsop, George (1638-NA)	ambiguous	    1
Alsop, Vincent (1630-1703)	NA	    6
Alsted, Johann Heinrich (1588-1638)	ambiguous	    1
Alton, 	ambiguous	    1
Alured, Matthew	ambiguous	    2
Alured, Thomas	NA	    1
Alves, Robert (1745-1794)	ambiguous	    1
Amadeus, Victor (1666-1732)	ambiguous	    1
Ambrose, Isaac (1604-1664)	NA	    1
Ambrose, John (1705-1771)	NA	    1
Ames, Joseph (1689-1759)	ambiguous	    2
Ames, Richard (NA-1693)	ambiguous	    2
Amherst, Jeffery (1717-1797)	NA	    2
Amhurst, N (1697-1742)	NA	    1
Amsterdam, Burgher	NA	    1
Amy, S	NA	    1
Anburey, Thomas	NA	    2
Ancell, Samuel (NA-1802)	NA	    7
Anderdon, John (1624-1685)	NA	    1
Anderson, Adam (1692-1715)	ambiguous	    4
Anderson, Aeneas	NA	    6
Anderson, George	ambiguous	    1
Anderson, Henry (1582-NA)	ambiguous	    2
Anderson, James (1589-NA)	NA	    1
Anderson, James (1662-1728)	NA	    2
Anderson, James (1680-1739)	NA	   13
Anderson, James (1739-1808)	NA	    5
Anderson, Walter (1723-1800)	ambiguous	    3
Anderton, James (1624-NA)	NA	    1
Anderton, William (NA-1693)	ambiguous	    2
André, John (1751-1780)	NA	    3
André, John (1751-1780)	NA	    8
Andrew, 	NA	    2
Andrewes, R	NA	    2
