original_name	original_date	final_author_id	final_author_birth	final_author_death	Count
Total count: 	15743				
Prynne, William	1600-1669.	Prynne, William (1600-1669)	1600	1669	129
Goldsmith, Oliver	1728-1774.	Goldsmith, Oliver (1728-1774)	1728	1774	121
Burke, Edmund	1729-1797.	Burke, Edmund (1729-1797)	1729	1797	 88
Defoe, Daniel	1661?-1731.	Defoe, Daniel (1661-1731)	1661	1731	 88
Gauden, John	1605-1662.	Gauden, John (1605-1662)	1605	1662	 79
Burnet, Gilbert	1643-1715.	Burnet, Gilbert (1643-1715)	1643	1715	 75
Rapin de Thoyras	1661-1725.	Thoyras, Rapin (1661-1725)	1661	1725	 74
Voltaire	1694-1778.	Voltaire,  (1694-1778)	1694	1778	 74
Fairfax, Thomas Fairfax	1612-1671.	Fairfax, Thomas (1612-1671)	1612	1671	 73
Robertson, William	1721-1793.	Robertson, William (1721-1793)	1721	1793	 73
Eutropius	active 4th century.	Eutropius, 	NA	NA	 67
Lilburne, John	1614?-1657.	Lilburne, John (1614-1657)	1614	1657	 63
Hume, David	1711-1776.	Hume, David (1711-1776)	1711	1776	 60
Otway, Thomas	1652-1685.	Otway, Thomas (1652-1685)	1652	1685	 59
Shakespeare, William	1564-1616.	Shakespeare, William (1564-1616)	1564	1616	 59
Marana, Giovanni Paolo	1642-1693.	Marana, Giovanni Paolo (1642-1693)	1642	1693	 58
Paine, Thomas	1737-1809.	Paine, Thomas (1737-1809)	1737	1809	 57
Price, Richard	1723-1791.	Price, Richard (1723-1791)	1723	1791	 54
Cromwell, Oliver	1599-1658.	Cromwell, Oliver (1599-1658)	1599	1658	 53
Wither, George	1588-1667.	Wither, George (1588-1667)	1588	1667	 51
Clarendon, Edward Hyde	1609-1674.	Clarendon, Edward Hyde (1609-1674)	1609	1674	 51
L'Estrange, Roger	1616-1704.	L'estrange, Roger (1616-1704)	1616	1704	 50
Echard, Laurence	1670?-1730.	Echard, Laurence (1670-1730)	1670	1730	 48
Raynal	1713-1796.	Raynal,  (1713-1796)	1713	1796	 47
Pym, John	1584-1643.	Pym, John (1584-1643)	1584	1643	 45
Walker, Clement	1595-1651.	Walker, Clement (1595-1651)	1595	1651	 44
Sallust	86 B.C.-34 B.C.	Sallust,  (-86--34)	30	44	 44
Vertot	1655-1735.	Vertot,  (1655-1735)	1655	1735	 44
Watson, Richard	1737-1816.	Watson, Richard (1737-1816)	1737	1816	 43
William	1650-1702.	William,  (1650-1726)	1650	1726	 41
Bolingbroke, Henry St. John	1678-1751.	Bolingbroke, Henry St John (1678-1751)	1678	1751	 41
Lockman, John	1698-1771.	Lockman, John (1698-1771)	1698	1771	 40
Milton, John	1608-1674.	Milton, John (1608-1674)	1608	1674	 39
Heylyn, Peter	1600-1662.	Heylyn, Peter (1600-1662)	1600	1662	 39
Shebbeare, John	1709-1788.	Shebbeare, John (1709-1788)	1709	1788	 39
Temple, William	1628-1699.	Temple, William (1628-1699)	1628	1699	 35
Strafford, Thomas Wentworth	1593-1641.	Strafford, Thomas Wentworth (1593-1641)	1593	1641	 35
Charles	1600-1649.	Charles,  (1600-1649)	1600	1649	 34
Gibbon, Edward	1737-1794.	Gibbon, Edward (1737-1794)	1737	1794	 34
Cobbett, William	1763-1835.	Cobbett, William (1763-1835)	1763	1835	 34
Arbuthnot, John	1667-1735.	Arbuthnot, John (1667-1735)	1667	1735	 33
Wesley, John	1703-1791.	Wesley, John (1703-1791)	1703	1791	 32
Jenkins, David	1582-1663.	Jenkins, David (1582-1663)	1582	1663	 31
Clare, John Fitzgibbon	1748-1802.	Clare, John Fitzgibbon (1748-1802)	1748	1802	 31
Oldmixon	1673-1742.	Oldmixon,  (1673-1742)	1673	1742	 31
Erskine, Thomas Erskine	1750-1823.	Erskine, Thomas (1698-1730)	1698	1730	 30
Leslie, Charles	1650-1722.	Leslie, Charles (1650-1722)	1650	1722	 30
Addison, Joseph	1672-1719.	Addison, Joseph (1672-1719)	1672	1719	 29
Jones, D	active 1676-1720.	Jones, D (1676-1720)	1676	1720	 29
Howell, James	1594?-1666.	Howell, James (1594-1666)	1594	1666	 28
James	1633-1701.	James,  (1633-1701)	1633	1701	 28
R. B	1632?-1725?.	R,  (1632-1725)	1632	1725	 28
Fox, William	active 1791-1813.	Fox, William (1791-1813)	1791	1813	 28
Dryden, John	1631-1700.	Dryden, John (1631-1700)	1631	1700	 28
Charles	1630-1685.	Charles,  (1650-1733)	1650	1733	 27
Rushworth, John	1612?-1690.	Rushworth, John (1612-1690)	1612	1690	 27
Camden, William	1551-1623.	Camden, William (1572-1644)	1572	1644	 26
Albemarle, George Monck	1608-1670.	Albemarle, George Monck (1608-1670)	1608	1670	 26
Ussher, James	1581-1656.	Ussher, James (1581-1656)	1581	1656	 26
Penn, William	1644-1718.	Penn, William (1644-1718)	1644	1718	 26
Galloway, Joseph	1731-1803.	Galloway, Joseph (1731-1803)	1731	1803	 26
Douglas, Eleanor	-1652.	Douglas, Eleanor (NA-1652)	NA	1652	 25
Nedham, Marchamont	1620-1678.	Nedham, Marchamont (1620-1678)	1620	1678	 24
Crouch, Nathaniel	1632?-1725?	Crouch, Nathaniel (1632-1752)	1632	1752	 24
Ferguson, Robert	-1714.	Ferguson, Robert (NA-1714)	NA	1714	 24
Prideaux, Humphrey	1648-1724.	Prideaux, Humphrey (1648-1724)	1648	1724	 24
Ward, Edward	1667-1731.	Ward, Edward (1667-1731)	1667	1731	 24
Smith, William	1727-1803.	Smith, William (1727-1803)	1727	1803	 24
Priestley, Joseph	1733-1804.	Priestley, Joseph (1733-1804)	1733	1804	 24
Steele, Richard	1672-1729.	Steele, Richard (1672-1729)	1672	1729	 24
Harper, Robert Goodloe	1765-1825.	Harper, Robert Goodloe (1765-1825)	1765	1825	 24
Johnson, R	1733 or 1734-1793.	Johnson, R (1640-1730)	1640	1730	 23
Taylor, John	1580-1653.	Taylor, John (1580-1653)	1580	1653	 23
Holles, Denzil Holles	1599-1680.	Holles, Denzil (1599-1680)	1599	1680	 23
