Name	Count
Total count: 	10094
j,	108
t,	 94
burke, edmund (1729-1797)	 89
gauden, john (1605-1662)	 81
josephus, flavius	 78
burnet, gilbert (1643-1715)	 75
fairfax, thomas (1612-1671)	 74
thoyras, rapin (1661-1725)	 74
w, (1521-na)	 64
lilburne, john (1614-1657)	 63
otway, thomas (1652-1685)	 59
paine, thomas (1737-1809)	 58
r,	 58
caesar, julius (1776-na)	 53
clarendon, edward hyde (1609-1674)	 51
l'estrange, roger (1616-1704)	 51
pym, john (1584-1643)	 45
vertot, (1655-1735)	 44
a,	 40
lockman, john (1698-1771)	 40
heylyn, peter (1600-1662)	 39
milton, john (1608-1674)	 39
shebbeare, john (1709-1788)	 39
e, (na-1655)	 36
strafford, thomas wentworth (1593-1641)	 35
gibbon, edward (1737-1794)	 34
n, (1689-na)	 34
r, (1632-1725)	 34
arbuthnot, john (1667-1735)	 33
m	 33
wesley, john (1703-1791)	 32
clare, john fitzgibbon (1748-1802)	 31
g,	 31
oldmixon, (1673-1742)	 31
s,	 31
erskine, thomas (1698-1730)	 30
h,	 30
jones, d (1676-1720)	 29
crouch, nathaniel (1632-1752)	 28
dryden, john (1631-1700)	 28
howell, james (1594-1666)	 28
james, (1633-1701)	 28
rushworth, john (1612-1690)	 27
ussher, james (1581-1656)	 26
holles, denzil (1599-1680)	 25
ward, edward (1667-1731)	 25
nedham, marchamont (1620-1678)	 24
p,	 24
prideaux, humphrey (1648-1724)	 24
bowdler, john (1746-1823)	 23
bowles, john (1751-1819)	 23
grotius, hugo (1583-1645)	 23
johnson, r (1640-1730)	 23
jordan, thomas (1612-1685)	 23
mather, cotton (1663-1728)	 23
taylor, john (1580-1653)	 23
watts, isaac (1674-1748)	 23
almon, john (1737-1805)	 22
selden, john (1584-1654)	 22
vicars, john (1588-1638)	 22
i,	 21
rupert, (1619-1682)	 21
stow, john (1555-1639)	 21
c, (1571-1622)	 20
campbell, john (na-1775)	 20
dury, john (1596-1680)	 20
blair, hugh (1718-1800)	 19
goodwin, john (1580-1655)	 19
hooke, n (1690-1763)	 19
may, thomas (1595-1650)	 19
pufendorf, samuel (1632-1694)	 19
suetonius, (1606-na)	 19
welwood, james (1652-1727)	 19
gifford, john (1758-1818)	 18
belhaven, john hamilton (1656-1708)	 17
dumouriez, charles-françois du périer (1739-1823)	 17
f,	 17
fairfax, ferdinando (1584-1648)	 17
lucan,	 17
murray, james (1732-1782)	 17
peters, hugh (1598-1660)	 17
shipley, jonathan (1714-1788)	 17
hutchinson, thomas (1711-1780)	 16
kennett, white (1660-1728)	 16
nalson, john (1638-1686)	 16
strype, john (1643-1737)	 16
swift, jonathan (1667-1745)	 16
dalrymple, john (1726-1810)	 15
fourcroy,	 15
freeholder	 15
ormonde, james butler (1610-1688)	 15
polybius,	 15
sprat, thomas (1635-1713)	 15
barruel, (1680-1744)	 14
byng, john (1704-1757)	 14
d,	 14
gordon, thomas (na-1750)	 14
james, elinor (1645-1719)	 14
l,	 14
marshall, stephen (1594-1655)	 14
mauduit, israel (1708-1787)	 14
price, john	 14
stuart, gilbert (1742-1786)	 14
trumbull, john (1783-1822)	 14
b, (1598-1663)	 13
bancks, john (1709-1751)	 13
bethel, slingsby (1616-1679)	 13
brissot de warville, j -p (1754-1793)	 13
castellion, sébastien (1515-1563)	 13
frederick, (1712-1786)	 13
macpherson, james (1736-1796)	 13
massie, j (na-1784)	 13
sherlock, thomas (1678-1761)	 13
stackhouse, thomas (1680-1752)	 13
baldwin, thomas (1692-1779)	 12
bradbury, thomas (1677-1759)	 12
clarke, samuel (1599-1682)	 12
cooke, edward (1755-1820)	 12
daniel, samuel (1591-1659)	 12
englishman	 12
fuller, thomas (1608-1661)	 12
leeds, thomas osborne (1631-1712)	 12
moore, john (1729-1802)	 12
pratt, (1749-1814)	 12
sinclair, john (1754-1835)	 12
temple, john (1595-1675)	 12
vernon, edward (1684-1757)	 12
