Name	Count
Total count: 	49803
Ambiguous	    1
Antiqua	    5
Austria	    2
Bahamas	    6
Barbados	   10
Belgium	   42
Canada	   63
Denmark	    3
Dominica	    4
England	37416
France	  315
Germany	   59
Grenada	    4
Guadaloupe	    3
Guernesey	    1
Haiti	    3
India	   33
Ireland	 3490
Italy	   10
Jamaica	   22
Martinique	    3
Netherlands	  306
Northern Ireland	   36
Poland	    1
Saint Kitts and Nevis	    9
Scotland	 2873
Spain	    2
St Eustatius	    1
Sweden	    2
Switzerland	   49
unknown	    1
USA	 5028
