original	polished	Count
Total count: 	49792	
London	England	21489
[London	England	 5232
[London]	England	 2862
Dublin	Ireland	 2539
Edinburgh	Scotland	 1231
[London?	England	 1140
Imprinted at London	England	 1003
Philadelphia	USA	  573
Printed at London	England	  528
[Philadelphia	USA	  500
Boston	USA	  435
London [England]	England	  404
[Edinburgh	Scotland	  390
Londini	England	  376
[Dublin	Ireland	  349
[Boston	USA	  348
[New York	USA	  295
Oxford	England	  236
[Edinburgh?	Scotland	  209
[Oxford	England	  200
New-York	USA	  197
Londres	England	  187
Glasgow	Scotland	  180
[Edinburgh]	Scotland	  176
[[London]	England	  166
At London	England	  164
A Londres	England	  159
[London?]	England	  151
[New York]	USA	  147
[Boston]	USA	  142
[Philadelphia]	USA	  137
[Dublin]	Ireland	  131
[Oxford]	England	  130
Printed at Oxford	England	  121
Londres [i.e. Paris?]	France	  116
[Imprinted at London	England	  104
[London, England	England	  100
Dublin [Ireland]	Ireland	   99
[London, England]	England	   95
Oxonii	England	   83
York	England	   81
Hartford	USA	   77
Edinburgi	Scotland	   71
[Boston?	USA	   67
Cambridge	England	   67
[Watertown, Mass.	USA	   64
[Dublin?	Ireland	   63
[Providence	USA	   62
[Edinburgh?]	Scotland	   62
[United States	USA	   58
Providence	USA	   57
[Philadelphia?	USA	   52
Norwich	England	   52
Baltimore	USA	   50
Printed at Edinburgh	Scotland	   48
Oxoniæ	England	   48
Edinburgh [Scotland]	Scotland	   44
Cork	Ireland	   43
New-Haven	USA	   38
Oxford [i.e. London]	England	   38
Bristol	England	   37
Printed at York	England	   36
Excusum Londini	England	   35
Cantabrigiæ	England	   35
Lancaster [Pa.]	USA	   34
New-London [Conn.]	USA	   33
Norwich [Conn.]	USA	   33
[Annapolis	USA	   32
[Norwich?	England	   31
[Oxford?	England	   30
Newcastle	England	   30
Basil	Switzerland	   30
Londres [i.e. Paris]	France	   30
[New York?	USA	   28
Birmingham	England	   28
Salem [Mass.]	USA	   27
Glasguae	Scotland	   27
[Londini	England	   26
Newcastle upon Tyne	England	   26
Shrewsbury	England	   26
Aberdeen	Scotland	   26
London printed	England	   26
Printed at Boston	USA	   25
[Charleston, S.C.	USA	   25
[Providence]	USA	   25
[Hartford	USA	   25
Williamsburg [Va.]	USA	   25
Bath	England	   25
[Newport, R.I.	USA	   24
Manchester	England	   24
Boston, New-England	USA	   23
Boston: N.E.	USA	   23
[Imprynted at London	England	   23
[Cambridge]	England	   23
Printed at Leith	Scotland	   23
[Williamsburg, Va.	USA	   21
Paris	France	   21
[Hartford?	USA	   20
Imprinted at Dublin	Ireland	   20
Amsterdam	Netherlands	   20
A Londres [i.e. Paris?]	France	   20
Salisbury	England	   20
Albany	USA	   19
[Newport, R.I.]	USA	   19
Boston in New-England	USA	   19
Belfast	Northern Ireland	   19
Newport [R.I.]	USA	   18
Imprinted at York	England	   18
[Amsterdam	Netherlands	   18
Cambridge [Mass.]	USA	   18
Philadelphia [Pa.]	USA	   18
Quebec	Canada	   17
[Aberdeen	Scotland	   17
Aberdene	Scotland	   17
Perth	Scotland	   17
[Connecticut	USA	   16
[Exeter, N.H.	USA	   16
[Excusum Londini	England	   16
Printed at Oxford [i.e. London]	England	   16
[Coventry?	England	   16
Londres [i.e. Amsterdam?]	Netherlands	   16
Exeter	England	   16
[Fishkill, N.Y.	USA	   15
Bristoll	England	   15
Printed at Kilkenny	Ireland	   15
Dublinii	Ireland	   15
[York]	England	   15
[Watertown, Mass.?	USA	   14
[Cambridge	England	   14
[[London	England	   14
[Edinburgh, Scotland	Scotland	   14
Calcutta	India	   14
[Salem, Mass.]	USA	   13
[New Orleans	USA	   13
Exon	England	   13
[Amsterdam]	Netherlands	   13
[Amsterdam?	Netherlands	   13
Reprinted at Dublin	Ireland	   13
Printed at Dublin	Ireland	   13
At Oxford	England	   13
Liverpool	England	   13
[Bath]	England	   13
[Dublin?]	Ireland	   13
[Middelburg	Netherlands	   12
Edinbvrgh	Scotland	   12
[Printed at London	England	   12
Re-printed at Edinburgh	Scotland	   12
[Oxford, i.e. London]	England	   12
[New London, Conn.]	USA	   12
Charleston [S.C.]	USA	   12
[London [England]	England	   12
Chester	England	   12
[Charleston, S.C.]	USA	   11
[Lancaster, Pa.	USA	   11
[Hartford]	USA	   11
Boston, N.E.	USA	   11
Richmond	England	   11
[United States?	USA	   11
[Salem, Mass.	USA	   11
A Philadelphie	USA	   11
Annapolis	USA	   11
[Cambridge, Mass.	USA	   11
[Norwich, Conn.]	USA	   11
Cork [Ireland]	Ireland	   11
[Glasgow]	Scotland	   11
Londra	England	   11
[Cork]	Ireland	   11
Paisley	Scotland	   11
[Richmond	England	   10
[Whitehaven?	England	   10
Canterbury	England	   10
[Antwerp	Belgium	   10
[Bristol	England	   10
[York	England	   10
[Exeter, England]	England	   10
[York?	England	   10
Ipswich	England	   10
[Trenton	Canada	    9
[Baltimore	USA	    9
Boston.	USA	    9
[Portsmouth, N.H.	USA	    9
Wilmington [Del.]	USA	    9
Westminster	England	    9
[[Edinburgh]	Scotland	    9
[[New York]	USA	    9
[Bath, England]	England	    9
[Dublin, Ireland]	Ireland	    9
Nottingham	England	    9
[Bristol]	England	    9
[Glasgow?	Scotland	    9
Lynn	England	    9
[New Haven	USA	    8
New York	USA	    8
Newport, Rhode-Island	USA	    8
A Londres [i.e. Paris]	France	    8
Imprynted at London	England	    8
Imprentit at Edinburgh	Scotland	    8
Corke	Ireland	    8
