Name	Count
john	2669
william	1757
thomas	1359
richard	585
george	554
james	551
robert	538
edward	397
henry	376
samuel	320
joseph	275
charles	259
francis	241
david	228
edmund	221
oliver	194
daniel	181
benjamin	141
peter	136
gilbert	135
alexander	127
roger	110
nathaniel	107
philip	103
hugh	88
isaac	88
matthew	85
jonathan	82
laurence	69
clement	64
edward hyde	64
anthony	63
arthur	63
giovanni paolo	62
andrew	58
christopher	57
julius	56
stephen	56
walter	54
nicholas	53
josiah	46
ralph	46
cornelius	45
michael	44
thomas wentworth	42
henry st john	41
patrick	41
abel	35
paul	35
adam	34
jean	34
john fitzgibbon	32
mary	29
george monck	27
nicolas	27
pierre	27
robert devereux	27
robert goodloe	27
simon	27
denzil	26
eleanor	26
louis	26
abraham	25
hugo	25
jacob	25
francis d'	23
lewis	23
elizabeth	22
israel	22
jacques	22
joshua	22
maurice	22
jeremiah	21
jeremy	21
helen maria	20
luke	20
martin	20
thomas lewis	20
titus	20
tobias george	20
archibald campbell	19
james butler	19
george digby	18
george savile	18
jean de	18
john hamilton	18
claude	17
john thompson	17
pierre mathurin de	17
timothy	17
gabriel-honoré de riquetti	16
guillaume de salluste	16
warren	16
william eden	16
audley	15
charles alexandre de	15
charles de secondat	15
gabriel	15
jonas	15
mary white	15
william cavendish	15
margaret	14
michel	14
temple	14
william cusack	14
aaron	13
ebenezer	13
edward montagu	13
frances	13
george mackenzie	13
nathanael	13
philippe de	13
vincent	13
william augustus	13
antonio de	12
dudley	12
elisha	12
henri	12
lionel	12
robert rich	12
thomas osborne	12
ethan	11
hannah	11
louis ellies	11
nathan	11
payne	11
anthony ashley cooper	10
de	10
gregorio	10
joel	10
matthew robinson-morris	10
valentine	10
william cecil	10
william henry	10
antoine	9
charles john ann	9
edmond	9
edward russell	9
herbert	9
horace	9
james graham	9
james stanley	9
johann caspar	9
john digby	9
sarah churchill	9
simon nicolas henri	9
zachary	9
anna	8
caleb	8
charles kendal	8
donald	8
fabian	8
george villiers	8
gerard	8
gilbert elliot	8
henry dundas	8
henry home	8
ira	8
james thomson	8
jean pierre	8
john holroyd	8
la	8
marcus junianus	8
nathaniel william	8
philip morin	8
silas	8
anne	7
arthur annesley	7
bryan	7
duncan	7
edward somerset	7
eliza fowler	7
ellis	7
ezekiel	7
james edward	7
jean-antoine-nicolas de caritat	7
john dalrymple	7
john sheffield	7
louis de	7
manasseh	7
pier giovanni	7
raphael	7
robert stewart	7
sarah	7
antoine de pas	6
antonio	6
armand jean du plessis	6
arthur ashley	6
brian	6
charles francis	6
charles pinot-	6
dominique	6
elias	6
frederick howard	6
geoffrey	6
georg friedrich	6
gorges edmond	6
guy	6
herman	6
james douglas	6
johann georg	6
johann jakob	6
john huddlestone	6
karl	6
marcus tullius	6
marie	6
noah	6
robert treat	6
roger palmer	6
thomas bradbury	6
wentworth dillon	6
william alexander	6
alexander leslie	5
anthony à	5
bernard	5
charles de	5
dennis	5
eleazar	5
éléazar de	5
ely	5
ezra	5
frederick	5
george bubb	5
george warter	5
henry rich	5
isaac de	5
james touchet	5
jean baptiste	5
jean louis	5
john campbell	5
john foster	5
john joachim	5
