Name	Count
Lucius Annaeus	38
Friedrich	23
Increase	23
Silius	20
Mallet	19
John Thompson	17
Jean-paul	14
Johannes	14
Edward Montagu	13
Murrough O'brien	13
Jean-baptiste	12
Matthias	12
Gatien	11
Rowland	11
Alessandro	9
Bruno	9
Giles	9
John Digby	9
Marmaduke	9
Pasquin	9
Quintus	9
Raoul	9
Bartholomew	8
Simonds	8
Balthazar	7
Edward Somerset	7
Ezekias	7
Friedrich Hermann	7
Giuseppe	7
Guido	7
Polydore	7
Tristram	7
Capel	6
Eusebius	6
Gorges Edmond	6
Lancelot	6
Marcus Tullius	6
Shute	6
Thomas Bradbury	6
Devereux	5
Guillaume	5
Hamon	5
Humphry	5
Judas Thaddaeus	5
Obadiah	5
Pelatiah	5
Pemberton	5
Pons Augustin	5
Eliphalet	4
Friedrich Gottlieb	4
Gaspar	4
Godfrey	4
Henoch	4
Hervey Redmond Morres	4
Hiob	4
James Pettit	4
Jean-pierre	4
Josias	4
Lazare	4
Lazarus	4
Lodowick	4
Roderic	4
Sydenham	4
Amyas	3
Arthur Capel	3
Arthur Wolfe	3
Barnabas	3
Benedict	3
Cadwallader	3
Christophorus	3
Cristof Hermann	3
Desiderius	3
Godard	3
Horatio	3
Jabez	3
John Perceval	3
Luigi	3
Lysimachus	3
Maarten Harpertsz	3
Mostyn John	3
Nicolaus Ludwig	3
Percival	3
Samuel Stanhope	3
Theobald Wolfe	3
Thomas O'brien	3
Unton	3
Zacharie	3
Abd	2
Abiezer	2
Adoniram	2
Alban	2
Anselm	2
Aulay	2
Author	2
Aylett	2
Baudouin	2
Beauchamp	2
Bishop Of Hippo	2
Bonaventura	2
Caesar	2
Christoph Friedrich	2
Dimitrie	2
Dudley Carleton	2
Eyles	2
Gasparo	2
Gerardus	2
Ignazy	2
John Bourke	2
John Coakley	2
John Drummond	2
John Horne	2
John Jervis White	2
Kenelm	2
Konrad Engelbert	2
Lewes	2
Ludwig Friedrich	2
Marquard	2
Nestore	2
Newcome	2
Officer	2
Phelim	2
Pietro	2
Rodolphe	2
Samuel Waller	2
Smyth	2
Stevenson	2
Sturla	2
Torbern	2
Zacheus	2
Absent	1
Abu	1
Adrianus	1
Agostino	1
Alberico	1
Arch	1
Archbishop Of Uppsala	1
Arnoldus	1
Battista	1
Carew	1
Chidley	1
Conrade	1
Corbett	1
Dermond	1
Deuel	1
Edinburgh	1
Egerton	1
Elhanan	1
Englehart	1
Eustache	1
Ewald Friedrich	1
Frantz Siegmund	1
Friedrich Karl Casimir	1
Gautier	1
Gerrald	1
Gershom	1
Giovan Battista	1
Giovan Battista Feliciano	1
Girolamo	1
Guilielmo	1
Guillaume François	1
Gulielmus	1
Gustaf Mauritz	1
Habakkuk	1
Hayman	1
Hayward	1
Hendrik	1
Hercules	1
Hopestill	1
Horatius	1
Hovenden	1
Humfrey	1
Innocent	1
Ireneus	1
Ithiel	1
Jakob	1
James Solas	1
Jean-claude	1
Joh Friedrich Guillus	1
John Cox	1
John Ferdinand Smyth	1
John Shute	1
John Singleton	1
Kenrick	1
Lat	1
Leonhard	1
Lodovico	1
Lucius Quintius	1
Malachy	1
Marcus Friedrich	1
Matthieu	1
Mungo	1
Murtagh	1
National	1
Niels	1
Nikolaas	1
Petrus	1
Philip Stanhope	1
Philip Yorke	1
Quirin	1
Reay	1
Redmond	1
Return Jonathan	1
Reymer	1
Salomon	1
Sedgwick	1
Serenus	1
Tancred	1
Tench	1
Thomas Dungan	1
Thomas Hooper	1
Thomas West	1
Torquato	1
Up Shinkin	1
Vavasor	1
Vincenzio	1
Waller	1
Watkin	1
Wenceslaus	1
Zabdiel	1
Zacharias	1
