Name	Count
john	2446
thomas	1243
james	514
edward	376
samuel	292
edmund	208
peter	131
gilbert	107
nathaniel	101
roger	97
philip	96
hugh	83
flavius	78
isaac	77
rapin	74
jonathan	71
anthony	59
arthur	56
julius	53
andrew	52
edward hyde	51
humphrey	49
nicholas	47
stephen	45
josiah	44
michael	38
thomas wentworth	38
patrick	32
john fitzgibbon	31
archibald	28
ferdinando	27
denzil	25
hugo	25
nicolas	25
pierre	25
marchamont	24
cotton	23
jacob	23
israel	22
jeremiah	22
françois	21
james butler	18
luke	18
charles-françois du périer	17
john hamilton	17
white	16
elinor	15
theophilus	15
timothy	15
jonas	14
francesco	13
j -p	13
paolo	13
sébastien	13
slingsby	13
vincent	13
aaron	12
dudley	12
thomas osborne	12
gryffith	11
velleius	11
bevill	10
galeazzo	10
jean-gabriel	10
mercurius	10
nathan	10
niccolò	10
soame	10
bulstrode	9
calybute	9
harbottle	9
james stanley	9
mathias	9
nathanael	9
ambrose	8
delariviere	8
edmond	8
herbert	8
j -m -a	8
catharine	7
donald	7
duncan	7
ephraim	7
ignatius	7
james edward	7
john holroyd	7
john sheffield	7
manasseh	7
marcus junianus	7
zachary	7
aeneas	6
amon	6
archibald johnston	6
caleb	6
daines	6
eliza fowler	6
françois	6
gregorio	6
herman	6
nahum	6
trophime-gérard	6
vicesimus	6
andré	5
anthony à	5
antonio	5
antony	5
colley	5
du	5
elias	5
elkanah	5
eustace	5
ezra	5
gerrard	5
james touchet	5
joachim heinrich	5
john foster	5
john huddlestone	5
pierre-daniel	5
rené	5
rice	5
tommaso	5
àbd	4
algernon	4
benedikte	4
carlo	4
charlwood	4
corporation	4
engelbert	4
famiano	4
frederick	4
jacob nicolas	4
james thomson	4
jasper	4
jean-henri	4
john joachim	4
karl	4
marcus	4
mouffle	4
muḥammad qāsim hindū shāh astarābādī	4
perez	4
praisegod	4
thaddeus	4
vittorio	4
andrewes	3
antoine-yves	3
bartholomaeus	3
edmund john	3
everard	3
frederic	3
gentleman	3
gordon	3
hardress	3
hezekiah	3
iacopo	3
jacinto	3
j -b	3
jean-alphonse	3
joachim	3
jonathan mitchell	3
josephus	3
maximilien	3
miles	3
myles	3
nicholas philpot	3
ninian	3
paul-emilien	3
philippe	3
robert-françois-joseph	3
sackville	3
solomon	3
thomas pelham-holles	3
willem	3
abednego	2
abiel	2
agmondisham	2
albert	2
anders	2
augustin	2
basil	2
benedetto	2
bourchier	2
cassius	2
c -n	2
cuthbert	2
deodat	2
dorcas	2
dorothy	2
elijah	2
enoch	2
enos	2
enrico	2
fardinando	2
françois-claude-amour	2
françois pierre	2
gédéon	2
georges-henri-victor	2
guichard	2
guidobald	2
gustavus	2
hans	2
heneage finch	2
heraclitus	2
hermann	2
honoré	2
james erskine	2
jános	2
jean-andré	2
jean-armand	2
jean-baptiste-louis	2
jean-bernard-louis desjean	2
jean-françois	2
jedidiah	2
jeffery	2
jerónymo	2
john c	2
john gordon	2
john graves	2
john robartes	2
lachlan	2
lemuel	2
louis-marie	2
marguerite-jeanne	2
marius	2
meric	2
michel-rené	2
muḣammad qāsim hindū shāh astarābādı̄	2
murtaḍā	2
nicholas preston	2
onslow	2
patrick hume	2
pedro	2
philemon	2
philip john	2
philipp	2
pierre françois	2
reginald	2
rudolf	2
salvatore	2
spencer compton	2
stanley	2
theobald	2
thomas ledlie	2
tobias	2
trophime-gérard	2
uvedale	2
vincent-claude	2
yves-joseph	2
zaphnaphpaaniah	2
abū al-maḥāsin yūsuf	1
aged	1
albertus	1
alexandre-louis	1
allegier	1
alssenadro	1
alvaro	1
amelot	1
ann	1
ann eliza	1
ante	1
anthony preston	1
antoine-françois-claude	1
antonio d r	1
archibald cochrane	1
armand-guy	1
arnold	1
arthur herbert	1
arthur-roger	1
arundell	1
arvid	1
auguste-pierre	1
aylmer	1
barnabe	1
barnaby	1
bartolomej	1
bernal	1
bernardo	1
bertrand d'	1
bonnell	1
brettanius	1
brossais	1
burgher	1
&c	1
camillo	1
castruccio	1
celio augustino	1
cesare	1
charles-auguste	1
charles-jean-françois	1
charles-joseph	1
charles-louis	1
chauncey	1
chidly	1
chileab	1
claude-joseph	1
claude-louis	1
consort of frederick i	1
corbyn	1
costanzo	1
cradock	1
dalepater	1
d'blossiers	1
dermitius	1
dermod	1
dominique-joseph	1
douin	1
downright	1
dwight	1
ebülgâzî	1
edw	1
edwin	1
elam	1
eliz	1
emanuel	1
emanuel d'	1
emminent	1
en philadelphia	1
eobald	1
étienne	1
ezerel	1
fayrer	1
félix	1
field	1
fitzhugh	1
florimond-claude	1
francesco saverio	1
françois-hédelin	1
françois nicolaas	1
françois rené	1
françois thérèse	1
franz	1
freeman	1
fynes	1
gamaliel	1
gent	1
gentil-homme	1
georges	1
gerald	1
gianvincenzo	1
gideon	1
gil	1
grantham	1
griffith	1
hanserd	1
heinrich	1
hellen	1
henrietta	1
hew	1
hobart	1
hoca	1
hyde	1
impartial	1
iōsēph	1
iradat	1
james a	1
james-brown	1
james burnet	1
james digges	1
james fitzjames	1
james hay	1
james jones	1
james m	1
jaques-antoine	1
j b d'	1
jean-jacques	1
jean-roland	1
jean-vincent	1
jens	1
jerónimo	1
jerónymo	1
j -f	1
j l jean-l	1
j -m	1
job	1
john baptist	1
john churchill	1
john clotworthy	1
john cosens	1
john edward	1
john elphinstone	1
john fauchereaud	1
john i	1
john k	1
john manners	1
john mascoll	1
john pennington	1
john rogerson	1
john spencer	1
john thomas	1
joly	1
jonathan l	1
j samuel	1
king's	1
lancelot-voisin	1
landed	1
lazzaro	1
leprince	1
letitia	1
lettice	1
lion	1
lorenz	1
louis-alexandre	1
louis-pierre	1
lydia	1
magdalen	1
mahdī	1
mann	1
manoah	1
martino	1
math	1
mathäus	1
mather	1
melchior	1
midshipman	1
miguel	1
mikhail vasilʹevich	1
mr	1
muḣammad	1
mylo	1
nathaniel brassey	1
neil	1
niccolao	1
niccolò	1
nicolaus	1
norman	1
owen	1
pantaleão	1
patrike	1
peter philanthropos	1
philip carteret	1
philip herbert	1
phillip	1
phillips	1
phillis	1
pierre-alphonse	1
pierre-curel	1
pierre-victor	1
priscilla	1
queen	1
raunce	1
rené	1
restif	1
reuben	1
ridgly	1
r legge	1
rudolf erich	1
salīm	1
sampson	1
samson	1
sawney	1
scipione	1
seaborn	1
sébastien	1
sherman	1
shinkin	1
shippie	1
stefano	1
stepan petrovich	1
stephanus	1
stephen row	1
st john	1
stuart moncrieff	1
styan	1
syl	1
sylvanus	1
tanfield	1
thomas dongan	1
thomas edward	1
thomas p	1
thomas pope	1
thomas w	1
thornhagh	1
tiberius	1
timothy mather	1
trophime-gerard	1
trophime-grard	1
ulpian	1
vasco	1
virgilio	1
whitelocke	1
winston	1
yorke-shire	1
