doc.dimension,mean.pages.singlevol,median.pages.singlevol,n.singlevol,mean.pages.multivol,median.pages.multivol,n.multivol,mean.pages.issue,median.pages.issue,n.issue
1to,NA,NA,8,NA,NA,NA,NA,NA,NA
2long,NA,NA,1,NA,NA,NA,NA,NA,NA
2fo,1991.24630541872,1440,278,718.710227272727,716,181,NA,NA,NA
4long,NA,NA,1,NA,NA,NA,NA,NA,NA
4to,50.5285714285714,4,525,359.436507936508,418.5,18,20,20,2
8vo,920.13013013013,632,1043,307.148102067264,312,1064,30,30,1
12mo,652.221052631579,423,383,211.816223404255,207.5,389,NA,NA,NA
16mo,NA,NA,3,NA,NA,NA,NA,NA,NA
18mo,390.5,350,4,174,174,3,NA,NA,NA
24mo,NA,NA,2,NA,NA,2,NA,NA,NA
NA,43.5714285714286,43,17,8.63888888888889,8.6,11,43,43,3
