gatherings	physical_extent	Count
Total count: 	462	
4to	2 v.	59
4to	3 v.	48
4to	2v.	45
4to	5 v.	18
4to	4 v.	16
4to	7 v.	11
4to	6 v.	11
4to	11 v.	 9
4to	3v.	 9
4to	4v.	 6
4to	10 v.	 5
1to	[No pagination provided]	 4
2fo	20 v.	 4
2fo	15 v.	 4
8vo	26 v.	 4
2fo	18 v.	 4
4to	8 v.	 4
4to	21 v.	 4
4to	9 v.	 4
8vo	12v.	 4
8vo	24 v.	 3
8vo	11 v.	 3
4to	12 v.	 3
4to	26 v.	 3
4to	36 v.	 3
4to	5v.	 2
8vo	15 v.	 2
8vo	12 v.	 2
1to	v. :bill.	 2
8vo	13 v.	 2
2fo	140 v.	 2
8vo	46 v.	 2
2fo	91 v.	 2
2fo	52 v.	 2
2fo	33 v.	 2
2fo	28 v.	 2
2fo	30 v.	 2
2fo	13 v.	 2
4to	27 v.	 2
4to	22 v.	 2
4to	14 v.	 2
4to	17 v.	 2
4to	25 v.	 2
2fo	40 v.	 2
2fo	53 v.	 2
4to	2 v	 2
2fo	11 v.	 2
2fo	14 v.	 2
2fo	23 v.	 2
4to	28 v.	 2
8vo	14v.	 2
24mo	2 v.	 1
4to	20 v.	 1
4to	3 vol.	 1
2fo	87 v.	 1
16mo	10v.,plate	 1
4to	v.1-2	 1
4to	7v.	 1
12mo	30v.	 1
16mo	6v.	 1
4to	v.2-3	 1
16mo	2v.	 1
1to	2v.	 1
8vo	v.1	 1
2fo	347 v.	 1
2fo	57 v.	 1
8vo	27 v.	 1
4to	18 v.	 1
4to	85 v.	 1
4to	39 v.	 1
2fo	156 v.	 1
NA	104 v.	 1
8vo	92 v.	 1
2fo	13v.	 1
2fo	34 v.	 1
2fo	22 v.	 1
NA	15 v.	 1
4to	105 v.	 1
2fo	66 v.	 1
4to	106 v.	 1
2fo	706 v.	 1
2fo	21 v.	 1
2fo	36 v.	 1
2fo	104 v.	 1
2fo	27 v.	 1
2fo	26 v.	 1
2fo	84 v.	 1
2fo	76 v.	 1
8vo	25 v.	 1
8vo	30 v.	 1
4long	1 v.	 1
8vo	22 v.	 1
NA	449 v.	 1
2long	27 v.	 1
12mo	12 v.	 1
12mo	26 v.	 1
8vo	61 v.	 1
2fo	89 v.	 1
2fo	29 v.	 1
2fo	42 v.	 1
1to	21 v.	 1
8vo	32 v.	 1
2fo	74 v.	 1
2fo	190 v.	 1
4to	41 v.	 1
8vo	168 v.	 1
4to	7 v. :bill.	 1
2fo	86 v.	 1
8vo	23 v.	 1
1to	15 v. :bill.	 1
8vo	102 v.	 1
2fo	103 v.	 1
2fo	43 v.	 1
8vo	329 v.	 1
8vo	144 v.	 1
2fo	50 v.	 1
2fo	55 v.	 1
8vo	19 v.	 1
8vo	59 v.	 1
1to	8 v.	 1
4to	80 v.	 1
8vo	52 v.	 1
8vo	45 v.	 1
8vo	35 v.	 1
2fo	47 v.	 1
8vo	60 v.	 1
1to	160 v.	 1
1to	56 v.	 1
1to	133 v.	 1
2fo	72 v.	 1
2fo	38 v.	 1
4to	43 v.	 1
4to	19 v.	 1
2fo	37 v.	 1
1to	215 v.	 1
2fo	173 v.	 1
2fo	125 v.	 1
2fo	110 v.	 1
2fo	152 v.	 1
4to	46 v.	 1
4to	63 v.	 1
4to	30 v.	 1
4to	37 v.	 1
4to	29 v.	 1
4to	34 v.	 1
8vo	16 v.	 1
4to	58 v.	 1
4to	31 v.	 1
4to	96 v.	 1
4to	57 v.	 1
4to	186 v.	 1
4to	66 v.	 1
4to	24 v.	 1
4to	13 v.	 1
4to	130 v.	 1
4to	201 v.	 1
4to	84 v.	 1
4to	52 v.	 1
4to	44 v.	 1
4to	67 v.	 1
4to	71 v.	 1
4to	16 v.	 1
4to	53 v.	 1
2fo	19 v.	 1
4to	61 v.	 1
2fo	142 v.	 1
2fo	85 v.	 1
4to	49 v.	 1
2fo	58 v.	 1
2fo	31 v.	 1
8vo	28 v.	 1
4to	6v.	 1
24mo	4v.	 1
