original	gatherings	width	height	obl	Count
Total count: 	2161				
4⁰.	NA	NA	NA	NA	505
8⁰.	NA	NA	NA	NA	404
1/2⁰.	NA	NA	NA	NA	216
?⁰.	NA	NA	NA	NA	205
2⁰.	NA	NA	NA	NA	178
1⁰.	NA	NA	NA	NA	164
12⁰.	NA	NA	NA	NA	108
NA	NA	NA	NA	NA	100
1/4⁰.	NA	NA	NA	NA	 29
4⁰	NA	NA	NA	NA	 13
obl. 1⁰.	NA	NA	NA	NA	 10
2⁰	NA	NA	NA	NA	 10
2⁰(2).	NA	NA	NA	NA	  8
34 x 21 cm.	NA	NA	NA	NA	  7
1/fol.	NA	NA	NA	NA	  7
19 cm.	NA	NA	NA	NA	  6
36 x 22 cm.	NA	NA	NA	NA	  5
16 cm.	NA	NA	NA	NA	  5
33 x 21 cm.	NA	NA	NA	NA	  5
22 cm.	NA	NA	NA	NA	  4
31 x 20 cm.	NA	NA	NA	NA	  4
21 cm.	NA	NA	NA	NA	  4
1/2⁰	NA	NA	NA	NA	  4
8⁰	NA	NA	NA	NA	  3
35 x 21 cm.	NA	NA	NA	NA	  3
17 cm.	NA	NA	NA	NA	  3
34 x 20 cm.	NA	NA	NA	NA	  3
16⁰.	NA	NA	NA	NA	  3
2⁰(3).	NA	NA	NA	NA	  3
12⁰	NA	NA	NA	NA	  3
?.	NA	NA	NA	NA	  2
(1/2')	NA	NA	NA	NA	  2
39 x 26 cm.	NA	NA	NA	NA	  2
29 x 23 cm.	NA	NA	NA	NA	  2
43 x 26 cm.	NA	NA	NA	NA	  2
32 x 20 cm.	NA	NA	NA	NA	  2
51 x 39 cm.	NA	NA	NA	NA	  2
27 cm.	NA	NA	NA	NA	  2
15 cm.	NA	NA	NA	NA	  2
43 x 27 cm.	NA	NA	NA	NA	  2
40 x 26 cm.	NA	NA	NA	NA	  2
20 cm.	NA	NA	NA	NA	  2
33 cm.	NA	NA	NA	NA	  2
34 x 22 cm.	NA	NA	NA	NA	  2
38 x 25 cm.	NA	NA	NA	NA	  2
33 cm (2⁰)	NA	NA	NA	NA	  2
obl. 1/2⁰.	NA	NA	NA	NA	  2
24⁰.	NA	NA	NA	NA	  2
40 cm (2⁰)	NA	NA	NA	NA	  2
1/2⁰ (47 x 21 cm)	NA	NA	NA	NA	  1
1/2⁰ (35 x 23 cm)	NA	NA	NA	NA	  1
1/2⁰ (31 x 18 cm)	NA	NA	NA	NA	  1
1/2⁰ (37 x 11 cm)	NA	NA	NA	NA	  1
1/8⁰	NA	NA	NA	NA	  1
50 cm. (2⁰)	NA	NA	NA	NA	  1
20 cm. 4⁰.	NA	NA	NA	NA	  1
27 x 15 cm.	NA	NA	NA	NA	  1
1/16⁰.	NA	NA	NA	NA	  1
ill. (relief cuts)	NA	NA	NA	NA	  1
42 x 26 cm.	NA	NA	NA	NA	  1
56 x 44 cm.	NA	NA	NA	NA	  1
45 x 37 cm.	NA	NA	NA	NA	  1
43 x 31 cm.	NA	NA	NA	NA	  1
