name;synonyme
Aberdeen;aberdoniae
Antwerp;aberdoniae
Aberdeen;abredoniae
Antwerp;abredoniae
Aberdeen;aeerdene
Mechelen;aeerdene
Ayr;air
London;air
Albany NY;albany
Brookfield Ma;albany
Albany NY;albany ny
Woodbridge NJ;albany ny
Alexandria Va;alexandria
Saarbrucken;alexandria
Alexandria Va;alexandria va
Martinsburg va;alexandria va
Alnwick;alnwick
Amsterdam;alnwick
America;america
Washington Pa;america
Boston Ma;america boston
Danvers Ma;america boston
Providence RI;america providence r island
Augusta Me;america providence r island
Amherst NH;amherst
Frederick md;amherst
Amherst NH;amherst new hampshire
Keene NH;amherst new hampshire
Amherst NH;amherst nh
Newburyport Ma;amherst nh
Amsterdam;amsteldam
London;amsteldam
Amsterdam;amsterdam
London;amsterdam
Oxford;amsterdam
The Hague;amsterdam
Paris;amsterdam
Antwerp;amsterdam
Amsterdam;amsterdam london
London;amsterdam london
Andover Ma;andover mass
Boston Ma;andover mass
Antwerp;andwarpe
London;andwarpe
Annapolis Md;annapolis
London;annapolis
Annapolis Md;annapolis md
Downpatrick;annapolis md
Annapolis Md;annapolis north america
Charleston SC;annapolis north america
Antwerp;antwerp
London;antwerp
The Hague;antwerp
St Andrews;antwerp
Antwerp;antwerpiae
Derby;antwerpiae
Augusta;augusta
Amherst NH;augusta
Augusta Me;augusta me
Charleston SC;augusta me
Ayr;ayr
Geneva;ayr
Nassau;bahamas
Berlin;bahamas
Baltimore Md;baltimore
Danvers Ma;baltimore
Baltimore Md;baltimore town
Charleston SC;baltimore town
Bridgetown;barbadoes
Bottisham;barbadoes
Basel;basel
USA;basel
Basel;basle
Doncaster;basle
Basseterre Saint Kitts;basseterre st christopher
Calcutta;basseterre st christopher
Basseterre Saint Kitts;basseterre st christopher s st kitts nevis
Staunton Va;basseterre st christopher s st kitts nevis
Bath;bath england
Hertford;bath england
Boston Ma;bay state boston
Burlington NJ;bay state boston
Belfast;belfast ireland
Waterford;belfast ireland
Oxford;bellositi dobunorum oxford
Edinburgh;bellositi dobunorum oxford
Bennington Vt;bennington vermont
Annapolis Md;bennington vermont
Bennington Vt;bennington vt
New York NY;bennington vt
Berlin;berlin
London;berlin
Middelburg;berlin
NA;berlin
Bern;bern
Leiden;bern
Bern;berne
Cambridge;berne
Newark NJ;berne
Birmingham;birminghamiae
New Haven Ct;birminghamiae
Boston Ma;boston
Edinburgh;boston
London;boston
Paris;boston
Boston Ma;boston america
Chillicothe Oh;boston america
Boston Ma;bostoniae america
Williamsburg Va;bostoniae america
Boston Ma;boston lincs
London;boston lincs
Boston Ma;boston massachusetts
Walpole NH;boston massachusetts
Boston Ma;boston new england
London;boston new england
Boston Ma;boston new england london
London;boston new england london
Boston Ma;boston north america
Savannah Ga;boston north america
Bridgetown;bridgetown
Edinburgh;bridgetown
Bristol;bristol england
Petersburg Va;bristol england
Bristol;bristoll
York;bristoll
Brookfield Ma;brookfield
Savannah Ga;brookfield
Brussels;brussels
London;brussels
Brussels;bruxelles
Basseterre Saint Kitts;bruxelles
Burlington NJ;burlington
Boston england;burlington
Burlington NJ;burlington new jersey
Chatham nj;burlington new jersey
Burlington NJ;burlington nj
Windham Ct;burlington nj
Bury;bury
Strasbourg;bury
Penrith;bury
Bury St Edmunds;bury st edmunds
Stirling;bury st edmunds
Caen;caen
Douai;caen
Caerfyrddin;caerfyrddin
Yarmouth;caerfyrddin
Caerfyrddin;caerfyrddin carmarthen wales
Caernarfon;caerfyrddin carmarthen wales
Caernarfon;caer grawnt
Portland Me;caer grawnt
Chester;caerlleon chester england
Lewes;caerlleon chester england
Caernarfon;caernarfon carnarvon wales
Chester;caernarfon carnarvon wales
Calcutta;calcuta
Dublin;calcuta
Cambridge;cambridge
London;cambridge
Baltimore Md;cambridge
Cambridge Ma;cambridge mass
London;cambridge mass
Antwerp;cambridge mass
Cambridge Ma;cambridg mass
Frankfurt;cambridg mass
Cambridge;camridge
