original	polished	Count
Total count: 	44267	
London	Madras India	20030
[London	Madras India	 4558
[London]	Madras India	 2606
Dublin	London	 2418
Edinburgh	Ephrata Pa	 1120
[London?	Madras India	  988
Imprinted at London	Lancaster Pa	  643
Philadelphia	Richmond Va	  493
Printed at London	St Johns Antiqua	  486
[Philadelphia	Richmond Va	  477
London [England]	London	  456
Boston	Bradford	  408
[Edinburgh	Ephrata Pa	  350
[Dublin	London	  325
Londini	London	  315
[Boston	Bradford	  311
[New York	London	  262
Oxford	London	  222
[Oxford	London	  191
[Edinburgh?	Ephrata Pa	  180
Londres	Newfield Ct	  177
Glasgow	Hartford Ct	  170
New-York	London	  165
Dublin [Ireland]	Basel	  162
[Edinburgh]	Ephrata Pa	  158
A Londres	London	  143
At London	St Omer	  135
[[London]	Madras India	  128
[London?]	Madras India	  124
[Boston]	Bradford	  123
[Dublin]	London	  123
[New York]	London	  119
[Oxford]	London	  118
Londres [i.e. Paris?]	London	  113
[Philadelphia]	Richmond Va	  111
Printed at Oxford	Tewkesbury	  107
[London, England]	London	  103
[London, England	London	  102
Oxonii	Oxford	   78
Edinburgi	Exeter NH	   66
Hartford	London	   65
Cambridge	Caerfyrddin	   65
[Providence	Wrexham	   62
[Dublin?	London	   52
[Edinburgh?]	Ephrata Pa	   52
Edinburgh [Scotland]	Exeter	   50
[Philadelphia?	Richmond Va	   46
Providence	Wrexham	   45
Printed at Edinburgh	Stamford	   45
Baltimore	Basseterre Saint Kitts	   43
[Boston?	Bradford	   43
Cork	Doncaster	   41
Norwich	Walpole NH	   37
Oxoniæ	Oxford	   36
Bristol	Bury	   33
Lancaster [Pa.]	Livorno	   32
New-Haven	London	   32
Printed at York	Wesel	   32
Oxford [i.e. London]	Oxford	   32
Norwich [Conn.]	Waterford	   31
New-London [Conn.]	London	   30
Basil	Belfast	   30
[Annapolis	Antwerp	   29
Cantabrigiæ	Charleston SC	   29
[Norwich?	Walpole NH	   29
Londres [i.e. Paris]	London	   29
[Oxford?	London	   28
[Imprinted at London	Lancaster Pa	   27
Newcastle	London	   27
Newcastle upon Tyne	London	   26
Birmingham	Bern	   26
[New York?	London	   25
[Hartford	London	   25
Bath	Beverley	   25
Glasguae	Haverhill NH	   24
London printed	New Bern NC	   24
[Newport, R.I.	London	   23
Printed at Leith	Spanish Town	   23
[Charleston, S.C.	Cincinnati Oh	   22
Boston: N.E.	Brookfield Ma	   22
[Providence]	Wrexham	   21
Printed at Boston	Shepherdstown WV	   21
Boston, New-England	Bristol	   21
Manchester	Dublin	   21
Paris	Delft	   19
[Hartford?	London	   18
Imprinted at York	Leominster Ma	   18
Boston in New-England	Bristol	   18
Cambridge [Mass.]	Charleston SC	   18
A Londres [i.e. Paris?]	Altmore	   18
Albany	Aldermanbury	   17
[Cambridge]	Caerfyrddin	   17
Philadelphia [Pa.]	Rodborough	   17
[Edinburgh, Scotland	Exeter	   17
Belfast	Bishopstone	   17
[Connecticut	London	   16
Quebec	York Pa	   16
Newport [R.I.]	London	   16
[Newport, R.I.]	London	   16
[Exeter, N.H.	Glasgow	   16
[Coventry?	Douai	   16
Perth	Reading	   16
Printed at Kilkenny	St Ives	   15
Aberdene	Aberdeen	   15
Manchester [England]	Paris	   15
Amsterdam	Andover Ma	   15
Exeter	Gilmanton NH	   15
[Fishkill, N.Y.	Gosport	   14
[Londini	London	   14
[Aberdeen	Aberdeen	   14
Nottingham [England]	Worcester Ma	   14
Printed at Oxford [i.e. London]	Leiden	   13
Cork [Ireland]	London	   13
[London [England]	London	   13
Londres [i.e. Amsterdam?]	Newport	   13
Liverpool	Antwerp	   13
[Bath]	Beverley	   13
Imprinted at Dublin	Kirkcudbright	   12
[Amsterdam?	Andover Ma	   12
[Amsterdam	Andover Ma	   12
Printed at Dublin	Stafford	   12
At Oxford	London	   12
[Oxford, i.e. London]	Oxford	   12
Charleston [S.C.]	Cincinnati Oh	   12
[Dublin, Ireland]	Basel	   12
Calcutta	Carlisle Pa	   12
Chester	Cork	   12
Annapolis	Antwerp	   11
Exon	Gloucester	   11
[Cambridge, Mass.	Charleston SC	   11
Bristoll	Bury	   11
Dublinii	Edinburgh	   11
Re-printed at Edinburgh	Stamford	   11
[[London	Madras India	   11
[Norwich, Conn.]	Waterford	   11
[Bath, England]	Birmingham	   11
[Glasgow]	Hartford Ct	   11
[Cork]	Doncaster	   11
[Charleston, S.C.]	Cincinnati Oh	   10
[Lancaster, Pa.	Livorno	   10
[Hartford]	London	   10
Edinbvrgh	Exeter	   10
[Cambridge	Caerfyrddin	   10
Newcastle upon Tyne [England]	London	   10
Calcutta [India]	Carlow	   10
[Exeter, England]	Glasgow	   10
Paisley	Aberdeen	   10
Ipswich	Paris	   10
[Baltimore	Basseterre Saint Kitts	    9
Boston.	Bradford	    9
A Philadelphie	Quebec	    9
[Middelburg	Philadelphia Pa	    9
[Leith]	London	    9
[Bristol	Bury	    9
[[Edinburgh]	Ephrata Pa	    9
Nottingham	Windsor Vt	    9
Londra	Newburyport Ma	    9
[Dublin?]	London	    9
Lynn	Oxford	    9
[New London, Conn.]	London	    8
[Portsmouth, N.H.	Boston Ma	    8
A Londres [i.e. Paris]	Altmore	    8
Canterbury	Charleston SC	    8
Corke	Doncaster	    8
[[New York]	London	    8
Oxon	London	    8
[Edinburgh, Scotland]	Exeter	    8
[Bristol]	Bury	    8
[Glasgow?	Hartford Ct	    8
[Burlington, N.J.	Calcutta	    7
[Portsmouth, N.H.?	Boston Ma	    7
Boston; New-England	Bristol	    7
Boston, N.E.	Brookfield Ma	    7
Philadelphia.	Richmond Va	    7
Newport, Rhode-Island	Middelburg	    7
Impressum Londini	London	    7
[Bristol?	Bury	    7
[Printed at London	St Johns Antiqua	    7
[Boston, Mass.	Bristol	    7
[Boston, Mass.]	Bristol	    7
Bath [England]	Birmingham	    7
[Dublin, Ireland	Basel	    7
[Bristol, England]	Bury St Edmunds	    7
Birmingham [England]	Boston Ma	    7
Bristol [England]	Bury St Edmunds	    7
Coventry [England]	Dublin	    7
Hull	London	    7
Eton	London	    7
[[Dublin]	London	    7
Hague	London	    7
[Glasgow	Hartford Ct	    7
Colchester	Danvers Ma	    7
Charles-Town [S.C.]	Colchester	    6
[New Haven	London	    6
[New London, Conn.?	London	    6
New York	London	    6
[Albany]	Aldermanbury	    6
N. London [i.e., New London, Conn.]	Salem Ma	    6
[Burlington, N.J.?	Calcutta	    6
