original	publication_year	publication_year_from	publication_year_till	Count
Total count: 	50288			
1642.	1642	1642	NA	1459
1648.	1648	1648	NA	 583
1643.	1643	1643	NA	 538
1660.	1660	1660	NA	 486
1647.	1647	1647	NA	 457
1689.	1689	1689	NA	 432
1799.	1799	1799	NA	 389
1798.	1798	1798	NA	 369
1641.	1641	1641	NA	 305
1649.	1649	1649	NA	 301
1690.	1690	1690	NA	 297
1645.	1645	1645	NA	 282
1646.	1646	1646	NA	 281
1800.	1800	1800	NA	 280
1659.	1659	1659	NA	 272
1644.	1644	1644	NA	 260
1775]	1775	1775	NA	 251
1681.	1681	1681	NA	 232
1796.	1796	1796	NA	 205
1795.	1795	1795	NA	 203
1797.	1797	1797	NA	 201
1650.	1650	1650	NA	 199
1776]	1776	1776	NA	 197
1648]	1648	1648	NA	 195
1642]	1642	1642	NA	 193
1794.	1794	1794	NA	 191
1689]	1689	1689	NA	 187
1688.	1688	1688	NA	 178
1691.	1691	1691	NA	 178
1652.	1652	1652	NA	 172
1692.	1692	1692	NA	 168
1683.	1683	1683	NA	 166
1793.	1793	1793	NA	 165
1682.	1682	1682	NA	 164
1660]	1660	1660	NA	 164
1651.	1651	1651	NA	 163
1653.	1653	1653	NA	 159
1685.	1685	1685	NA	 157
[1642]	1642	1642	NA	 157
1643]	1643	1643	NA	 151
1777]	1777	1777	NA	 149
1680.	1680	1680	NA	 148
1661.	1661	1661	NA	 143
1695.	1695	1695	NA	 138
1654.	1654	1654	NA	 137
1684.	1684	1684	NA	 136
1688]	1688	1688	NA	 132
1696.	1696	1696	NA	 129
1649]	1649	1649	NA	 129
1679.	1679	1679	NA	 127
1647]	1647	1647	NA	 125
1697.	1697	1697	NA	 120
MDCLXXXIX. [1689]	1689	1689	NA	 119
1778]	1778	1778	NA	 114
1662.	1662	1662	NA	 113
1641. [i.e. 1642]	1642	1642	NA	 110
1659]	1659	1659	NA	 109
[1775]	1775	1775	NA	 109
1711.	1711	1711	NA	 108
[1798]	1798	1798	NA	 104
1655.	1655	1655	NA	 103
1657.	1657	1657	NA	 100
1702.	1702	1702	NA	  99
1792.	1792	1792	NA	  99
1680]	1680	1680	NA	  98
1672.	1672	1672	NA	  97
1693.	1693	1693	NA	  97
[1777]	1777	1777	NA	  97
1701.	1701	1701	NA	  96
1790.	1790	1790	NA	  96
1690]	1690	1690	NA	  94
1716.	1716	1716	NA	  93
1663.	1663	1663	NA	  92
1699.	1699	1699	NA	  92
1705.	1705	1705	NA	  91
1678.	1678	1678	NA	  90
1694.	1694	1694	NA	  90
1679]	1679	1679	NA	  89
[1660]	1660	1660	NA	  89
1791.	1791	1791	NA	  89
1706.	1706	1706	NA	  89
1695]	1695	1695	NA	  86
1714.	1714	1714	NA	  86
1717.	1717	1717	NA	  86
1710.	1710	1710	NA	  86
1780]	1780	1780	NA	  85
1715.	1715	1715	NA	  85
1775.	1775	1775	NA	  85
1700.	1700	1700	NA	  84
MDCCLXXIX. [1779]	1779	1779	NA	  84
1712.	1712	1712	NA	  84
1704.	1704	1704	NA	  83
1707.	1707	1707	NA	  82
1779]	1779	1779	NA	  81
1789.	1789	1789	NA	  80
[1690]	1690	1690	NA	  79
1776.	1776	1776	NA	  79
1641 [i.e. 1642]	1642	1642	NA	  78
1698.	1698	1698	NA	  76
1650]	1650	1650	NA	  76
1781]	1781	1781	NA	  76
[1779]	1779	1779	NA	  76
1708.	1708	1708	NA	  75
1665.	1665	1665	NA	  74
1696]	1696	1696	NA	  74
1666.	1666	1666	NA	  74
1656.	1656	1656	NA	  74
1755.	1755	1755	NA	  74
1774]	1774	1774	NA	  74
1644]	1644	1644	NA	  73
[1776]	1776	1776	NA	  73
1798]	1798	1798	NA	  73
1788.	1788	1788	NA	  72
1709.	1709	1709	NA	  72
1658.	1658	1658	NA	  71
1713.	1713	1713	NA	  71
1703.	1703	1703	NA	  71
1681]	1681	1681	NA	  70
1645]	1645	1645	NA	  70
MDCCLXXV. [1775]	1775	1775	NA	  70
1728.	1728	1728	NA	  70
1664.	1664	1664	NA	  69
MDCCLXXVI. [1776]	1776	1776	NA	  69
1756.	1756	1756	NA	  69
MDCCLXXIV. [1774]	1774	1774	NA	  69
1731.	1731	1731	NA	  68
[1793]	1793	1793	NA	  68
1622.	1622	1622	NA	  66
1654]	1654	1654	NA	  66
1653]	1653	1653	NA	  66
MDCCLXXXVI. [1786]	1786	1786	NA	  66
1675.	1675	1675	NA	  65
1797]	1797	1797	NA	  65
1692]	1692	1692	NA	  65
MDCCLXVI. [1766]	1766	1766	NA	  65
MDCCLXXXIII. [1783]	1783	1783	NA	  65
[1778]	1778	1778	NA	  64
1669]	1669	1669	NA	  63
1685]	1685	1685	NA	  63
MDCCLXXXIV. [1784]	1784	1784	NA	  63
1727.	1727	1727	NA	  63
MDCCLXXVII. [1777]	1777	1777	NA	  62
1757.	1757	1757	NA	  62
MDCCLXXXVIII. [1788]	1788	1788	NA	  62
[1691]	1691	1691	NA	  61
1687.	1687	1687	NA	  61
1785.	1785	1785	NA	  61
1782.	1782	1782	NA	  61
MDCCLVII. [1757]	1757	1757	NA	  61
1718.	1718	1718	NA	  60
1624.	1624	1624	NA	  59
MDCXLII. [1642]	1642	1642	NA	  59
1690?]	1690	1690	NA	  58
1676.	1676	1676	NA	  58
MDCCLXXVIII. [1778]	1778	1778	NA	  58
1783.	1783	1783	NA	  58
MDCCXCI. [1791]	1791	1791	NA	  57
1745.	1745	1745	NA	  57
1625.	1625	1625	NA	  56
1646]	1646	1646	NA	  56
Printed in the yeare, 1641.	1641	1641	NA	  56
1673.	1673	1673	NA	  56
1674.	1674	1674	NA	  56
1779.	1779	1779	NA	  56
M.DCC.XCI. [1791]	1791	1791	NA	  55
1787.	1787	1787	NA	  55
[1781]	1781	1781	NA	  54
1662]	1662	1662	NA	  54
[1780]	1780	1780	NA	  54
1677.	1677	1677	NA	  53
1667.	1667	1667	NA	  53
1721.	1721	1721	NA	  53
1730.	1730	1730	NA	  53
MDCCLVI. [1756]	1756	1756	NA	  53
1794]	1794	1794	NA	  53
1640.	1640	1640	NA	  52
1691]	1691	1691	NA	  52
1693]	1693	1693	NA	  52
1793]	1793	1793	NA	  52
1694]	1694	1694	NA	  51
1800]	1800	1800	NA	  51
[1795]	1795	1795	NA	  51
MDCCXL. [1740]	1740	1740	NA	  51
1759.	1759	1759	NA	  50
1792]	1792	1792	NA	  50
1632.	1632	1632	NA	  49
1623.	1623	1623	NA	  49
Printed in the yeare, 1648.	1648	1648	NA	  49
1642. [i.e. 1643]	1643	1643	NA	  49
1782]	1782	1782	NA	  49
1777.	1777	1777	NA	  49
MDCCLXIV. [1764]	1764	1764	NA	  49
M.DCC.XC. [1790]	1790	1790	NA	  49
1781.	1781	1781	NA	  49
Printed in the yeare, 1647.	1647	1647	NA	  48
1642 [i.e. 1643]	1643	1643	NA	  48
MDCCLXX. [1770]	1770	1770	NA	  48
1743.	1743	1743	NA	  48
MDCCLX. [1760]	1760	1760	NA	  48
1774.	1774	1774	NA	  48
MDCCLXXX. [1780]	1780	1780	NA	  48
1725.	1725	1725	NA	  48
1762.	1762	1762	NA	  48
MDCCLXXXII. [1782]	1782	1782	NA	  48
1746.	1746	1746	NA	  48
MDCCXC. [1790]	1790	1790	NA	  48
1686.	1686	1686	NA	  47
1773]	1773	1773	NA	  47
1724.	1724	1724	NA	  47
1769.	1769	1769	NA	  47
1770.	1770	1770	NA	  47
1700?]	1700	1700	NA	  46
1671.	1671	1671	NA	  46
1669.	1669	1669	NA	  46
1720.	1720	1720	NA	  46
1719.	1719	1719	NA	  46
1744.	1744	1744	NA	  46
MDCCLXIII. [1763]	1763	1763	NA	  46
1740.	1740	1740	NA	  46
[1648]	1648	1648	NA	  45
1796]	1796	1796	NA	  45
1784.	1784	1784	NA	  45
MDCCLXXII. [1772]	1772	1772	NA	  45
1758.	1758	1758	NA	  45
1698]	1698	1698	NA	  44
1689?]	1689	1689	NA	  44
1670.	1670	1670	NA	  44
MDCCXCII. [1792]	1792	1792	NA	  44
[1800]	1800	1800	NA	  44
1760.	1760	1760	NA	  44
MDCCLXIX. [1769]	1769	1769	NA	  44
M,DCC,LXXXV. [1785]	1785	1785	NA	  44
MDCCXCIII. [1793]	1793	1793	NA	  44
MDCCLXXIII. [1773]	1773	1773	NA	  44
1754.	1754	1754	NA	  44
MDCCXLII. [1742]	1742	1742	NA	  44
1651]	1651	1651	NA	  43
1641]	1641	1641	NA	  43
MDCCLXI. [1761]	1761	1761	NA	  43
MDCCLXXXIX. [1789]	1789	1789	NA	  43
[1797]	1797	1797	NA	  43
MDCCLXXXVII. [1787]	1787	1787	NA	  43
1786.	1786	1786	NA	  43
MDCCLV. [1755]	1755	1755	NA	  43
MDCCXLV. [1745]	1745	1745	NA	  43
1660.]	1660	1660	NA	  42
1660?]	1660	1660	NA	  42
[1643]	1643	1643	NA	  42
MDCCLXII. [1762]	1762	1762	NA	  42
MDCCLIX. [1759]	1759	1759	NA	  42
1783]	1783	1783	NA	  42
1638.	1638	1638	NA	  41
1699]	1699	1699	NA	  41
MDCLXXXVIII. [1688]	1688	1688	NA	  41
Printed in the yeare 1641.	1641	1641	NA	  41
1683]	1683	1683	NA	  41
1773.	1773	1773	NA	  41
1778.	1778	1778	NA	  41
1766.	1766	1766	NA	  41
1769]	1769	1769	NA	  40
1688?]	1688	1688	NA	  40
MDCXLVIII. [1648]	1648	1648	NA	  40
1695?]	1695	1695	NA	  40
1707]	1707	1707	NA	  40
MDCCXXXV. [1735]	1735	1735	NA	  40
[1794]	1794	1794	NA	  40
[ca. 1618]	1618	1618	NA	  39
1589.	1589	1589	NA	  39
1680?]	1680	1680	NA	  39
MDCCLXXXI. [1781]	1781	1781	NA	  39
1701?]	1701	1701	NA	  39
[1800?]	1800	1800	NA	  39
MDCCLVIII. [1758]	1758	1758	NA	  39
1697]	1697	1697	NA	  38
1700]	1700	1700	NA	  38
1795]	1795	1795	NA	  38
M,DCC,LXXVI. [1776]	1776	1776	NA	  38
M.DCC.LXXXVII. [1787]	1787	1787	NA	  38
1741.	1741	1741	NA	  38
1747.	1747	1747	NA	  38
MDCCXXXI. [1731]	1731	1731	NA	  38
1687]	1687	1687	NA	  37
[1649]	1649	1649	NA	  37
1784]	1784	1784	NA	  37
MDCCXLVI. [1746]	1746	1746	NA	  37
1765.	1765	1765	NA	  37
[1790]	1790	1790	NA	  37
[1799]	1799	1799	NA	  37
M,DCC,LXXXIV. [1784]	1784	1784	NA	  37
MDCCLXVIII. [1768]	1768	1768	NA	  37
1682]	1682	1682	NA	  36
[1689]	1689	1689	NA	  36
1723.	1723	1723	NA	  36
1706]	1706	1706	NA	  36
MDCCXXXIX. [1739]	1739	1739	NA	  36
1739.	1739	1739	NA	  36
1749.	1749	1749	NA	  36
MDCCLXXI. [1771]	1771	1771	NA	  36
1590.	1590	1590	NA	  35
1631.	1631	1631	NA	  35
[1659]	1659	1659	NA	  35
MDCCXCIV. [1794]	1794	1794	NA	  35
MDCCLII. [1752]	1752	1752	NA	  35
1763.	1763	1763	NA	  35
1785]	1785	1785	NA	  35
1733.	1733	1733	NA	  35
[1745]	1745	1745	NA	  35
M DC XC [1690]]	1690	1690	NA	  34
1659. [i.e. 1660]	1660	1660	NA	  34
[1719]	1719	1719	NA	  34
1652]	1652	1652	NA	  34
[1644]	1644	1644	NA	  34
M,DCC,LXXV. [1775]	1775	1775	NA	  34
1761.	1761	1761	NA	  34
M.DCC.XCIII. [1793]	1793	1793	NA	  34
1726.	1726	1726	NA	  34
MDCCXCVI. [1796]	1796	1796	NA	  34
M,DCC,LXXXIII. [1783]	1783	1783	NA	  34
M.DCC.LXXXIII. [1783]	1783	1783	NA	  34
MDCCXLVII. [1747]	1747	1747	NA	  34
1742.	1742	1742	NA	  34
MDCCLXVII. [1767]	1767	1767	NA	  34
1788]	1788	1788	NA	  34
1668.	1668	1668	NA	  33
Printed in the yeare 1648.	1648	1648	NA	  33
M.DCC.XCII. [1792]	1792	1792	NA	  33
1767.	1767	1767	NA	  33
[1791]	1791	1791	NA	  33
[1796]	1796	1796	NA	  33
MDCCLIII. [1753]	1753	1753	NA	  33
1751.	1751	1751	NA	  33
1780.	1780	1780	NA	  33
M.DCC.LXXVI. [1776]	1776	1776	NA	  33
1734.	1734	1734	NA	  33
MDCCLXV. [1765]	1765	1765	NA	  33
MDCCXXXII. [1732]	1732	1732	NA	  33
[1774]	1774	1774	NA	  32
1620.	1620	1620	NA	  32
1659 [i.e. 1660]	1660	1660	NA	  32
1799]	1799	1799	NA	  32
[1792]	1792	1792	NA	  32
MDCCIII. [1703]	1703	1703	NA	  32
1750.	1750	1750	NA	  32
