Name	Count
Total count: 	36010
-	  1
aaron rhames are be booksellers	  1
aaron rhames back dick's coffee-house jeremy pepyat bookseller skinner-row	  1
aaron rhames back dick's-coffee-house skinner-row	  1
aaron rhames booksellers	  1
aaron rhames jeremy pepyat bookseller skinner-row	  3
aaron rhames jer pepyat bookseller skinner-row	  1
aaron rhames robert owen bookseller skinner-row	  1
aaron rhames r owen bookseller skinner-row	  1
aaron upjohn his office next messrs cockerell trail lawtie's where advertisements letters articles intelligence are received	  1
aaron ward	  1
aaron ward king's-arms little-britain	  1
ab	  7
ab cp	  1
abel johnson near temple-bar	  1
abell ieffes roger ward	  1
abell ieffes thomas cadman	  1
abell roper	  1
abell swalle unicorn west-end st pauls	  1
abel roper	  1
abel roper are be george sawbridge three flower-de-luces little britain	  1
abel roper bell fleetstreet	  1
abel roper bell fleet street	  1
abel roper black-boy over against st dunstan's church fleetstreet francis coggan inner-temple-lane	  2
abel roper black boy richard basset mitre fleet-street william turner angel lincolns-inn back-gate	  1
abel roper black spread-eagle against st dunstans church fleet-street	  1
abel roper black spread eagle fleetstreet	  1
abel roper henry herringman sun against st dunstans church fleetstreet anchor lower walk new exchange	  1
abel roper miter next door old devil tavern fleet-street tho jones white horse without temple-barr	  1
abel roper mitre near temple-bar	  1
abel roper mitre within temple-bar	  1
abel roper r clavel fleetstreet	  1
abel roper samuel butler john morphew near stationers-hall	  1
abel roper signe sunne over against s dunstans church fleet-street	  1
abel roper sun against st dunstan's church fleet-street	  3
abel roper sun fleet-street	  1
abel roper sun fleetstreet over against st dunstans church	 12
abel roper sunne fleetstreet	  2
abel roper sun over against st dunstans church fleetstreet	  1
abel roper tho beaver near temple-barr	  1
abel roper tho collins council state	  2
abel roper tho collins printors council state	 11
abel roper thomas collins council state	  1
abel swal	  1
abel swall child are be roger clavel peacock fleetstreet francis mills w turner rose crown without temple-bar	  8
abel swall child unicorn st paul's church-yard	  2
abel swalle are be him unicorn west end s pauls	  1
abel swalle are be him unicorn west end s pauls tho mercer half moon corner shop royal exchange next sweetings alley cornhil	  2
abel swalle are be unicorn west-end s paul's sam crowch flower de-luce popes-head ally cornhil	  1
abel swalle timothy childe unicorn west-end st paul's	  1
abel swalle unicorn st paul's church-yard are be s eddowes piazza under royal exchange cornhil	  1
abel swalle unicorn west end st paul's	  1
abel swalle unicorn west-end st paul's church-yard	  1
abel swalle unicorn west-end st paul's church-yard are be samuel eddowes blew anchor under piazza royal exchange	  1
abel swalle unicorn west end st paul'sl	  1
abel swalle unicorn west end st paul's sam tidmarsh king's head cornhill	  1
abel swalle vnicorn west end st paul's	  4
abel swall tim childe unicorn west end st pauls	  1
abel swall timothy child r parker under piazza royal exchange cornhil	  1
abel swall unicorn henry bonwick red lyon st pauls church-yard samuel ravenshaw blew anchor duck-lane	  1
abel swall unicorn pater-noster-row	  1
abel swall unicorn st paul's church-yard	  1
abel swal vnicorn pater-noster-row timothy child white-hart st paul's-church-yard	  4
abigail baldwin warwicklane	  1
ab l curtiss	  1
abraham acher bookseller exchange	  1
abraham blauvelt	  1
abraham bradley	  1
abraham bradley king's arms two bibles matt williamson dame-street booksellers	  1
abraham bradley stationer king's most excellent majesty honourable house commons	  1
abraham bradley stationer king's most excellent majesty honourable house commons king's arms two bibles dame-street	  1
abraham bradley stationer king's most excellent majesty honourable house commons king's-arms two bibles dame-street	  1
abraham bradley stationer king's most excellent majesty king's-arms two bibles dame-street	  1
abraham chandler	  1
abraham green	  1
abraham hodge	  1
abraham mason	  1
abraham mason near temple-bar	  1
abraham miller	  1
abraham miller are be edw dod nath ekins signe gunne ivie la	  1
abraham miller are be edw dod nath ekins signe gunne ivie lane	  1
abraham miller are be george sawbridge sign bible on ludgate-hill	  1
abraham miller charles adams signe talbot near st dunstans-church fleetstreet	  1
abraham miller christopher meredith crane pauls-church yard tho vnderhill bible woodstreet	  1
abraham miller samuel gellibrand sign golden ball st pauls church-yard	  2
abraham miller samuel gellibrand st pauls church-yard	  1
abraham miller subscribers beacon set on fire	  1
abraham miller tho underhill bible woodstreet	  1
abraham miller tho vnderhill bible woodstreet	  1
abraham miller th vnderhill	  1
abraham neringh rotterdam ould head	  1
abraham schilders ie william jones or william stansby	  1
abraham shearman jun	  1
abree st margaret's where advertisements are taken books shop-keepers bills neatly	  1
absalon chamberlain	  1
absalon chamberlain red-bull play-house-yard over against pound st john-street near clerken-well-green	  2
academicis	  1
academicis archdeacon ubi veneunt j merrill londini deighton no holborn fletcher oxon	  1
academicis archdeacon veneunt b white filios londini j merrill cantabrigiae fletcher cooke oxoniae	  1
academicis bentham prostant gul thurlbourn woodyer cantab fletcher oxon millar londin	  1
academicis bentham prostant thurlbourn merrill cantab brice leicestriae	  1
academicis impensis editoris prostat venalis cooke hanwell parker oxonii white d bremner r faulder londini	  1
academicis impensis edm jeffery bibliopolae cantab prostant londini jac knapton bibliop coemeterio d pauli	  1
academicis impensis joannis oweni typographi	  1
academicis impensis joan oweni typographi	  1
academicis impensis r knaplock insigne capitis episcopi area boreali d pauli londini	  1
academicis prostant cornelium crownfield celeberrimae academiae typographum gulielmum johannem innys bibliopolas londinenses	  1
according act congress	  1
according authors own copy prevent any counterfeit	  1
according copy edinburgh john gay fleet-street william english chancery lane	  2
according dutch originals london george eld thomas thorpe richard chambers are be solde signe blacke beare paules church-yard shop edward blount	  1
according order	  1
according order bishop	  2
according order e blackmore	  1
according order edw husbands	  1
according order gb	  1
according order gb rw	  1
according order george bishop	  2
according order henry overton dwelling popes-head alley	  1
according order ht	  1
according order humphrey tuckey black spread-eagle fleetstreet	  4
according order if	  1
according order io hancock	  1
according order iohn hammond octob	  1
according order iohn hancock entrance into popes-head alley out cornhill	  1
according order jane coe	  1
according order lc	  1
according order matthew walbancke	  1
according order nathaniell webb	  2
according order r austin	  1
according order richard heron	  1
according order robert white	  6
according order tb	  1
