Name	Count
j	90
r	63
w	45
d	45
n	38
h	30
t	26
marchamont	24
silius	20
charles-françois	18
gabriel-honoré	16
m	14
jean-paul	14
c	14
slingsby	13
jean-gabriel	13
françois	13
g	12
soame	11
p	11
gryffith	11
gatien	11
galeazzo	11
conyers	10
bulstrode	10
bevill	10
pasquin	9
harbottle	9
e	9
de	9
calybute	9
browne	9
simonds	8
o	8
l	8
delariviere	8
trophime-gérard	7
polydore	7
jean-antoine-nicolas	7
vicesimus	6
shute	6
pelatiah	6
gorges	6
f	6
daines	6
capel	6
pierre-daniel	5
pemberton	5
jean-henri	5
jean-françois	5
foote	5
famiano	5
éléazar	5
sydenham	4
praisegod	4
lodowick	4
jean-pierre-louis	4
jean-pierre	4
jean-bernard-louis	4
jacques-auguste	4
garcilaso	4
consort	4
charlwood	4
b	4
yves-joseph	3
unton	3
theodorus	3
sackville	3
robert-françois-joseph	3
q	3
pierre-françois-xavier	3
paul-emilien	3
jean-alphonse	3
iacopo	3
hardress	3
gaultier	3
emmanuel-louis-henri-alexandre	3
desiderius	3
cristof	3
cadwallader	3
bartholomaeus	3
antoine-yves	3
andrewes	3
vincent-claude	2
v	2
uvedale	2
trophime-gérard	2
torbern	2
smyth	2
rené	2
philémon	2
onslow	2
ogier	2
newcome	2
michel-rené	2
marquard	2
marguerite-jeanne	2
louis-pierre	2
louis-marie	2
jerónymo	2
jean-nicolas	2
jean-baptiste-louis	2
jean-armand	2
jean-antoine	2
jean-andré	2
jános	2
ignazy	2
heneage	2
guillaume-alexandre	2
guidobald	2
guichard	2
georges-henri-victor	2
gédéon	2
françois-claude-amour	2
filliberto	2
fayrer	2
eyles	2
deodat	2
bourchier	2
bernardin	2
benoı̂t	2
beauchamp	2
bartolomej	2
aylett	2
ant	2
agmondisham	2
abbé	2
whitelocke	1
wellins	1
watkin	1
walraven	1
vavasor	1
ulpian	1
trophime-grard	1
trophime-gerard	1
treadway	1
torquato	1
thornhagh	1
thémiseul	1
the	1
tench	1
tanfield	1
styan	1
shippie	1
sébastien	1
scipione	1
scévole	1
sake	1
s	1
ridgly	1
reymer	1
return	1
rené-louis	1
reay	1
raunce	1
raphe	1
pierre-victor	1
pierre-curel	1
pierre-alphonse	1
philippe-auguste	1
petruccio	1
pantaleão	1
of	1
noël	1
niccolò	1
niccolao	1
mercurius	1
marc-rené-marie	1
luís	1
louise-marguerite	1
louis-rené	1
louis-charles	1
louis-antoine	1
louis-alexandre	1
lieuwe	1
léonor	1
lat	1
lancelot-voisin	1
joseph-gaspard-gilbert	1
josé	1
jerónymo	1
jean-vincent	1
jean-roland	1
jean-louis	1
jean-hugues	1
jean-guillaume	1
jean-baptiste-donatien	1
jaques-antoine	1
james-brown	1
israël-bernard	1
iōsēph	1
hovenden	1
hopestill	1
holloway	1
hoca	1
hayman	1
hanserd	1
gulielmus	1
guillaume-joseph	1
guillaume-emmanuel-joseph	1
guilielmo	1
gianvincenzo	1
gerardus	1
gabriel-honoré	1
fynes	1
françois-henri	1
françois-hédelin	1
françois-dominique	1
florimond-claude	1
fer~nao	1
ezerel	1
eyre	1
esaïe	1
erycius	1
eobald	1
englehart	1
ellert	1
elhanan	1
egerton	1
edw	1
east	1
donatien-marie-joseph	1
dominique-joseph	1
dermond	1
dermod	1
dermitius	1
demophilus	1
damião	1
dalby	1
d'blossiers	1
cradock	1
consider	1
claude-louis	1
claude-joseph	1
chrétien	1
chileab	1
chidly	1
chidley	1
charles-marie	1
charles-louis	1
charles-joseph	1
charles-jean-françois	1
charles-auguste	1
castruccio	1
carew	1
bassett	1
bartholomé	1
auguste-pierre	1
arundell	1
arthur-roger	1
arnoldus	1
armand-guy	1
antónio	1
antónio	1
antoine-françois-claude	1
anne-hilarion	1
alured	1
alssenadro	1
alexandre-louis	1
adrianus	1
abū	1
