Name	Count
years	1
with	1
who	1
was	1
voluntier	1
tot	1
this	1
theophilos	1
that	1
taken	1
sophia	1
society	1
resident	1
religion	1
present	1
philanthropus	1
philanax	1
philalethes	1
parliament	1
out	1
order	1
now	1
not	1
native	1
mercurius	1
member	1
kingdome	1
is	1
ii	1
honours	1
honourable	1
history	1
his	1
government	1
freeholder	1
formerly	1
for	1
false	1
et	1
englishman	1
dio	1
desires	1
description	1
demophilus	1
countrey	1
continental	1
command	1
basilius	1
attending	1
armie	1
anonymus	1
anglicus	1
ammianus	1
