Name	Count
prynne, william	141
goldsmith, oliver	119
defoe, daniel	103
burnet, gilbert	101
burke, edmund	90
josephus, flavius	82
gauden, john	82
robertson, william	75
fairfax, thomas	74
paine, thomas	70
hume, david	68
clarendon, edward hyde	64
lilburne, john	63
marana, giovanni paolo	62
shakespeare, william	59
otway, thomas	59
l'estrange, roger	59
price, richard	57
watson, richard	56
caesar, julius	55
wither, george	54
cromwell, oliver	54
smith, william	51
echard, laurence	48
walker, clement	46
pym, john	45
bolingbroke, henry st john	41
lockman, john	40
strafford, thomas wentworth	39
shebbeare, john	39
milton, john	39
leslie, charles	39
heylyn, peter	39
florus, lucius annaeus	39
temple, william	38
gibbon, edward	36
arbuthnot, john	35
cobbett, william	34
stow, john	33
dryden, john	33
wesley, john	32
tacitus, cornelius	32
taylor, john	31
penn, william	31
jones, d	31
jenkins, david	31
erskine, thomas	31
crouch, nathaniel	31
ussher, james	30
camden, william	30
priestley, joseph	29
addison, joseph	29
rushworth, john	28
howell, james	28
ferguson, robert	28
ward, edward	27
may, thomas	27
harper, robert goodloe	27
fox, william	27
essex, robert devereux	27
buchanan, george	27
albemarle, george monck	27
selden, john	26
mather, cotton	26
galloway, joseph	26
douglas, eleanor	26
boyer, abel	26
bowdler, john	26
prideaux, humphrey	25
holles, denzil	25
steele, richard	24
nedham, marchamont	24
ivernois, francis d'	24
parker, henry	23
jordan, thomas	23
grotius, hugo	23
clarke, samuel	23
bacon, francis	23
almon, john	23
washington, george	22
vicars, john	22
johnson, r	22
howell, william	22
clare, john fitzgibbon	22
campbell, john	22
watts, isaac	21
shipley, jonathan	21
sherlock, william	21
oates, titus	21
o'beirne, thomas lewis	21
cotton, robert	21
anderson, james	21
williams, helen maria	20
welwood, james	20
titus, silius	20
stafford, richard	20
scott, thomas	20
jones, william	20
dury, john	20
bowles, john	20
blair, hugh	20
wharton, george	19
smollett, tobias george	19
smith, john	19
pufendorf, samuel	19
ormonde, james butler	19
king, william	19
hooke, n	19
goodwin, john	19
gifford, john	19
fairfax, ferdinando	19
walker, george	18
rudyerd, benjamin	18
price, john	18
lenthall, william	18
halifax, george savile	18
dumouriez, charles-françois du périer	18
bristol, george digby	18
belhaven, john hamilton	18
swift, jonathan	17
peters, hugh	17
nalson, john	17
murray, james	17
lilly, william	17
l'écluse des loges, pierre mathurin de	17
kennett, white	17
johnson, samuel	17
hutchinson, thomas	17
haversham, john thompson	17
edwards, thomas	17
dugdale, william	17
cooke, edward	17
calamy, edmund	17
argyll, archibald campbell	17
strype, john	16
moore, john	16
mirabeau, gabriel-honoré de riquetti	16
hastings, warren	16
hare, francis	16
fox, george	16
du bartas, guillaume de salluste	16
davies, john	16
dalrymple, john	16
castellion, sébastien	16
baker, richard	16
wild, robert	15
walpole, robert	15
trumbull, john	15
trenck, friedrich	15
stackhouse, thomas	15
sprat, thomas	15
sarpi, paolo	15
rycaut, paul	15
montgaillard, maurice	15
montesquieu, charles de secondat	15
mervyn, audley	15
knox, william	15
james, elinor	15
harris, john	15
hall, joseph	15
gordon, thomas	15
ferguson, adam	15
daniel, samuel	15
clinton, henry	15
clarke, john	15
calonne, charles alexandre de	15
bate, george	15
stuart, gilbert	14
sherlock, thomas	14
salmon, thomas	14
rowlandson, mary white	14
raleigh, walter	14
pulteney, william	14
mauduit, israel	14
marshall, stephen	14
leland, john	14
lee, charles	14
hartley, david	14
byng, john	14
woodward, richard	13
vernon, edward	13
russell, william	13
rogers, john	13
peltier, jean-gabriel	13
norton, thomas	13
nicolson, william	13
massie, j	13
macpherson, james	13
inchiquin, murrough o'brien	13
hayward, john	13
franklin, benjamin	13
fontaine, nicolas	13
curry, john	13
cromarty, george mackenzie	13
cotton, john	13
bethel, slingsby	13
bancks, john	13
auckland, william eden	13
warwick, robert rich	12
walwyn, william	12
temple, john	12
sinclair, john	12
pitt, william	12
morgan, thomas	12
leeds, thomas osborne	12
knolles, richard	12
kirkton, james	12
herbert of cherbury, edward	12
hanway, jonas	12
hammond, henry	12
fuller, thomas	12
fisher, payne	12
bradbury, thomas	12
wishart, george	11
williamson, peter	11
williams, john	11
williams, gryffith	11
ward, nathaniel	11
waller, edmund	11
walker, henry	11
verstegan, richard	11
stubbe, henry	11
stillingfleet, edward	11
stewart, james	11
speed, john	11
saltmarsh, john	11
overton, richard	11
newcastle, william cavendish	11
milbourne, luke	11
manchester, edward montagu	11
maitland, william	11
lewis, john	11
jenyns, soame	11
howel, laurence	11
hervey, john	11
guicciardini, francesco	11
gualdo priorato, galeazzo	11
grattan, henry	11
goring, george	11
foxe, john	11
ellwood, thomas	11
du pin, louis ellies	11
drummond, william	11
dickinson, john	11
d'avenant, william	11
courtilz de sandras, gatien	11
comber, thomas	11
challoner, richard	11
brown, john	11
brady, robert	11
belsham, william	11
baxter, richard	11
allen, ethan	11
withers, john	10
wildman, john	10
watson, robert	10
