PrintedFor	PrintedBy	Ignored	Original	count
s.n.	NA	NA	s.n.	4617
[s.n.]	NA	NA	s.n.	1998
s.n.]	NA	NA	s.n.	1514
s.n	NA	NA	s.n.	785
NA	NA	NA	NA	605
printed by John Bill and Christopher Barker, printers to the Kings most Excellent Majesty	NA	NA	printed by John Bill and Christopher Barker, printed to the Kings most excllent Majesty	133
Printed by John Dunlap	NA	NA	Printed by John Dunlap	133
printed by Robert Barker, printer to the Kings most Excellent Majestie: and by the assignes of John Bill	NA	NA	printed by Robert Barker, printed to the Kings most excllent Majestie: and by the assignes of John Bill	132
printed in the year	NA	NA	printed in the year	116
printed for Edward Husband, printer to the Honorable House of Commons	NA	NA	printed for Edward Husband, printed to the Honorable House of Commons	102
In the Savoy, printed by the assigns of John Bill and Christopher Barker, printers to the Kings most Excellent Majesty	NA	the assigns of John Bill and Christopher Barker	NA	99
Printed in the year	NA	NA	printed in the year	98
printed by John Field, printer to the Parliament of England	NA	NA	printed by John Field, printed to the Parliament of England	95
printed for the author	NA	NA	printed for the author	87
Printed by Benjamin Edes	NA	NA	Printed by Benjamin Edes	85
printed by John Bill and Christopher Barker, printers to the Kings most excellent Majesty	NA	NA	printed by John Bill and Christopher Barker, printed to the Kings most printedllent Majesty	83
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd, printers to the Kings most excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd, printed to the Kings most printedllent Majesty	80
Printed by John Carter	NA	NA	Printed by John Carter	79
printed by Andrew Crooke, Printer to the King's Most Excellent Majesty, at the King's-Arms in Copper-Alley	NA	NA	printed by Andrew Crooke, printed to the King's Most excllent Majesty, at the King's-Arms in Copper-Alley	65
printed by Charles Bill and Thomas Newcomb, printers to the King and Queens most Excellent Majesties	NA	NA	printed by Charles Bill and Thomas Newcomb, printed to the King and Queens most excllent Majesties	60
printed by Benjamin Tooke, printer to the Kings most Excellent Majesty, and are to be sold by Samuel Dancer book-seller in Castle-street	NA	NA	printed by Benjamin Tooke, printed to the Kings most excllent Majesty, and are to be sold by Samuel Dancer book-seller in Castle-street	59
Printed by John Holt	NA	NA	Printed by John Holt	52
printed for T. Cadell, in the Strand	NA	NA	printed for T. Cadell, in the Strand	52
printed by the assigns of John Bill and Christopher Barker, printers to the Kings most Excellent Majesty	NA	NA	printed by the assigns of John Bill and Christopher Barker, printed to the Kings most excllent Majesty	48
printed by Robert Barker, printer to the Kings most excellent Majestie: and by the assignes of John Bill	NA	NA	printed by Robert Barker, printed to the Kings most printedllent Majestie: and by the assignes of John Bill	47
printed by the assigns of John Bill and Christopher Barker, printers to the Kings most excellent Majesty	NA	NA	printed by the assigns of John Bill and Christopher Barker, printed to the Kings most printedllent Majesty	47
printed by Richard Cotes	NA	NA	printed by Richard Cotes	46
printed by George Grierson, printer to the King's Most Excellent Majesty, at the King's Arms and Two Bibles in Essex-Street	NA	NA	printed by George Grierson, printed to the King's Most excllent Majesty, at the King's Arms and Two Bibles in Essex-Street	45
printed for Edward Husbands	NA	NA	printed for Edward Husbands	45
printed by Henry Hills and John Field, printers to His Highness	NA	NA	printed by Henry Hills and John Field, printed to His Highness	44
printed by Edward Husband and John Field, printers to the Parliament of England	NA	NA	printed by Edward Husband and John Field, printed to the Parliament of England	43
printed by George Grierson	NA	NA	printed by George Grierson	43
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the Queens most excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printed to the Queens most printedllent Majesty	41
Printed by Edw. Jones in the Savoy	NA	NA	Printed by Edw. Jones in the Savoy	40
Printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the Queens Most Excellent Majesty	NA	NA	Printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printed to the Queens Most excllent Majesty	39
printed by the assigns of John Bill deceas'd: and by Henry Hills, and Thomas Newcomb, printers to the Kings most excellent Majesty	NA	NA	printed by the assigns of John Bill deceas'd: and by Henry Hills, and Thomas Newcomb, printed to the Kings most printedllent Majesty	38
Printed by James Parker	NA	NA	Printed by James Parker	37
printed for J. Wright	NA	NA	printed for J. Wright	37
printed by Andrew Crook, printer to the Queen's most excellent Majesty, on the Blind-Key	NA	NA	printed by Andrew Crook, printed to the Queen's most printedllent Majesty, on the Blind-Key	36
Printed by Francis Bailey	NA	NA	Printed by Francis Bailey	36
By Bonham Norton and Iohn Bill, Printers to the Kings most Excellent Maiestie	NA	NA	By Bonham Norton and Iohn Bill, printed to the Kings most excllent Maiestie	36
by Leonard Lichfield, printer to the University	NA	NA	by Leonard Lichfield, printed to the University	36
printed by Charles Bill and Thomas Newcomb, printers to the King and Queens most excellent Majesties	NA	NA	printed by Charles Bill and Thomas Newcomb, printed to the King and Queens most printedllent Majesties	35
printed for John Thomas	NA	NA	printed for John Thomas	35
printed by John Bill, Christopher Barker, Thomas Newcomb, and Henry Hills, printers to the Kings most excellent Majesty	NA	NA	printed by John Bill, Christopher Barker, Thomas Newcomb, and Henry Hills, printed to the Kings most printedllent Majesty	35
Printed by Hudson and Goodwin	NA	NA	Printed by Hudson and Goodwin	35
Printed by William Ross?	NA	NA	Printed by William Ross?	35
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the King and Queens most Excellent Majesties	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printed to the King and Queens most excllent Majesties	35
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the Kings most Excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printed to the Kings most excllent Majesty	34
printed by Charles Bill and Thomas Newcomb, printers to the King and Queen's most Excellent Majesties	NA	NA	printed by Charles Bill and Thomas Newcomb, printed to the King and Queen's most excllent Majesties	34
by Robert Barker, printer to the Kings most Excellent Majestie: and by the assignes of John Bill	NA	NA	by Robert Barker, printed to the Kings most excllent Majestie: and by the assignes of John Bill	34
e Theatro Sheldoniano	NA	NA	e Theatro Sheldoniano	34
printed by John Baskett, printer to the Kings most excellent Majesty, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd	NA	NA	printed by John Baskett, printed to the Kings most printedllent Majesty, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd	34
printed for George Horton	NA	NA	printed for George Horton	34
printed by Leonard Lichfield, printer to the Vniversity	NA	NA	printed by Leonard Lichfield, printed to the Vniversity	34
printed for Joseph Hunscott	NA	NA	printed for Joseph Hunscott	34
Printed for the author	NA	NA	Printed for the author	33
printed for John Stockdale, Piccadilly	NA	NA	printed for John Stockdale, Piccadilly	33
printed by Evan Tyler, printer to the Kings most excellent Majestie	NA	NA	printed by Evan Tyler, printed to the Kings most printedllent Majestie	32
for John Wright at the Kings Head in the old Bayley	NA	NA	for John Wright at the Kings Head in the old Bayley	32
Printed by Childs and Swaine	NA	NA	Printed by Childs and Swaine	32
By Robert Barker, Printer to the Kings most Excellent Maiestie	NA	NA	By Robert Barker, printed to the Kings most excllent Maiestie	32
printed by Evan Tyler, printer to the Kings most Excellent Majesty	NA	NA	printed by Evan Tyler, printed to the Kings most excllent Majesty	32
printed for G. Horton	NA	NA	printed for G. Horton	32
printed for J. Debrett, opposite Burlington-House, Piccadilly	NA	NA	printed for J. Debrett, opposite Burlington-House, Piccadilly	31
printed by Andrew Crook, printer to the King's most excellent Majesty, on Cork-Hill, near Copper-Alley	NA	NA	printed by Andrew Crook, printed to the King's most printedllent Majesty, on Cork-Hill, near Copper-Alley	31
Printed by James Rivington	NA	NA	Printed by James Rivington	31
printed for J. Milliken, 32, Grafton-Street	NA	NA	printed for J. Milliken, 32, Grafton-Street	31
printed by John Baskett	NA	NA	printed by John Baskett	31
printed for R.W.	NA	NA	printed for R.W	31
printed for Iohn Thomas	NA	NA	printed for Iohn Thomas	30
printed by William du-Gard and Henry Hills, printers to His Highness the Lord Protector	NA	NA	printed by William du-Gard and Henry Hills, printed to His Highness the Lord Protector	29
printed for J. Dodsley, in Pall-Mall	NA	NA	printed for J. Dodsley, in Pall-Mall	29
by Robert Barker, printer to the Kings most excellent Maiestie	NA	NA	by Robert Barker, printed to the Kings most printedllent Maiestie	29
printed	NA	NA	printed	28
Printed by David C. Claypoole	NA	NA	Printed by David C. Claypoole	28
printed, by John Bill and Christopher Barker, printers to the Kings most Excellent Majesty	NA	NA	printed, by John Bill and Christopher Barker, printed to the Kings most excllent Majesty	27
by Robert Barker, printer to the Kings most excellent Majestie: and by the assignes of John Bill	NA	NA	by Robert Barker, printed to the Kings most printedllent Majestie: and by the assignes of John Bill	27
printed for Iohn Wright	NA	NA	printed for Iohn Wright	27
printed by John Streater, and John Macock, printers to the Parliament	NA	NA	printed by John Streater, and John Macock, printed to the Parliament	27
printed by Henry Hills and John Field, printers to His Highness the Lord Protector	NA	NA	printed by Henry Hills and John Field, printed to His Highness the Lord Protector	26
printed by Charles Bill, Henry Hills, and Thomas Newcomb, printers to the Kings most excellent Majesty	NA	NA	printed by Charles Bill, Henry Hills, and Thomas Newcomb, printed to the Kings most printedllent Majesty	26
printed for M. Cooper, at the Globe in Pater-Noster-Row	NA	NA	printed for M. Cooper, at the Globe in Pater-Noster-Row	26
printed for Edward Husband, printer to the honorable House of Commons	NA	NA	printed for Edward Husband, printed to the honorable House of Commons	26
printed by VVilliam Bladen	NA	NA	printed by VVilliam Bladen	26
printed for A. Millar, in the Strand	NA	NA	printed for A. Millar, in the Strand	25
printed for John Wright at the Kings Head in the old Bayley	NA	NA	printed for John Wright at the Kings Head in the old Bayley	25
printed for James and John Knapton, at the Crown in St. Paul's Church-Yard	NA	NA	printed for James and John Knapton, at the Crown in St. Paul's Church-Yard	24
printed by Andrew Crooke, printer to the Queen's most excellent Majesty, on the Blind-Key	NA	NA	printed by Andrew Crooke, printed to the Queen's most printedllent Majesty, on the Blind-Key	24
Printed by Andrew Crook, Printer to the Kings Most Excellent Majesty, on Ormonde-Key	NA	NA	Printed by Andrew Crook, printed to the Kings Most excllent Majesty, on Ormonde-Key	24
printed by John Bill, Thomas Newcomb, and Henry Hills, printers to the Kings most excellent Majesty	NA	NA	printed by John Bill, Thomas Newcomb, and Henry Hills, printed to the Kings most printedllent Majesty	24
Printed by John Draper	NA	NA	Printed by John Draper	24
printed for J. Roberts, near the Oxford-Arms in Warwick-Lane	NA	NA	printed for J. Roberts, near the Oxford-Arms in Warwick-Lane	24
by Stephen Bulkley	NA	NA	by Stephen Bulkley	24
printed for Iohn Wright in the Old-baily	NA	NA	printed for Iohn Wright in the Old-baily	24
printed for J. Debrett, opposite Burlington House, Piccadilly	NA	NA	printed for J. Debrett, opposite Burlington House, Piccadilly	23
printed by John Bill and Christopher Barker, printers to the King's most Excellent Majesty	NA	NA	printed by John Bill and Christopher Barker, printed to the King's most excllent Majesty	23
printed for John Wright at the Kings Head in the Old Bayley	NA	NA	printed for John Wright at the Kings Head in the Old Bayley	23
printed by Andrew Crooke, printer to the King's most excellent Majesty, at the King's-Arms in Copper-Alley	NA	NA	printed by Andrew Crooke, printed to the King's most printedllent Majesty, at the King's-Arms in Copper-Alley	23
printed by Andrew Crooke, printer to the Queen's most excellent Majesty, in Copper-Alley	NA	NA	printed by Andrew Crooke, printed to the Queen's most printedllent Majesty, in Copper-Alley	23
printed by John Bill, printer to the Kings most Excellent Majesty	NA	NA	printed by John Bill, printed to the Kings most excllent Majesty	23
Printed by Samuel Loudon	NA	NA	Printed by Samuel Loudon	23
Printed by Hall and Sellers	NA	NA	Printed by Hall and Sellers	23
printed by Charles Eyre and William Strahan, Printers to the King's most Excellent Majesty	NA	NA	printed by Charles Eyre and William Strahan, printed to the King's most excllent Majesty	23
printed for Laurence Chapman	NA	NA	printed for Laurence Chapman	22
printed only for R. Baldwin	NA	NA	printed for R. Baldwin	22
printed by Thomas Baskett; and by the assigns of Robert Baskett	NA	NA	printed by Thomas Baskett; and by the assigns of Robert Baskett	22
by Evan Tyler	NA	NA	by Evan Tyler	22
printed by the heir of Andrew Anderson, printer to His most Sacred Majesty	NA	NA	printed by the heir of Andrew Anderson, printed to His most Sacred Majesty	22
by Leonard Lichfield, printer to the Vniversity	NA	NA	by Leonard Lichfield, printed to the Vniversity	22
printed by Charles Bill, and Thomas Newcomb, printers to the King and Queen's most excellent Majesties	NA	NA	printed by Charles Bill, and Thomas Newcomb, printed to the King and Queen's most printedllent Majesties	22
printed by John Field, printer to the Parliament. And are to be sold at the seven Stars in Fleetstreet, over against Dunstans Church	NA	NA	printed by John Field, printed to the Parliament. And are to be sold at the seven Stars in Fleetstreet, over against Dunstans Church	22
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd, printers to the Kings most Excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd, printed to the Kings most excllent Majesty	22
printed by John Bill and Christopher Barker, printers to the King's most excellent Majesty	NA	NA	printed by John Bill and Christopher Barker, printed to the King's most printedllent Majesty	21
Printed by James Humphreys, Junr	NA	NA	Printed by James Humphreys, Junr	21
Printed by Thomas Baskett, printer to the King's Most Excellent Majesty; and by the assigns of Robert Baskett	NA	NA	Printed by Thomas Baskett, printed to the King's Most excllent Majesty; and by the assigns of Robert Baskett	21
Printed by Benjamin Tooke .. and are to be sold by Joseph Wilde ..	NA	NA	Printed by Benjamin Tooke .. and are to be sold by Joseph Wilde .	21
printed by Charles Eyre and William Strahan	NA	NA	printed by Charles Eyre and William Strahan	21
printed and sold by the booksellers of London and Westminster	NA	NA	printed by the booksellers of London and Westminster	20
printed by Evan Tyler, printer to the Kings most Excellent Majestie	NA	NA	printed by Evan Tyler, printed to the Kings most excllent Majestie	20
In the Savoy: printed by Edward Jones	NA	Edward Jones	NA	20
Printed by Edes and Gill	NA	NA	Printed by Edes and Gill	20
Printed by Francis Childs and John Swaine	NA	NA	Printed by Francis Childs and John Swaine	20
printed for J. Debrett, Piccadilly	NA	NA	printed for J. Debrett, Piccadilly	20
printed for J. Roberts in Warwick-Lane	NA	NA	printed for J. Roberts in Warwick-Lane	20
printed for J. Milliken	NA	NA	printed for J. Milliken	20
printed by George Eyre and Andrew Strahan, Printers to the King's most Excellent Majesty	NA	NA	printed by George Eyre and Andrew Strahan, printed to the King's most excllent Majesty	20
Printed by John Baskett, printer to the Kings Most Excellent Majesty, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd	NA	NA	Printed by John Baskett, printed to the Kings Most excllent Majesty, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd	20
printed by Charles Bill, and the executrix of Thomas Newcomb deceas'd; printers to the King and Queens most excellent Majesties	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb deceas'd; printed to the King and Queens most printedllent Majesties	20
Printed for Edward Husbands	NA	NA	Printed for Edward Husbands	20
Printed by Richard Cotes	NA	NA	Printed by Richard Cotes	20
printed by John Bill, Christopher Barker, Thomas Newcomb, and Henry Hills, printers to the Kings most Excellent Majesty	NA	NA	printed by John Bill, Christopher Barker, Thomas Newcomb, and Henry Hills, printed to the Kings most excllent Majesty	19
Printed by William Bradford	NA	NA	Printed by William Bradford	19
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd	19
printed for J. Johnson, No. 72, St. Paul's Church-Yard	NA	NA	printed for J. Johnson, No. 72, St. Paul's Church-Yard	19
printed for James and John Knapton	NA	NA	printed for James and John Knapton	19
printed by William Bladen	NA	NA	printed by William Bladen	19
Printed for P. Brooksby, J. Deacon, J. Blare, and J. Back	NA	NA	Printed for P. Brooksby, J. Deacon, J. Blare, and J. Back	19
printed by John Field for Edward Husband, printer to the Parliament of England	NA	NA	printed by John Field for Edward Husband, printed to the Parliament of England	19
printed for Edward Husband, printer to the Parliament of England	NA	NA	printed for Edward Husband, printed to the Parliament of England	19
Printed by John Crook .. and are to be sold by Samuel Dancer ..	NA	NA	Printed by John Crook .. and are to be sold by Samuel Dancer .	19
printed by Edward Husband and Iohn Field, printers to the Parliament of England	NA	NA	printed by Edward Husband and Iohn Field, printed to the Parliament of England	19
[s.n]	NA	NA	s.n.	18
printed by Andrew Crooke, printer to the King's most excellent Majesty, in Copper-Alley	NA	NA	printed by Andrew Crooke, printed to the King's most printedllent Majesty, in Copper-Alley	18
printed by Andrew Crooke, Printer to the Kings Most Excellent Majesty, at the King's-Arms in Copper-Alley	NA	NA	printed by Andrew Crooke, printed to the Kings Most excllent Majesty, at the King's-Arms in Copper-Alley	18
Printed by Benjamin Edes and Sons	NA	NA	Printed by Benjamin Edes and Sons	18
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the Kings most excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printed to the Kings most printedllent Majesty	18
In the Savoy, printed by the assigns of John Bill and Christopher Barker, printers to the Kings most excellent Majesty	NA	the assigns of John Bill and Christopher Barker	NA	18
printed for Edw. Husbands	NA	NA	printed for Edw. Husbands	18
Printed at London, and re-printed at Edinburgh	NA	NA	printed in London, and reprinted in Edinburgh	18
printed for Robert White	NA	NA	printed for Robert White	18
