author	author_gender	Count
;whittington, Robert (NA-1560)	ambiguous	     1
'ali,  (NA-1454)	NA	     1
'ali, Abū (1273-1331)	NA	     1
'ali, ḣusain	NA	     1
'alı̄ Ibn Abi Bakr, Burhān Al-dı̄n	NA	     1
'espinasse, Isaac (1758-1834)	NA	     7
'umar, Muḣammad (747-823)	NA	     1
****, Frère	NA	     1
&# ;aski, Jan (1499-1560)	male	     1
&c, A	NA	     1
A C , P S	NA	     1
à Court, John (1709-1715)	NA	     1
A y u j d r s & S a s, 	NA	     1
A,  (1566-1666)	NA	     1
A,  (1581-1666)	NA	     2
A,  (1582-1666)	NA	     1
A,  (1588-1666)	NA	     6
A,  (1589-1666)	NA	     1
A,  (1614-1666)	NA	     1
A,  (1619-1666)	NA	     3
A,  (1621-1666)	NA	     1
A,  (1625-1666)	NA	     1
A,  (1627-1666)	NA	     3
A,  (1631-1666)	NA	     1
A,  (1678-1666)	NA	     1
A,  (1681-1666)	NA	     1
A,  (1708-1666)	NA	     1
A,  (NA-1666)	NA	   371
Aa, Pieter Van Der (1659-1733)	ambiguous	     1
Aaron, 	NA	     6
Ab Elis, Gwilim (1752-1810)	male	     1
Ab, 	NA	     1
Abadie, J G D' (1676-NA)	NA	     1
Abarca De Bolea, Pedro Pablo (1718-1798)	ambiguous	     1
Abauzit, M (1679-1767)	NA	     7
Abbadie, Jacques (1654-1727)	ambiguous	    26
Abbey, R	NA	     1
Abbot, Abiel (1770-1828)	NA	     4
Abbot, Charles (1757-1829)	ambiguous	     1
Abbot, Charles (1761-1817)	ambiguous	     2
Abbot, George (1562-1633)	ambiguous	    38
Abbot, George (1604-1649)	ambiguous	     3
Abbot, Henry (1681-1728)	ambiguous	     2
Abbot, Hull (1702-1774)	ambiguous	     4
Abbot, John (1623-NA)	NA	     1
Abbot, John (1743-1804)	NA	     1
Abbot, John (1751-1840)	NA	     1
Abbot, Priscilla (NA-1804)	NA	     1
Abbot, Robert	ambiguous	     2
Abbot, Robert (1560-1618)	ambiguous	    18
Abbot, Robert (1588-1662)	ambiguous	    19
Abbott, Charles (1762-1832)	ambiguous	     1
Abbott, Henry (1784-1789)	ambiguous	     1
Abbott, John	NA	     1
Abbott, Jonathan	NA	     5
Abbott, Lemuel (1730-1776)	NA	     1
Abbott, Margaret	ambiguous	     1
Abbott, Sarah (1690-1701)	ambiguous	     1
Abbott, William	ambiguous	     1
Abbut, Henry	ambiguous	     1
Abdy, Stotherd (1727-1773)	NA	     3
Abdy, William Jarvis (1755-1823)	ambiguous	     3
Abeel, David G (NA-1795)	ambiguous	     1
Abel, J (1796-1800)	NA	     1
Abel, Thomas	NA	     1
Abela, Giovanfrancesco (1582-1655)	NA	     1
Abelard, Peter (1079-1142)	NA	    44
Abell, John (1653-1716)	NA	     5
Abell, Philip (1715-1729)	NA	     1
Abell, Richard (NA-1690)	ambiguous	     1
