Name	Count
Josephus, Flavius	82
Caesar, Julius	55
Florus, Lucius Annaeus	39
Tacitus, Cornelius	32
Ferguson, Robert	28
Douglas, Eleanor	26
Mervyn, Audley	15
Gordon, Thomas	15
Massie, J	13
Curry, John	13
Morgan, Thomas	12
Saltmarsh, John	11
Ridpath, George	10
Jackson, Charles	10
Dilworth, W H	10
Collyer, Mary	10
Stevens, John	9
Shaveblock, Pasquin	9
Ocland, Christopher	9
Monipennie, John	9
Hornby, Charles	9
Heywood, Thomas	9
Grafton, Richard	9
Curtius Rufus, Quintus	9
Crouch, Henry	9
Weld, Matthew	8
Seton, William	8
Peirce, Edmund	8
Manning, Robert	8
Manley, Delariviere	8
Justinus, Marcus Junianus	8
Hotham, John	8
Fleetwood, John	8
Exquemelin, O	8
Easton, James	8
Borlase, Edmund	8
Barbour, John	8
Spittlehouse, John	7
Hesilrige, Arthur	7
Giraffi, Alessandro	7
Gatford, Lionel	7
Fabyan, Robert	7
Cook, John	7
Comerford, T	7
Capriata, Pier Giovanni	7
Bicheno, J	7
Bernard, Nicholas	7
Barlow, William	7
Ancell, Samuel	7
Winer, Robert	6
Wilbee, Amon	6
Whetcombe, Tristram	6
Wallace, James	6
Reilly, Hugh	6
Monro, Alexander	6
Lawson, John	6
Jefferys, Thomas	6
Frowde, Philip	6
Friend, John	6
Freize, James	6
Crull, J	6
Cockings, George	6
Cicero, Marcus Tullius	6
Brockwell, Charles	6
Atwood, William	6
Arwaker, Edmund	6
Anderson, Aeneas	6
Story, George Warter	5
Sparke, Michael	5
Rudd, Pemberton	5
Rimius, Henry	5
Millington, Edward	5
Midon, Francis	5
Loftus, Edward	5
Lobb, Stephen	5
Laugharne, Rowland	5
Langhorne, Daniel	5
Ker, George	5
Holinshed, Raphael	5
Hodges, James	5
Goupil, Pierre étienne Auguste	5
Fortune, T	5
Corbet, Roger	5
Cole, Robert	5
Chauvet, D	5
Caldwell, James	5
Button, Edward	5
Broughton, Richard	5
Bray, William	5
Bishop, George	5
Beech, William	5
Batten, William	5
Ball, William	5
Allen, Charles	5
Workman, James	4
White, Francis	4
Whalley, Edward	4
Warrington, William	4
Victor, Benjamin	4
Vaughan, Rice	4
Trant, Dominick	4
Thompson, Nathaniel	4
Symmons, Edward	4
Spencer, Joshua	4
Scrafton, Luke	4
Saintliger, W	4
Russel, William Augustus	4
Rosse, William	4
Robinson, William	4
Rishton, Robert	4
Raymond, George Frederick	4
Ram, Robert	4
Ralph, James	4
Poyntz, Sydenham	4
Porter, John	4
Phillippes, Henry	4
Philipot, Thomas	4
O'dogherty, William	4
Norwood, Robert	4
Mossom, Robert	4
Moore, Thomas	4
Marshall, Nathaniel	4
Luckombe, Philip	4
Leach, William	4
Hurault, Michel	4
Hubert, Francis	4
Houlbrook, William	4
Hooper, Jacob	4
Hickman, Henry	4
Hennepin, Louis	4
Hammond, Charles	4
Hall, Edward	4
Gand, Louis De	4
Fullwood, Francis	4
Fannant, Thomas	4
Eyre, William	4
Everard, Edmund	4
Crosfeild, Robert	4
Craufurd, George	4
Colliber, Samuel	4
Coade, G	4
Clapham, Henoch	4
Chidley, Samuel	4
Cerdan, Jean-paul	4
Carr, William	4
Carliell, Robert	4
Campion, Robert	4
Braddon, Laurence	4
Bollan, William	4
Basill, William	4
Barkstead, John	4
Ashe, John	4
Wylie, Robert	3
Wills, William	3
Weldon, Anthony	3
Ware, Robert	3
Wantner, Abel	3
Vaughan, Charles	3
Valdés, Alfonso De	3
Udall, Ephraim	3
Turnbull, Gordon	3
Troughton, Thomas	3
Travers, Robert	3
Tracy, Darby	3
Tonkin, Mary	3
Thrum, Tam	3
Thomson, R	3
Thomas, William	3
Taubman, Matthew	3
Tailfer, Patrick	3
Sydney, Temple	3
Steele, William	3
Staley, William	3
Smith, Philip	3
Shepheard, James	3
Shaftoe, Frances	3
Sewell, George	3
Serle, Ambrose	3
Seacome, John	3
Scot, John	3
Schwan, Christian Friedrich	3
Saunders, Thomas	3
Sampford, H	3
Rudyard, Thomas	3
Ravenhill, William	3
Ramsey, Thomas	3
Purnell, Robert	3
Poyer, John	3
Pora, Charles	3
Pollen, Thomas	3
Pinnell, Henry	3
Oldfield, Henry George	3
Nutt, Thomas	3
Nixon, Anthony	3
Newrobe, Richard	3
