original_name	original_date	final_author_id	final_author_birth	final_author_death	Count
Total count: 	220317				
Wesley, John	1703-1791.	Wesley, John (1703-1791)	1703	1791	1195
Shakespeare, William	1564-1616.	Shakespeare, William (1564-1616)	1564	1616	1071
Defoe, Daniel	1661?-1731.	Defoe, Daniel (1661-1731)	1661	1731	1047
Watts, Isaac	1674-1748.	Watts, Isaac (1674-1748)	1674	1748	 771
Swift, Jonathan	1667-1745.	Swift, Jonathan (1667-1745)	1667	1745	 751
Pope, Alexander	1688-1744.	Pope, Alexander (1688-1744)	1688	1744	 649
Voltaire	1694-1778.	Voltaire,  (1694-1778)	1694	1778	 637
Bunyan, John	1628-1688.	Bunyan, John (1628-1688)	1628	1688	 634
Christie	1730-1803.	Christie,  (1730-1803)	1730	1803	 616
Dryden, John	1631-1700.	Dryden, John (1631-1700)	1631	1700	 540
Goldsmith, Oliver	1728-1774.	Goldsmith, Oliver (1728-1774)	1728	1774	 523
Milton, John	1608-1674.	Milton, John (1608-1674)	1608	1674	 518
Mather, Cotton	1663-1728.	Mather, Cotton (1663-1728)	1663	1728	 480
Baxter, Richard	1615-1691.	Baxter, Richard (1615-1691)	1615	1691	 463
Young, Edward	1683-1765.	Young, Edward (1683-1765)	1683	1765	 463
Gay, John	1685-1732.	Gay, John (1685-1732)	1685	1732	 463
Whitefield, George	1714-1770.	Whitefield, George (1714-1770)	1714	1770	 454
Lily, William	1468?-1522.	Lily, William (1468-1522)	1468	1522	 441
Paine, Thomas	1737-1809.	Paine, Thomas (1737-1809)	1737	1809	 420
More, Hannah	1745-1833.	More, Hannah (1745-1833)	1745	1833	 418
Burnet, Gilbert	1643-1715.	Burnet, Gilbert (1643-1715)	1643	1715	 409
Ovid	43 B.C.-17 A.D. or 18 A.D.	Ovid, 	NA	NA	 408
Ward, Edward	1667-1731.	Ward, Edward (1667-1731)	1667	1731	 400
Fielding, Henry	1707-1754.	Fielding, Henry (1707-1754)	1707	1754	 396
Fox, George	1624-1691.	Fox, George (1624-1661)	1624	1661	 377
Thomson, James	1700-1748.	Thomson, James (1700-1748)	1700	1748	 362
Dodsley, Robert	1703-1764.	Dodsley, Robert (1703-1764)	1703	1764	 361
Cibber, Colley	1671-1757.	Cibber, Colley (1671-1757)	1671	1757	 348
Addison, Joseph	1672-1719.	Addison, Joseph (1672-1719)	1672	1719	 347
Penn, William	1644-1718.	Penn, William (1644-1718)	1644	1718	 336
Sterne, Laurence	1713-1768.	Sterne, Laurence (1713-1768)	1713	1768	 335
Priestley, Joseph	1733-1804.	Priestley, Joseph (1733-1804)	1733	1804	 328
Rowe, Nicholas	1674-1718.	Rowe, Nicholas (1674-1718)	1674	1718	 310
Allestree, Richard	1619-1681.	Allestree, Richard (1619-1681)	1619	1681	 307
Prynne, William	1600-1669.	Prynne, William (1600-1669)	1600	1669	 295
O'Keeffe, John	1747-1833.	O'keeffe, John (1747-1833)	1747	1833	 292
Johnson, Samuel	1709-1784.	Johnson, Samuel (1709-1784)	1709	1784	 292
Farquhar, George	1677?-1707.	Farquhar, George (1677-1707)	1677	1707	 291
Ramsay, Allan	1685-1758.	Ramsay, Allan (1685-1758)	1685	1758	 287
Garrick, David	1717-1779.	Garrick, David (1717-1779)	1717	1779	 286
Erasmus, Desiderius	-1536.	Erasmus, Desiderius (NA-1536)	NA	1536	 280
Dibdin, Charles	1745-1814.	Dibdin, Charles (1745-1814)	1745	1814	 275
Hervey, James	1714-1758.	Hervey, James (1714-1758)	1714	1758	 273
Tillotson, John	1630-1694.	Tillotson, John (1630-1694)	1630	1694	 272
Congreve, William	1670-1729.	Congreve, William (1670-1729)	1670	1729	 269
Pindar, Peter	1738-1819.	Pindar, Peter (1738-1819)	1738	1819	 269
Steele, Richard	1672-1729.	Steele, Richard (1672-1729)	1672	1729	 266
Sherlock, William	1641?-1707.	Sherlock, William (1641-1707)	1641	1707	 263
Burke, Edmund	1729-1797.	Burke, Edmund (1729-1797)	1729	1797	 259
Synge, Edward	1659-1741.	Synge, Edward (1659-1741)	1659	1741	 250
Hall, Joseph	1574-1656.	Hall, Joseph (1574-1656)	1574	1656	 247
Cennick, John	1718-1755.	Cennick, John (1718-1755)	1718	1755	 247
Taylor, John	1580-1653.	Taylor, John (1580-1653)	1580	1653	 247
Bickerstaff, Isaac	1735-1812.	Bickerstaff, Isaac (1735-1812)	1735	1812	 244
Doddridge, Philip	1702-1751.	Doddridge, Philip (1702-1751)	1702	1751	 235
Gibson, Edmund	1669-1748.	Gibson, Edmund (1669-1748)	1669	1748	 234
Smollett, Tobias George	1721-1771.	Smollett, Tobias George (1721-1771)	1721	1771	 231
Woodward, Josiah	1660-1712.	Woodward, Josiah (1660-1712)	1660	1712	 228
Erskine, Ralph	1685-1752.	Erskine, Ralph (1685-1752)	1685	1752	 227
Hoadly, Benjamin	1676-1761.	Hoadly, Benjamin (1676-1761)	1676	1761	 226
Taylor, Jeremy	1613-1667.	Taylor, Jeremy (1613-1667)	1613	1667	 225
Otway, Thomas	1652-1685.	Otway, Thomas (1652-1685)	1652	1685	 225
Kotzebue, August von	1761-1819.	Kotzebue, August Von (1761-1819)	1761	1819	 220
Perkins, William	1558-1602.	Perkins, William (1558-1602)	1558	1602	 218
Owen, John	1616-1683.	Owen, John (1616-1683)	1616	1683	 216
Patrick, Simon	1626-1707.	Patrick, Simon (1626-1707)	1626	1707	 214
Leslie, Charles	1650-1722.	Leslie, Charles (1650-1722)	1650	1722	 211
Beveridge, William	1637-1708.	Beveridge, William (1637-1708)	1637	1708	 207
Law, William	1686-1761.	Law, William (1686-1761)	1686	1761	 207
Cumberland, Richard	1732-1811.	Cumberland, Richard (1732-1811)	1732	1811	 200
Locke, John	1632-1704.	Locke, John (1632-1704)	1632	1704	 199
Boston, Thomas	1677-1732.	Boston, Thomas (1677-1732)	1677	1732	 196
Bacon, Francis	1561-1626.	Bacon, Francis (1561-1626)	1561	1626	 196
Willison, John	1680-1750.	Willison, John (1680-1750)	1680	1750	 194
Fénelon, François de Salignac de La Mothe-	1651-1715.	Fénelon, François De Salignac De La Mothe- (1651-1715)	1651	1715	 194
