author_name	author_birth	author_death
A	1566	1666
A	1581	1666
A	1582	1666
A	1588	1666
A	1589	1666
A	1614	1666
A	1619	1666
A	1621	1666
A	1625	1666
A	1627	1666
A	1631	1666
A	1678	1666
A	1681	1666
A	1708	1666
A	NA	1666
Abbot, Charles	1757	1829
Abbot, Charles	1761	1817
Abbot, George	1562	1633
Abbot, George	1604	1649
Abbot, John	1623	NA
Abbot, John	1743	1804
Abbot, John	1751	1840
Abbot, Robert	1560	1618
Abbot, Robert	1588	1662
Abbot, Robert	NA	NA
Abercorn, James Hamilton	1686	1744
Abercorn, James Hamilton	1712	1789
Abercromby, Alexander	1677	1729
Abercromby, Alexander	1745	1795
Abercromby, Alexander	NA	1804
Abernethy, John	1680	1740
Abernethy, John	1764	1831
Abernethy, John	NA	1639
Adair, James	1709	1783
Adair, James	1743	1798
Adair, James	NA	NA
Adair, Robert	1716	1790
Adair, Robert	1763	1855
Adair, Robert	NA	1746
Adam, William	1689	1748
Adam, William	1751	1839
Adams, Frank	1559	1601
Adams, Frank	1580	1601
Adams, George	1680	1724
Adams, George	1709	1772
Adams, George	1716	1783
Adams, George	1750	1795
Adams, James	1677	1734
Adams, James	1737	1802
Adams, James	NA	NA
Adams, John	1662	1720
Adams, John	1704	1740
Adams, John	1730	1800
Adams, John	1732	1733
Adams, John	1735	1826
Adams, John	1750	1814
Adams, John	1752	1804
Adams, John	1757	1807
Adams, John	1766	1776
Adams, John	1773	1825
Adams, John	NA	1757
Adams, John	NA	NA
Adams, Joseph	1689	1783
Adams, Joseph	1720	1785
Adams, Joseph	1756	1818
Adams, Joseph	1795	NA
Adams, Samuel	1676	1751
Adams, Samuel	1722	1803
Adams, Samuel	NA	NA
Adams, Thomas	1586	1668
Adams, Thomas	1612	1653
Adams, Thomas	1719	1770
Adams, Thomas	1800	NA
Adams, Thomas	NA	1770
Adams, William	1650	1685
Adams, William	1660	NA
Adams, William	1674	1714
Adams, William	1675	1730
Adams, William	1706	1789
Adams, William	1710	1798
Adams, William	1717	1725
Adams, William	1752	1811
Adamson, John	1644	1718
Adamson, John	1741	1808
Adamson, John	NA	1653
Adamson, John	NA	NA
Aitken, John	1700	NA
Aitken, John	1745	1831
Aitken, John	NA	1790
Aitken, John	NA	NA
Alcock, John	1430	1500
Alcock, John	1647	NA
Alcock, John	1704	1769
Alcock, John	1715	1806
Alcock, John	1740	1791
Alden, Timothy	1736	1828
Alden, Timothy	1771	1839
Alderson, John	1721	1764
Alderson, John	1757	1829
Alexander	1599	1667
Alexander	1610	1691
Alexander	NA	1523
Alexander	NA	NA
Alexander, John	1638	1716
Alexander, John	1695	1743
Alexander, John	1736	1765
Alexander, John	1769	1792
Alexander, John	NA	NA
Alexander, William	1685	1704
Alexander, William	1690	1761
Alexander, William	1766	NA
Alexander, William	1783	NA
Alexander, William	NA	1783
Alexander, William	NA	NA
Allan, James	1696	1707
Allan, James	1712	1767
Allan, James	NA	NA
Allen	1790	NA
Allen	1795	NA
Allen	NA	NA
Allen, James	1632	1710
Allen, James	1697	1755
Allen, James	1739	1808
Allen, James	NA	NA
Allen, John	1660	1741
Allen, John	1686	NA
Allen, John	1687	1765
Allen, John	1702	1774
Allen, John	1720	1784
Allen, John	1741	1774
Allen, John	1763	1812
Allen, John	NA	1695
Allen, John	NA	1742
Allen, John	NA	NA
Allen, Joseph	1709	1793
Allen, Joseph	1772	1806
Allen, Joseph	NA	NA
Allen, Richard	1604	1605
Allen, Richard	1640	1717
Allen, Richard	1737	1739
Allen, Richard	NA	NA
Allen, Robert	1596	1612
Allen, Robert	1670	1612
Allen, Robert	NA	1612
Allen, Thomas	1608	1673
Allen, Thomas	1681	1755
Allen, Thomas	1696	1704
Allen, Thomas	1725	1735
Allen, Thomas	1728	1793
Allen, Thomas	1743	1810
Allen, Thomas	NA	1684
Allen, Thomas	NA	NA
Allen, William	1532	1594
Allen, William	1681	1697
Allen, William	1704	1780
Allen, William	1736	1742
Allen, William	1770	1843
Allen, William	NA	1679
Allen, William	NA	1686
Allen, William	NA	1786
Allen, William	NA	1811
Allen, William	NA	NA
Allestree, Richard	1617	1643
Allestree, Richard	1619	1681
Allestree, Richard	NA	NA
Allix, Pierre	1614	1717
Allix, Pierre	1641	1717
Ambrose, John	1705	1771
Ambrose, John	1780	1771
Ames, Nathaniel	1708	1764
Ames, Nathaniel	1741	1822
Ames, William	1576	1633
Ames, William	1662	NA
Ames, William	NA	1662
Ames, William	NA	1689
Ames, William	NA	NA
Amory, Thomas	1684	1710
Amory, Thomas	1691	1788
Amory, Thomas	1701	1774
Anderson, Alexander	1715	1723
Anderson, Alexander	1775	1870
Anderson, Alexander	1792	NA
Anderson, George	1635	1710
Anderson, George	1676	1756
Anderson, George	1739	NA
Anderson, George	1760	1796
Anderson, George	NA	1638
Anderson, George	NA	NA
Anderson, Henry	1581	1582
