Name	Count
Total count: 	n=18232 (100% non-NA values)
Prynne, William	141
Goldsmith, Oliver	118
Defoe, Daniel	103
Burnet, Gilbert	101
Burke, Edmund	 90
Josephus, Flavius	 82
Gauden, John	 82
Robertson, William	 75
Fairfax, Thomas	 74
Paine, Thomas	 70
Hume, David	 68
Clarendon, Edward Hyde	 64
Lilburne, John	 63
Marana, Giovanni Paolo	 62
Shakespeare, William	 59
Otway, Thomas	 59
L'estrange, Roger	 59
Price, Richard	 57
Watson, Richard	 56
Caesar, Julius	 55
Wither, George	 54
Cromwell, Oliver	 54
Smith, William	 51
Echard, Laurence	 48
Walker, Clement	 46
Pym, John	 45
Bolingbroke, Henry St John	 41
Lockman, John	 40
Strafford, Thomas Wentworth	 39
Shebbeare, John	 39
Milton, John	 39
Leslie, Charles	 39
Heylyn, Peter	 39
Florus, Lucius Annaeus	 39
Temple, William	 38
Gibbon, Edward	 36
Arbuthnot, John	 35
Cobbett, William	 34
Stow, John	 33
Dryden, John	 33
Wesley, John	 32
Tacitus, Cornelius	 32
Taylor, John	 31
Penn, William	 31
Jones, D	 31
Jenkins, David	 31
Erskine, Thomas	 31
Crouch, Nathaniel	 31
Ussher, James	 30
Camden, William	 30
Priestley, Joseph	 29
Addison, Joseph	 29
Rushworth, John	 28
Howell, James	 28
Ferguson, Robert	 28
Ward, Edward	 27
May, Thomas	 27
Harper, Robert Goodloe	 27
Fox, William	 27
Essex, Robert Devereux	 27
Buchanan, George	 27
Albemarle, George Monck	 27
Selden, John	 26
Mather, Cotton	 26
Galloway, Joseph	 26
Douglas, Eleanor	 26
Boyer, Abel	 26
Bowdler, John	 26
Prideaux, Humphrey	 25
Holles, Denzil	 25
Steele, Richard	 24
Nedham, Marchamont	 24
Parker, Henry	 23
Jordan, Thomas	 23
Ivernois, Francis D'	 23
Grotius, Hugo	 23
Clarke, Samuel	 23
Bacon, Francis	 23
Almon, John	 23
Washington, George	 22
Vicars, John	 22
Johnson, R	 22
Howell, William	 22
Clare, John Fitzgibbon	 22
Campbell, John	 22
Watts, Isaac	 21
Shipley, Jonathan	 21
Sherlock, William	 21
O'beirne, Thomas Lewis	 21
Oates, Titus	 21
Cotton, Robert	 21
Anderson, James	 21
Williams, Helen Maria	 20
Welwood, James	 20
Titus, Silius	 20
Stafford, Richard	 20
Scott, Thomas	 20
Jones, William	 20
Dury, John	 20
Bowles, John	 20
Blair, Hugh	 20
Wharton, George	 19
Smollett, Tobias George	 19
Smith, John	 19
Pufendorf, Samuel	 19
Ormonde, James Butler	 19
King, William	 19
Hooke, N	 19
Goodwin, John	 19
Gifford, John	 19
Fairfax, Ferdinando	 19
Walker, George	 18
Rudyerd, Benjamin	 18
Price, John	 18
Lenthall, William	 18
Halifax, George Savile	 18
Dumouriez, Charles-françois Du Périer	 18
Bristol, George Digby	 18
Belhaven, John Hamilton	 18
Swift, Jonathan	 17
Peters, Hugh	 17
Nalson, John	 17
Murray, James	 17
Lilly, William	 17
L'écluse Des Loges, Pierre Mathurin De	 17
Kennett, White	 17
Johnson, Samuel	 17
Hutchinson, Thomas	 17
Haversham, John Thompson	 17
Edwards, Thomas	 17
Dugdale, William	 17
Cooke, Edward	 17
Calamy, Edmund	 17
Argyll, Archibald Campbell	 17
Strype, John	 16
Moore, John	 16
Mirabeau, Gabriel-honoré De Riquetti	 16
Hastings, Warren	 16
Hare, Francis	 16
Fox, George	 16
Du Bartas, Guillaume De Salluste	 16
Davies, John	 16
Dalrymple, John	 16
Castellion, Sébastien	 16
Baker, Richard	 16
Wild, Robert	 15
Walpole, Robert	 15
Trumbull, John	 15
Trenck, Friedrich	 15
Stackhouse, Thomas	 15
Sprat, Thomas	 15
Sarpi, Paolo	 15
Rycaut, Paul	 15
Montgaillard, Maurice	 15
Montesquieu, Charles De Secondat	 15
Mervyn, Audley	 15
Knox, William	 15
James, Elinor	 15
Harris, John	 15
Hall, Joseph	 15
