original	polished	Count
Total count: 	n= 45786  ( 50 % non-NA values)	Total count: 
Cicero, Marcus Tullius.	Cicero, Marcus Tullius	405
Horace.	Horace	322
Virgil.	Virgil	285
Lady.	Lady	238
Homer.	Homer	222
Rider, Cardanus.	Rider, Cardanus	161
Fenning, Daniel.	Fenning, Daniel	161
Lyttelton, George Lyttelton	Lyttelton, George	139
Lorrain, P.	Lorrain, P	129
Xenophon.	Xenophon	126
Johnson, R.	Johnson, R	113
Bailey, N.	Bailey, N	112
Younge, Richard.	Younge, Richard	109
Wright, S.	Wright, S	107
Churchill, C.	Churchill, C	105
Josephus, Flavius.	Josephus, Flavius	104
Gentleman.	Gentleman	95
Caesar, Julius.	Caesar, Julius	94
Nepos, Cornelius.	Nepos, Cornelius	94
Woodhouse, John.	Woodhouse, John	92
Swallow, John.	Swallow, John	91
Juvenal.	Juvenal	91
Layman.	Layman	90
Kenrick, W.	Kenrick, W	90
Fly.	Fly	88
Justinus, Marcus Junianus.	Justinus, Marcus Junianus	87
Dove, Jonathan.	Dove, Jonathan	85
Massie, J.	Massie, J	83
Citizen.	Citizen	82
Dade, William.	Dade, William	82
King, Thomas.	King, Thomas	81
Fairfax, Thomas Fairfax	Fairfax, Thomas	80
Beverley, Thomas.	Beverley, Thomas	79
Bullord, John.	Bullord, John	76
Erskine, Thomas Erskine	Erskine, Thomas	75
Perkins, F.	Perkins, F	73
Ford, Emanuel.	Ford, Emanuel	73
Erra Pater.	Erra Pater	72
Trigge, Thomas.	Trigge, Thomas	72
Chetwood, W. R.	Chetwood, W. R	70
Perrin, John.	Perrin, John	66
England and Wales.	England And Wales	66
Demosthenes.	Demosthenes	66
Hervey, John Hervey	Hervey, John	66
Sophocles.	Sophocles	59
Skinner, R.	Skinner, R	58
Wakely, Andrew.	Wakely, Andrew	54
Brookes, R.	Brookes, R	53
Derham, W.	Derham, W	53
Fisher, A.	Fisher, A	51
Grosvenor, B.	Grosvenor, B	51
Hamilton, James George Hamilton	Hamilton, James George	51
Farmer.	Farmer	51
Brissot de Warville, J.-P.	Brissot De Warville, J.-p	50
Lewis, M. G.	Lewis, M. G	50
Plato.	Plato	49
Mauger, Claude.	Mauger, Claude	48
Aristotle.	Aristotle	48
Tacitus, Cornelius.	Tacitus, Cornelius	48
Cross, J. C.	Cross, J. C	47
Young lady.	Young Lady	47
Amhurst, N.	Amhurst, N	46
Turner, R.	Turner, R	45
Webster, W.	Webster, W	45
Dilworth, W. H.	Dilworth, W. H	45
Livy.	Livy	45
Jones, D.	Jones, D	45
Tissot, S. A. D.	Tissot, S. A. D	45
Holles, Denzil Holles	Holles, Denzil	44
Lucretius Carus, Titus.	Lucretius Carus, Titus	43
Gentleman of Oxford.	Gentleman Of Oxford	43
Boyse, J.	Boyse, J	43
Mears, W.	Mears, W	42
Stubbes, Phillip.	Stubbes, Phillip	42
Douglas of Douglas, Archibald Douglas	Douglas Of Douglas, Archibald	41
Barrington, John Shute Barrington	Barrington, John Shute	40
Lupton, Thomas.	Lupton, Thomas	40
Isocrates.	Isocrates	39
Pulteney, William.	Pulteney, William	38
Robertson, J.	Robertson, J	38
Clergyman.	Clergyman	38
Florus, Lucius Annaeus.	Florus, Lucius Annaeus	38
Anson, George Anson	Anson, George	37
Owen, W.	Owen, W	37
De Coetlogon, C. E.	De Coetlogon, C. E	37
Shepherd, R.	Shepherd, R	36
Curtius Rufus, Quintus.	Curtius Rufus, Quintus	36
Cheesman, T.	Cheesman, T	36
Grant, Peter Leslie.	Grant, Peter Leslie	36
Freeman.	Freeman	35
Herbert of Cherbury, Edward Herbert	Herbert Of Cherbury, Edward	35
Friend.	Friend	35
Minister.	Minister	35
Strange, E.	Strange, E	35
Dutens, L.	Dutens, L	35
Young gentleman.	Young Gentleman	34
Holdsworth, E.	Holdsworth, E	34
Bold, S.	Bold, S	34
Citizen of London.	Citizen Of London	34
Chamberlen, Hugh.	Chamberlen, Hugh	34
Philanthropos.	Philanthropos	33
Venn, H.	Venn, H	33
Cunningham, T.	Cunningham, T	33
Pulle, John.	Pulle, John	33
Sherlock, R.	Sherlock, R	32
Rowning, J.	Rowning, J	32
Mather, W.	Mather, W	31
Somers, John Somers	Somers, John	31
Nott, Job.	Nott, Job	31
O'Bryen, D.	O'bryen, D	31
Bicheno, J.	Bicheno, J	30
Ball, William.	Ball, William	30
Clowes, J.	Clowes, J	30
Bellamy, D.	Bellamy, D	30
Burdon, William.	Burdon, William	29
Gordon, Alexander Gordon	Gordon, Alexander	29
Fleetwood, John.	Fleetwood, John	29
Person of honour.	Person Of Honour	29
Bickerstaff, Isaac.	Bickerstaff, Isaac	28
Bohun, William.	Bohun, William	28
Brydone, P.	Brydone, P	28
Montagu, R.	Montagu, R	28
Merchant.	Merchant	27
Hamilton, James Hamilton	Hamilton, James	27
Bowne, Tobias.	Bowne, Tobias	27
Berault, Peter.	Berault, Peter	26
Fowle, Thomas.	Fowle, Thomas	26
James, R.	James, R	26
Gibson, W.	Gibson, W	26
Stanhope, Charles Stanhope	Stanhope, Charles	26
Officer.	Officer	26
Turner, W.	Turner, W	26
Moulton, Thomas.	Moulton, Thomas	26
Gentleman in town.	Gentleman In Town	25
Gallen, Thomas.	Gallen, Thomas	25
Clapham, Henoch.	Clapham, Henoch	25
Walker, A.	Walker, A	24
Theocritus.	Theocritus	24
Muckarsie, John.	Muckarsie, John	23
Plain Man.	Plain Man	23
Douglas, Archibald James Edward Douglas	Douglas, Archibald James Edward	23
De Britaine, William.	De Britaine, William	23
Publicola.	Publicola	23
Bartlet, J.	Bartlet, J	23
Hunter, A.	Hunter, A	23
Hoppus, E.	Hoppus, E	23
Fitz-Adam, Adam.	Fitz-adam, Adam	23
Garretson, J.	Garretson, J	23
Ferne, H.	Ferne, H	23
Hart, J.	Hart, J	22
Thompson, J.	Thompson, J	22
Spilsbury, Francis.	Spilsbury, Francis	22
Withals, John.	Withals, John	22
Smith, E.	Smith, E	22
D'Anvers, Caleb.	D'anvers, Caleb	22
Nugent, Robert Nugent	Nugent, Robert	22
Hooke, N.	Hooke, N	22
Vallance, James.	Vallance, James	22
Wimbledon, Thomas.	Wimbledon, Thomas	22
Exshaw, J.	Exshaw, J	22
Gailhard, J.	Gailhard, J	22
Lanfiere, Thomas.	Lanfiere, Thomas	22
Skerret, R.	Skerret, R	21
Moxon, Elizabeth.	Moxon, Elizabeth	21
Stevens, J.	Stevens, J	21
Irishman.	Irishman	21
Brutus.	Brutus	21
Proud, J.	Proud, J	21
Sprange, J.	Sprange, J	21
Holwell, J. Z.	Holwell, J. Z	21
Wanostrocht, N.	Wanostrocht, N	21
Steel, David.	Steel, David	21
Butler, Isaac.	Butler, Isaac	21
Cowper, William Cowper	Cowper, William	20
Peyton, V. J.	Peyton, V. J	20
Chidley, Samuel.	Chidley, Samuel	20
Craghead, Robert.	Craghead, Robert	20
Merry Andrew.	Merry Andrew	20
Axford, John.	Axford, John	20
Wharton, Philip Wharton	Wharton, Philip	20
Hudson, Peter.	Hudson, Peter	20
Briton.	Briton	20
Pindar.	Pindar	20
Hitchens, James.	Hitchens, James	20
Fitzwilliam, William Wentworth Fitzwilliam	Fitzwilliam, William Wentworth	20
Broughton, Richard.	Broughton, Richard	20
Brayne, John.	Brayne, John	20
Sheppard, S.	Sheppard, S	20
Perry, S.	Perry, S	19
Sibly, E.	Sibly, E	19
Arbuthnott, John Arbuthnott	Arbuthnott, John	19
Dyke, Daniel, d. 1614.	Dyke, Daniel D.	19
Civis.	Civis	19
Veritas.	Veritas	19
Rutherforth, T.	Rutherforth, T	19
Holman, J. G.	Holman, J. G	19
Cockburn, W.	Cockburn, W	19
King, Peter King	King, Peter	19
Boyle, P.	Boyle, P	19
Stern, Philip.	Stern, Philip	19
Roussat, Richard.	Roussat, Richard	19
Crimsal, Richard.	Crimsal, Richard	19
Stanbridge, John.	Stanbridge, John	19
Fairfax, Ferdinando Fairfax	Fairfax, Ferdinando	19
Fitzgerald, R.	Fitzgerald, R	19
Philipps, J. T.	Philipps, J. T	18
Polybius.	Polybius	18
Salmon, N.	Salmon, N	18
Bordley, J. B.	Bordley, J. B	18
Clare, M.	Clare, M	18
Gearing, William.	Gearing, William	18
Haym, Nicola Francesco.	Haym, Nicola Francesco	18
Riley, George.	Riley, George	18
Merchant of London.	Merchant Of London	18
