original	polished	Count
Total count: 	n=3557 (50% non-NA values)	Total count: 
Josephus, Flavius.	Josephus, Flavius	81
Fairfax, Thomas Fairfax	Fairfax, Thomas	74
L'Estrange, Roger	L'estrange, Roger	58
Caesar, Julius.	Caesar, Julius	55
Bolingbroke, Henry St. John	Bolingbroke, Henry St John	41
Florus, Lucius Annaeus.	Florus, Lucius Annaeus	39
Tacitus, Cornelius.	Tacitus, Cornelius	32
Erskine, Thomas Erskine	Erskine, Thomas	31
Jones, D.	Jones, D	31
Holles, Denzil Holles	Holles, Denzil	25
Ivernois, Francis d'	Ivernois, Francis D'	23
Johnson, R.	Johnson, R	22
O'Beirne, Thomas Lewis	O'beirne, Thomas Lewis	21
Hooke, N.	Hooke, N	19
Fairfax, Ferdinando Fairfax	Fairfax, Ferdinando	19
Dumouriez, Charles-François Du Périer	Dumouriez, Charles-françois Du Périer	18
L'Écluse des Loges, Pierre Mathurin de	L'écluse Des Loges, Pierre Mathurin De	17
Mirabeau, Gabriel-Honoré de Riquetti	Mirabeau, Gabriel-honoré De Riquetti	16
Du Bartas, Guillaume de Salluste	Du Bartas, Guillaume De Salluste	16
Montesquieu, Charles de Secondat	Montesquieu, Charles De Secondat	15
Calonne, Charles Alexandre de	Calonne, Charles Alexandre De	15
Peltier, Jean-Gabriel	Peltier, Jean-gabriel	13
Massie, J.	Massie, J	13
Inchiquin, Murrough O'Brien	Inchiquin, Murrough O'brien	13
Herbert of Cherbury, Edward Herbert	Herbert Of Cherbury, Edward	12
Hervey, John Hervey	Hervey, John	11
Courtilz de Sandras, Gatien	Courtilz De Sandras, Gatien	11
Goring, George Goring	Goring, George	11
D'Avenant, William	D'avenant, William	11
Dilworth, W. H.	Dilworth, W H	10
Rokeby, Matthew Robinson-Morris	Rokeby, Matthew Robinson-morris	10
Rabaut, Jean-Paul	Rabaut, Jean-paul	10
Ferne, H.	Ferne, H	10
Monipennie, John.	Monipennie, John	9
Brackenridge, H. H.	Brackenridge, H H	9
Shaveblock, Pasquin.	Shaveblock, Pasquin	9
Curtius Rufus, Quintus.	Curtius Rufus, Quintus	9
Somers, John Somers	Somers, John	8
Justinus, Marcus Junianus.	Justinus, Marcus Junianus	8
Commynes, Philippe de	Commynes, Philippe De	8
Exquemelin, A. O.	Exquemelin, O	8
Tindal, N.	Tindal, N	8
Holwell, J. Z.	Holwell, J Z	8
Fleetwood, John.	Fleetwood, John	8
Weld, Matthew.	Weld, Matthew	8
Easton, James.	Easton, James	8
D'Auvergne, Edward	D'auvergne, Edward	8
King, Peter King	King, Peter	8
Serres, Jean de	Serres, Jean De	8
D'Ewes, Simonds	D'ewes, Simonds	8
Langdale, Marmaduke Langdale	Langdale, Marmaduke	7
Bicheno, J.	Bicheno, J	7
Condorcet, Jean-Antoine-Nicolas de Caritat	Condorcet, Jean-antoine-nicolas De Caritat	7
Lally-Tolendal, Trophime-Gérard	Lally-tolendal, Trophime-gérard	7
Barbé-Marbois, François	Barbé-marbois, François	7
Comerford, T.	Comerford, T	7
Pulteney, William.	Pulteney, William	7
