author_name	Count
Total count: 	845
Philalethes	97
Freeholder	53
Englishman	48
Lover Of His Country	47
Clergyman	39
Friend	35
Philanthropos	34
Publicola	23
Irishman	21
Briton	21
Veritas	20
Civis	19
Hibernicus	16
Liveryman	15
Member	14
Philadelphus	12
Spectator	12
Anonymus	12
Rusticus	11
Candidus	10
Philanglus	10
Volunteer	10
Verax	10
Patriot	10
Observator	 9
Juvenis	 8
Inhabitant	 8
Marsom	 8
Candor	 8
True Lover Of The People	 8
Monitor	 7
Philologos	 7
Cincinnatus	 6
Nobleman	 6
Britannus	 6
Pennsylvanian	 5
Americanus	 5
Philanthropus	 5
Orangeman	 5
Phileleutheros	 5
Philadelphian	 4
Humanus	 4
Portius	 4
Phileleutherus	 4
Mentor	 4
Royalist	 4
Casca	 3
Camillus	 3
Observer	 3
Laelius	 3
Mignonneau	 3
Soldier	 3
Commoner	 3
Whig	 3
Garden	 3
Philopolis	 3
Remembrancer	 3
Borialis	 3
Philaretes	 3
Palinurus	 3
Philotheos	 3
Midshipman	 3
Civicus	 3
Philoclesius	 3
Henoticus	 2
Antibiastes	 2
Sentinel	 2
Philodemus	 2
Native	 2
Philagathus	 2
Pyrrhys	 2
Philohistoricus	 2
Corinna	 2
Veridicus	 2
Minis	 2
Censor	 2
Hypodidascalus	 2
Norvitian	 1
Centinel	 1
Scaevola	 1
Antidespot	 1
Crispianus	 1
Aethiopian	 1
Shilock	 1
Philopat	 1
Cantabrigiensis	 1
Philolutherus	 1
Sufferer	 1
Jesuit	 1
Réquisitionnaire	 1
Scruplous	 1
Philocarolus	 1
Emigrant	 1
Philocatholicus	 1
Philusebiæ	 1
Hybernicus	 1
Britanicus	 1
Scotchman	 1
Scourge	 1
Parliament	 1
Hierophilus	 1
Philopolite	 1
Philoprotest	 1
Halesiados	 1
Philocrates	 1
Philanactodemus	 1
Theophilos	 1
Philalathes	 1
Londinophilos	 1
Firebrand	 1
Scotsman	 1
Philanax	 1
Anglicanus	 1
