Name	Count
Rapin de Thoyras	78
Voltaire	75
Charles	71
Eutropius	68
England and Wales.	57
William	54
Sallust	54
Vertot	48
Raynal	48
James	44
R. B.	42
Livy.	35
Oldmixon	34
J. S.	34
Person of quality.	30
Mather, Increase	23
Rupert	22
Suetonius	19
Lucan	18
Louis	17
J. W.	17
Freeholder.	17
Evans, Arise	17
Trimmer	16
N. N.	16
Mallet Du Pan	16
J. B.	16
Xenophon.	15
Polybius.	15
Fourcroy	15
Brissot de Warville, J.-P.	15
T. R.	14
Pratt	14
Horace.	14
Frederick	14
A. B.	14
W. B.	13
Herodian.	13
Henry	13
Velleius Paterculus	12
M. P.	12
Englishman.	12
Barruel	12
W. S.	11
T. B.	11
Saint-Réal	11
Marguerite	11
Thucydides.	10
T. S.	10
T. C.	10
John	10
J. P.	10
J. H.	10
J. D.	10
H. G.	10
T. L.	9
T. H.	9
Prior, Matthew	9
More, Hannah	9
Lover of his country.	9
L. P.	9
Junius	9
J. M.	9
Bede	9
W. L.	8
T. M.	8
Servan, J.-M.-A.	8
Scott	8
Saint-Foix	8
Mercurius Melancholicus	8
Member of Parliament.	8
W. C.	7
True Lover of the People.	7
T. W.	7
T. D.	7
Roland	7
R. S.	7
R. L.	7
R. H.	7
R. E.	7
I. B.	7
G. H.	7
Eusebius	7
Day, Thomas	7
Cléry	7
Clergyman of the Church of England.	7
Church of England.	7
A. M.	7
W. P.	6
W. H.	6
Villedieu	6
Theocritus.	6
Shipton	6
Sailor.	6
R. G.	6
Philalethes.	6
Officer.	6
Millot	6
Karl Ludwig	6
J. L.	6
J. G.	6
J. F.	6
J. C.	6
Herodotus.	6
Hearty lover of his prince and country.	6
Gentleman.	6
G. P.	6
Clement	6
Citizen.	6
Aulnoy	6
Appianus	6
Anne	6
American.	6
A. L.	6
True lover of his country.	5
T. P.	5
Sheppard, S.	5
R. P.	5
R. M.	5
Person in command in the fleet.	5
Member of the House of Commons.	5
Mehmed	5
Manasseh ben Israel	5
Impartial hand.	5
H. T.	5
Gildas	5
Gentleman in the country.	5
G. B.	5
Friend to the People.	5
Friedrich Wilhelm	5
E. M.	5
Belloy	5
Agricola.	5
W. W.	4
W. R.	4
Virgil.	4
Tittler	4
Tertullian	4
T. J.	4
Son of Liberty.	4
Saint-Evremond	4
S. T.	4
S. R.	4
S. H.	4
S. F.	4
Robin	4
R. F.	4
R. C.	4
Private gentleman.	4
Presbyter, John	4
Philo-Caledon.	4
Palladius	4
P. C.	4
P. B.	4
One who is neither a knight, nor a member of the House of Commons.	4
Observateur Impartial.	4
N. S.	4
N. R.	4
Mouffle d'Angerville	4
More, Thomas	4
M. S.	4
M. H.	4
M. D.	4
Lover of truth.	4
Lover of peace and truth.	4
Lord Knows Who.	4
Leopold	4
L. M.	4
Joseph	4
J. R.	4
Isocrates.	4
Irishman.	4
I. W.	4
I. H.	4
Herrera y Tordesillas, Antonio de	4
Hampden.	4
Gentleman that was near his person for many years.	4
Firishtah, Muḥammad Qāsim Hindū Shāh Astarābādī.	4
Ferdinand	4
E. D.	4
Cyprian, Bishop of Carthage	4
Countryman.	4
Corporation of London (England).	4
Cléry	4
Citizen of London.	4
Caradoc	4
Bertrand-de-Molleville, Ant.-Fr.	4
A. D.	4
Zelis	3
Young Scotsman, formerly a voluntier in the Corsican service.	3
Worthy Gentleman in Sir Thomas Fairfax His Army.	3
Well-minded petitioner for peace and truth.	3
Well wisher.	3
W. J.	3
W. G.	3
Volunteer.	3
Vincent	3
True son of the Church.	3
True Briton.	3
Themistocles.	3
Tarleton	3
T. I.	3
T. F.	3
T. A.	3
Serces, James.	3
S. W.	3
S. P.	3
Real Friend.	3
Piossens	3
Philoclesius.	3
Philanax Misopapas.	3
Philalethes	3
P. H.	3
Ozell	3
Old Whig.	3
Officer of the Army.	3
N. T.	3
More, Henry	3
Mignonneau.	3
Member of Royal Arch.	3
Marie de Médicis	3
Marie Antoinette	3
Mallet du Pan	3
Mably	3
M. R.	3
M. B.	3
Lysias.	3
Layman of Conscience and Common Sense.	3
Lady.	3
Justin	3
Johnson	3
J. A.	3
Ireland.	3
I. S.	3
I. E.	3
H. R.	3
H. P.	3
H. B.	3
Gustaf	3
George	3
Gentleman in the city.	3
Gentleman in Scotland.	3
G. S.	3
Freeman of Dublin.	3
Frederick Henry	3
Ferrare du Tot, Charles de	3
Estrades	3
English Lady.	3
English gentleman of very good account.	3
Elizabeth	3
E. W.	3
E. S.	3
E. N.	3
E. F.	3
E. A.	3
Du Noyer	3
Dionysius	3
Desfontaines	3
D. T.	3
Country Gentleman.	3
Commerell	3
Chemin-Dupontès, J.-B.	3
Cato	3
Casca.	3
Caryl, Joseph, 1602-1673.	3
Candid observer.	3
Camillus.	3
C. D.	3
By-stander.	3
Brutus.	3
Britannus.	3
B. M.	3
Zosimus.	2
Zerubbabel, Zaphnaphpaaniah.	2
Zarain	2
Worthy gentleman.	2
Wood	2
Whig Anglois.	2
West-Country Clothier.	2
Well-wisher to the King and Kingdom.	2
Well-willer to peace and truth.	2
Wel-willer to King and Parliament.	2
Watchman.	2
Wallace	2
W. A.	2
Vernon, Francis Venables.	2
Verax, Philanax.	2
Varillas	2
Tuljaji	2
True-hearted well-wisher to Great Brittanes happinesse.	2
True Protestant of the Church of England.	2
True friend and lover of those powers and magistrates that be of God.	2
True English man.	2
Thomas	2
T. K.	2
T. G.	2
Sturla Þórðarson	2
Sincere lover of the Protestant religion.	2
Shelburne	2
Servant of the Common wealth of England, and a lover of the armie.	2
Sentinel.	2
Scots Gentleman in the Swedish Service.	2
Samuel	2
S. S.	2
S. L.	2
S. J.	2
S. E.	2
Roland, C.-N.	2
Robert	2
Refuge	2
R. T.	2
R. D.	2
Puritanomastix, Antibrownistus.	2
Protestant Dissenter.	2
Proprietor.	2
Procopius.	2
Private Gentleman.	2
Presbyter of the Church of England.	2
Portius.	2
Poor Robin.	2
Plain man.	2
Physician.	2
Philotheos.	2
Philanthropos.	2
Philanthropist.	2
Philanglus.	2
Peter	2
Person of honour.	2
Patriot.	2
Palaeophilus Anglicanus.	2
P. R.	2
P. P.	2
P. N.	2
P. M.	2
P. I.	2
Ovid	2
One of the 'Swinish Multitude'.	2
Officer present at the expedition to Carthagena.	2
Officer on the spot.	2
Officer of the Guards.	2
Officer in the Town.	2
Officer in the Royal Army.	2
Officer in the King's army.	2
Observator.	2
Observateur impartial.	2
Nostradamus	2
Nathan	2
N. P.	2
N. A.	2
Murtaḍā ibn al-ʿAfīf	2
Murad	2
More, William	2
More, Robert	2
Monitor.	2
Moderate Whig.	2
Minister of the Church of England.	2
Mercurius Civicus.	2
Mercurius Britanicus.	2
Merchant.	2
Merchant of London.	2
Merchant in Stockholm.	2
