Name	Count
Total count: 	n= 479513  ( 100 % non-NA values)
England	359826
USA	 41610
Scotland	 40087
France	 29716
Netherlands	  1919
Ireland	  1456
Canada	  1456
Germany	   967
Belgium	   607
India	   419
Switzerland	   289
Jamaica	   270
Italy	   228
Northern Ireland	    84
Barbados	    60
Haiti	    49
Dominica	    45
Saint Kitts and Nevis	    38
St Vincent	    37
Austria	    36
Sweden	    35
Denmark	    32
Antiqua	    32
Grenada	    29
Russia	    25
Bahamas	    24
Martinique	    20
Isle of Man	    18
Guyana	    15
Spain	    14
Guernesey	    14
Poland	    11
Portucal	     9
Australia	     6
Trinidad and Tobago	     4
South Africa	     4
Iraq	     4
St Eustatius	     3
Latvia	     3
Czech Republic	     3
Suriname	     2
Sri Lanka	     2
unknown	     1
Saint Lucia	     1
Portugal	     1
Mexico	     1
Hungary	     1
