original	polished	Count
Total count: 	n= 466911  ( 50 % non-NA values)	Total count: 
London	England	195320
[London	England	55318
[London]	England	21065
Dublin	France	20313
[London?	England	15272
Edinburgh	Scotland	12134
[Edinburgh	Scotland	11007
Londini	England	6439
Philadelphia	USA	5629
Imprinted at London	England	5185
Glasgow	Scotland	3878
[Edinburgh?	Scotland	3552
Oxford	England	3368
[Philadelphia	USA	2689
Edinburgi	Scotland	2646
At London	England	2207
Printed at London	England	2173
[London?]	England	2081
[Dublin	France	2040
Londres	England	2011
Cambridge	England	1927
New-York	USA	1859
[Dublin]	France	1782
[New York	USA	1455
[Imprinted at London	England	1419
Bristol	England	1312
A Londres	England	1097
Londres [i.e. Paris?]	France	1057
York	England	999
[Philadelphia]	USA	999
Birmingham	England	934
[Edinburgh]	Scotland	906
[[London]	England	890
London [England]	England	869
[Oxford	England	868
[Dublin?	France	828
Bath	England	810
Newcastle	England	802
[Cambridge	England	753
Oxoniæ	England	736
[New York]	USA	736
Oxonii	England	692
Manchester	England	687
Hartford	USA	677
Belfast	Ireland	653
[Edinburgh?]	Scotland	621
Cantabrigiæ	England	602
Norwich	England	596
[Newcastle upon Tyne?	England	530
Newcastle upon Tyne	England	518
New-London [Conn.]	USA	513
Aberdeen	Scotland	512
[Cambridge]	England	491
[Oxford]	England	488
Leeds	England	463
[Imprynted at London	England	457
New-Haven	USA	435
Salisbury	England	405
[Oxford?	England	392
Providence	USA	385
Cork	England	378
[Philadelphia?	USA	370
Baltimore	USA	369
Liverpool	England	367
[Newcastle upon Tyne	England	367
Glasguae	Scotland	338
Nottingham	England	333
[Londini	England	330
Exeter	England	315
Shrewsbury	England	299
Londra	England	266
Exon	England	261
[Glasgow?	Scotland	257
[Glasgow]	Scotland	256
Chester	England	252
Norwich [Conn.]	USA	248
Dublinii	France	243
Londres [i.e. Paris]	France	243
[Dublin?]	France	240
Ipswich	England	236
[United States	USA	235
Annapolis	USA	234
[Newport, R.I.	USA	234
Canterbury	England	233
Warrington	England	229
[Glasgow	Scotland	228
Coventry	England	225
[Quebec	Canada	223
