Name	Count
4to	16543
22	16461
28	16258
4⁰.	15520
19	14730
2fo	12171
8vo	11722
13	11631
8⁰.	11355
30	11196
45	11132
2⁰.	5583
1/2⁰.	5091
90	4245
60	4245
1⁰.	4075
1to	3616
12.5	3070
12mo	3038
NA	3002
12⁰.	2970
?⁰.	1005
1/4⁰.	404
20	346
21	288
17	247
15	190
4⁰	189
2⁰	147
12	139
obl. 1⁰.	129
18	129
31	124
16	112
20 cm. (4⁰)	110
14	109
32	107
23	102
34	100
26	91
29	90
27	85
35	82
16mo	81
33	79
8⁰	76
25	69
16⁰.	67
24	66
1/8⁰.	65
36	61
1/2⁰	55
obl. 1/2⁰.	51
10	47
1/fol.	47
8.5	45
42	45
40	45
24mo	45
24⁰.	45
21 cm (8⁰)	43
12⁰	43
21 cm. (4⁰)	42
43	41
38	41
39	40
44	36
11	36
34 x 21 cm.	35
48	33
18mo	33
18⁰.	33
obl. 1/4⁰.	32
8⁰ (22 cm.).	32
41	29
37	26
50	25
48 cm (2⁰)	24
19 cm. (4⁰)	24
19 cm.	23
49	21
2⁰(2).	21
fol.	18
46	18
18 cm.	18
1⁰	18
45 cm (2⁰)	17
43 cm (2⁰)	17
36 x 22 cm.	17
22 cm (8⁰)	17
22 cm. (4⁰)	16
20 cm (8⁰)	16
20 cm (4⁰)	16
47	15
4.	15
35 x 22 cm.	15
35 x 21 cm.	15
33 x 21 cm.	15
obl.4⁰.	14
51	14
44 cm (2⁰)	14
21 cm.	14
53	13
42 cm (2⁰)	13
34 x 22 cm.	13
31 x 20 cm.	13
21 cm. (8⁰)	13
16 cm.	13
8⁰ (21 cm.).	12
1/16⁰.	12
50 cm (2⁰)	11
46 cm (2⁰)	11
32 x 20 cm.	11
24 cm. (4⁰)	11
20 cm.	11
40 cm (2⁰)	10
35 cm (2⁰)	10
33 x 20 cm.	10
31 cm (2⁰)	10
31 cm (1/2⁰)	10
17 cm.	10
12long	10
obl.1/2⁰.	9
7	9
39 cm (2⁰)	9
33 cm (2⁰)	9
32 cm (2⁰)	9
32 cm (1/2⁰)	9
29 cm. (2⁰)	9
22 cm.	9
2⁰(3).	9
52	8
49 cm (2⁰)	8
36 x 23 cm.	8
34 cm (1/2⁰)	8
30 cm (1/2⁰)	8
2long	8
23 cm.	8
18 cm (4⁰)	8
42 x 26 cm.	7
41 cm (2⁰)	7
39 x 26 cm.	7
35 cm. (2⁰)	7
27 cm (4⁰)	7
23 cm. (4⁰)	7
22 x 18 cm.	7
2⁰ (29 cm.).	7
19 cm (4⁰)	7
1/12⁰.	7
obl.1⁰.	6
obl. 1/8⁰.	6
long 12⁰	6
8.	6
50 cm. (2⁰)	6
47 cm (2⁰)	6
40 x 25 cm.	6
38 cm (2⁰)	6
34 x 20 cm.	6
34 cm (2⁰)	6
33 x 22 cm.	6
32mo	6
32 x 21 cm.	6
32 x 19 cm.	6
32 cm. (2⁰)	6
32 cm.	6
31 cm. (2⁰)	6
30 cm. (2⁰)	6
29 cm (4⁰)	6
26 x 20 cm.	6
26 x 19 cm.	6
25 cm (4⁰)	6
20 cm. (8⁰)	6
1/2⁰; 2⁰.	6
43 x 27 cm.	5
40 x 26 cm.	5
39 x 32 cm.	5
39 x 25 cm.	5
38 x 26 cm.	5
38 x 25 cm.	5
34 x 19 cm.	5
34 cm.	5
32⁰.	5
31 x 19 cm.	5
30 x 19 cm.	5
29 cm (2⁰)	5
28 cm (4⁰)	5
23 cm (8⁰)	5
22 cm (4⁰)	5
18 cm (8⁰)	5
1/2⁰ (33 cm.).	5
sm. 2⁰.	4
quarto [fewer than 50 pages]	4
obl.1/4⁰.	4
long 12⁰.	4
9	4
56	4
51 cm (2⁰)	4
4long	4
44 x 35 cm.	4
43 x 26 cm.	4
40 cm. (2⁰)	4
4⁰ (21 cm.).	4
4⁰ (20 cm.).	4
38 x 27 cm.	4
38 x 24 cm.	4
37 cm (2⁰)	4
36 x 21 cm.	4
36 cm (1/2⁰)	4
35 x 23 cm.	4
35 cm.	4
31 x 22 cm.	4
30 x 20 cm.	4
27 x 22 cm.	4
25 cm. (4⁰)	4
23 x 18 cm.	4
22 cm. (8⁰)	4
21 x 17 cm.	4
20 x 17 cm.	4
2⁰ (30 cm.).	4
2.	4
19 cm (8⁰)	4
16 cm (8⁰)	4
15 cm.	4
1/2⁰ (29 cm.).	4
obl. 8⁰.	3
Broadside.	3
broadsheet	3
8⁰ in 4's.	3
8⁰ (20 cm.).	3
54	3
51 x 39 cm.	3
5	3
49 cm. (2⁰)	3
48 cm. (2⁰)	3
46 cm. (2⁰)	3
45 cm.	3
44 x 28 cm.	3
44 x 27 cm.	3
41 x 33 cm.	3
41 x 31 cm.	3
4⁰; 2⁰.	3
4⁰ .	3
39 x 24 cm.	3
