Name	Count
london and edinburgh	7
edinburgh london and edinburgh	7
charles town s c	7
trenton n j	5
london bs n	4
halifax n c	4
bury st edmunds england	4
st kitts nevis	3
inted in london	3
basseterre st christopher st kitts nevis	3
st ives in huntingdonshire england	2
st george's grenada	2
s omers	2
port au prince	2
oxford and shrewsbury	2
order edinburgh	2
montego bay jamaica	2
yorke and now london	1
york by	1
wesel inted	1
translated out of the high dutch and london	1
the signe of the dobbel hood	1
the sign of the old kings head in axe yard in king street westminster	1
state of massachusetts bay boston	1
stamford newcomb and pe	1
st george's town grenada	1
st george's saint george bermuda	1
st edmunds bury bury st edmunds england	1
st christopher	1
st augustine east florida	1
sold in york	1
scipio onondaga county y	1
savanna la mar jamaica	1
s c	1
reading berks england	1
philadelphie et se trouve à paris	1
paris b chez rue s jacques a l'enseigne sainct claude de l'homme sauvage	1
oxoniæ udebant	1
oxford and london	1
oxf ord england	1
newbury port new england	1
newbury port	1
newark new jersey	1
neo eboraci	1
na de copye tot edinburgh	1
n l	1
midddelburgh	1
mechlin with licence	1
me in thabbey of westmenstre by london fynysshed and accomplysshed the viij day of the yere of the incatnacyon of our lord god m cccc lxxxij and in the xxii yere of the regne of the fourth	1
londres par sur les copies imeez à tours à la rochelle	1
londres et se trouve à paris	1
londres et se trouve a paris	1
london and now edinburgh	1
london and leith	1
london and dublin	1
london and aberdene	1
la point à pitre	1
juxta emplar londini	1
j and t dormer in black and white court in the old baily where advertisements and letters are taken in	1
inted in the cathedrall church of the blessed trinitie dublin	1
inted in aberdene	1
inted by london	1
inphiladelphia	1
inlondini	1
inlonden	1
inamsterdam	1
in's graven hage	1
holy rood house edinburgh	1
haverhill new hampshire	1
glasgow london and glasgow	1
georgia savannah	1
gateside gateshead co durham england	1
frederick town state of maryland	1
francefort et à londres	1
famous cite of andwarpe	1
exemplaer van londen	1
entit in edinburgh	1
elizabeth town n j	1
edinburgh ye day of	1
edinburgh the heir of to his most sacred majesty	1
edinburgh edinburgh	1
edinburgh dublin and edinburgh	1
edenburg in schottland	1
edenburg in schotland	1
duchye of braband in the towne of andewarpe	1
dublin london and	1
dublin ireland t homas walsh in skinner row	1
dublin and now london	1
dubl in	1
dresden vt	1
dorchester england	1
dick's coffee house in skinner row whereprinting work is done	1
danvers near boston	1
danvers mass near salem	1
danvers mass near boston	1
coventry bs n	1
charles town south carolina	1
caer grawnt	1
bury st edmunds	1
burtons coffee house london	1
burton upon trent	1
boston in america	1
bath county of steuben state of new york	1
basseterre in st christopher's st kitts nevis	1
basseterre in st christopher	1
baltimore town	1
annapolis north america	1
amsterdam in the	1
amsterdam et a leipzig	1
america providence r island	1
à́ londres	1
