Name	Count
[No pagination provided]	22
12v.	4
? p.	4
10v.	3
14v.	2
xxviii [i.e. lvi] p.	1
xxvii [i.e. liv] p.	1
v., plate (fol.)	1
Caption title; with a docket title that reads 'Memorial of the agent for the province of Massachussetts-Bay against a duty of 3d. per gallon on foreign molasses.'. - Dated in MS '9th February, 1764' and signed J. Mauduit.	1
6 v., plates (some fold., col.)	1
4⁰.	1
32t p.	1
30v.	1
3 v., plates (some fold., some col.)	1
21v.	1
20v.	1
18v.	1
15v.	1
13v.	1
11v.	1
1⁰.	1
[fewer than 50 pages]	1
[4] p.4⁰.	1
