pages.total	pages.original	count
2	1 sheet ([1] p.)	7062
2	1 sheet	2354
8	8 p.	1980
8	[2], 6 p.	1869
8	[8] p.	1357
NA	v.	993
4	4 p.	819
2	1 sheet ([2] p.)	655
8	[2], 5, [1] p.	562
8	7, [1] p.	508
NA	2v.	500
4	4p.	473
2	1 sheet (2 p.)	412
4	2 sheets (versos blank)	378
8	8p.	345
2	1 broadside.	339
2	1 sheet ([1] p.).	322
16	16 p.	309
24	24p.	307
16	16p.	306
16	[2], 14 p.	305
12	12 p.	192
4	2v.,plates	184
32	32p.	176
4	[4] p.	173
12	[2], 10 p.	155
24	23,[1]p.	147
NA	3v.	139
NA	1 v.	139
16	15, [1] p.	138
16	[2], 13, [1] p.	137
16	15,[1]p.	137
24	24 p.	135
4	3, [1] p.	135
24	[2], 22 p.	129
12	12p.	128
NA	2 v.	126
16	[16] p.	125
4	[4]p.	118
48	48p.	117
12	[2], 9, [1] p.	112
32	31,[1]p.	109
2	2v.,plate	100
40	40p.	95
8	[2], 4, [2] p.	93
NA	4v.	93
36	36p.	90
6	3 sheets (versos blank)	87
12	11, [1] p.	85
20	20 p.	84
6	6 p.	82
4	3,[1]p.	81
28	28p.	81
NA	3 v.	80
20	20p.	79
24	[2], 21, [1] p.	75
24	[24] p.	74
8	7,[1]p.	74
4	3v.,plates	74
20	[2], 17, [1] p.	73
12	[12] p.	73
2	2p.	73
32	[32] p.	72
32	[2], 30 p.	70
12	11,[1]p.	70
8	6, [2] p.	69
20	[2], 18 p.	66
36	35,[1]p.	65
2	[2]p.	61
48	47,[1]p.	60
32	32 p.	59
4	[2] leaves.	59
24	23, [1] p.	58
28	27,[1]p.	55
56	56p.	55
4	v., plates	55
20	19,[1]p.	53
4	4v.,plates	53
40	40 p.	52
20	19, [1] p.	51
32	31, [1] p.	50
30	30p.	49
16	[2], 12, [2] p.	48
16	14, [2] p.	47
36	[2], 34 p.	46
28	28 p.	45
32	[4], 28 p.	44
NA	4 v.	44
32	[2], 29, [1] p.	44
44	44p.	44
72	72p.	43
14	[2], 12 p.	43
22	22p.	42
40	[40] p.	41
6	[6] p.	41
40	39,[1]p.	41
4	2 leaves.	41
20	[20] p.	41
8	[1], 7 p.	41
14	14 p.	40
4	2 sheets (versos only)	39
32	[2],30p.	37
52	52p.	37
40	[2], 38 p.	37
4	[2], 2 p.	36
2	1 sheet ([1]) p.	36
28	[2], 26 p.	36
36	[4], 32 p.	36
4	2 sheets	36
10	10 p.	35
44	43,[1]p.	35
2	[2] p.	34
64	63,[1]p.	34
6	6p.	34
56	55,[1]p.	34
28	[28] p.	34
14	[14] p.	34
NA	5 v.	33
28	[2], 25, [1] p.	32
24	22,[2]p.	32
4	6v.,plates	32
48	[48] p.	32
36	36 p.	31
64	64p.	31
2	3v.,plate	31
36	[4], 31, [1] p.	30
48	48 p.	30
24	22, [2] p.	29
22	[2], 20 p.	29
20	[4], 16 p.	29
34	34p.	28
38	38p.	28
60	60p.	28
40	[4], 36 p.	28
24	[2], 20, [2] p.	28
32	30, [2] p.	27
80	80p.	27
14	14p.	27
10	[2], 8 p.	26
30	29,[1]p.	26
NA	6v.	26
16	[4], 12 p.	26
28	27, [1] p.	25
14	[2], 11, [1] p.	25
68	68p.	25
24	[2],22p.	25
4	2 leaves	25
20	[4], 15, [1] p.	25
46	46p.	24
2	1 sheet (verso blank)	24
18	[2], 16 p.	24
6	[2], 4 p.	24
36	35, [1] p.	23
40	39, [1] p.	23
52	51,[1]p.	23
88	88p.	23
84	84p.	23
NA	5v.	23
4	5v.,plates	23
56	[2],54p.	23
20	[2], 16, [2] p.	22
NA	[No pagination provided]	22
8	[8]p.	22
18	18p.	22
48	[4], 44 p.	22
40	[4],36p.	22
12	[4], 8 p.	22
NA	6 v.	22
18	18 p.	21
10	10p.	21
24	[2],21,[1]p.	21
10	9, [1] p.	20
48	47, [1] p.	20
28	[4], 24 p.	20
192	192p.	20
48	46,[2]p.	20
48	[2],45,[1]p.	20
44	[4],39,[1]p.	20
28	[2],26p.	20
36	[2], 33, [1] p.	20
44	[44] p.	20
24	[4], 19, [1] p.	20
48	[2], 46 p.	20
16	[4], 11, [1] p.	19
24	[4], 20 p.	19
30	[2], 28 p.	19
96	96p.	19
32	[4],28p.	19
60	[4],56p.	19
32	[4], 27, [1] p.	19
48	[4],43,[1]p.	18
62	62p.	18
64	[4],60p.	18
64	[64] p.	18
2	1 sheet ([1] p)	18
26	[2], 24 p.	17
44	44 p.	17
28	[4], 23, [1] p.	17
30	30 p.	17
10	9,[1]p.	17
14	13,[1]p.	17
32	[2],29,[1]p.	17
2	4v.,plate	17
NA	8v.	17
4	[2] sheets (versos blank)	17
8	[2], 8 [i.e. 6] p.	17
6	5, [1] p.	16
52	[4], 48 p.	16
8	[4], 4 p.	16
2	2 p.	16
40	[2], 37, [1] p.	16
16	14,[2]p.	16
48	[4],44p.	16
76	76p.	16
6	5,[1]p.	16
36	[2],33,[1]p.	16
48	[2], 45, [1] p.	16
72	71,[1]p.	16
20	[2],17,[1]p.	16
48	[2],46p.	16
40	[2],37,[1]p.	16
26	26p.	16
52	[4],47,[1]p.	16
56	[56] p.	16
36	[36] p.	16
80	[80] p.	16
6	[3] leaves.	16
4	v., plates (some fold.)	16
22	22 p.	15
48	[4], 43, [1] p.	15
12	[4], 7, [1] p.	15
28	[4],23,[1]p.	15
32	30,[2]p.	15
50	50p.	15
18	17,[1]p.	15
52	[2],50p.	15
144	[4],138,[2]p.	15
60	59,[1]p.	15
40	[4],35,[1]p.	15
32	[4],27,[1]p.	15
40	[2],38p.	15
64	[4],59,[1]p.	15
2	8v.,plate	15
52	[52] p.	15
8	4 sheets (versos blank)	15
64	[8], 56 p.	15
40	[6], 34 p.	15
40	[8], 32 p.	15
56	56 p.	14
34	[2], 32 p.	14
7	7 p.	14
64	64 p.	14
100	100p.	14
24	[4],19,[1]p.	14
22	21,[1]p.	14
44	[4],40p.	14
12	[12]p.	14
26	[2],24p.	14
24	[4],20p.	14
40	[4], 35, [1] p.	14
4	8v.,plates	14
48	[4],42,[2]p.	14
30	[30] p.	14
6	3 leaves.	14
8	[2], 1, [5] p.	14
