doc.dimension,mean.pages.singlevol,median.pages.singlevol,n.singlevol,mean.pages.multivol,median.pages.multivol,n.multivol,mean.pages.issue,median.pages.issue,n.issue
1to,2.48193624557261,2,4249,NA,NA,NA,10.4358974358974,8,39
2long,7.71428571428571,5,8,NA,NA,NA,23,23,1
2fo,62.782189600283,4,11531,724.333333333333,716,46,16.8616417139907,12,1937
4long,5,5,4,NA,NA,NA,NA,NA,NA
4to,43.9582607613834,12,16528,427,439,27,15.8708035787573,8,12183
8vo,144.038108231014,68,11599,408.084343434343,420.333333333333,181,28.4688894723024,28,3809
12long,67,50,10,24,24,1,28.8,24,5
12mo,184.286285922154,162,3021,260.565656565657,211,47,26.2692307692308,24,520
16mo,163.645569620253,116,81,NA,NA,NA,30.4615384615385,24,13
18mo,177.575757575758,158,33,172,172,1,41,41,2
24long,244,244,1,NA,NA,NA,NA,NA,NA
24mo,193.525,181,43,NA,NA,2,23.2727272727273,24,11
32mo,179.333333333333,193,6,NA,NA,NA,NA,NA,NA
48mo,128,128,1,NA,NA,NA,NA,NA,NA
64mo,197,197,2,NA,NA,NA,NA,NA,NA
NA,14.1965065502183,2,3004,NA,NA,NA,18.9255583126551,15,403
