Name	Count
william	24014
richard	8295
george	8126
robert	7906
henry	5509
charles	4755
joseph	4215
francis	3187
alexander	3160
daniel	2687
david	2560
benjamin	2474
matthew	1295
christopher	1009
walter	784
oliver	743
mary	736
jean	652
ralph	645
laurence	633
hannah	615
elizabeth	600
simon	570
abraham	481
lewis	456
martin	421
jeremy	394
sarah	388
allan	365
ebenezer	360
adam	338
paul	332
joshua	307
margaret	266
cornelius	259
johann	245
tobias george	232
leonard	231
moses	224
abel	221
gervase	221
august von	220
clement	211
jacques	204
noah	203
claude	197
anne	196
gabriel	196
richard brinsley	190
giovanni	174
henry st john	174
philip dormer stanhope	174
elisha	173
nehemiah	173
jane	169
louis	161
bernard	160
elizabeth singer	154
mark	152
alain rené	139
ben	133
horace	127
frances	126
charles james	118
geoffrey	114
maurice	114
titus	112
janet	110
george villiers	107
conyers	103
gerard	103
ezekiel	100
guy	92
la	92
arthur ashley	90
lawrence	87
anthony ashley cooper	83
george savile	82
antoine	80
colin	79
ellis	77
gregory	76
william augustus	76
george alexander	75
batty	73
giovanni paolo	73
sophia	73
christian	72
divine	72
joel	70
mary wortley	70
catherine	69
johann georg	69
prince	69
simon nicolas henri	69
mathew	68
seth	67
johann amos	66
anna	65
augustus	65
bryan	64
jean frédéric	63
paul henri thiry	62
henry home	61
micaiah	61
henri	59
maria	58
denis	57
michel	57
simeon	57
john campbell	56
salem	55
valentine	55
h bate	54
john wilmot	54
andrea	53
andreas	53
james george	53
george monck	52
helen	52
william henry	52
elisabeth	51
john dalrymple	51
robert goodloe	51
george granville	50
louis ellies	50
august hermann	48
brian	48
dan	48
eleazar	48
jacques bénigne	48
lindley	48
morgan	48
kane	47
warren	47
jean louis	46
payne	46
martha	45
merry	45
roger boyle	45
tim	45
william eden	45
amos	44
harry	44
roderick	44
evan	43
giovanni battista	43
helen maria	43
juan luis	43
dennis	42
george saville	42
johann wolfgang von	42
ann ward	41
archibald campbell	41
johann caspar	41
lucy	40
theodore	40
anton wilhelm	39
sebastian	39
william fordyce	39
anton	37
katherine	37
mary ann	37
henry dundas	36
kenneth	36
levi	36
lorenzo	36
peter leslie	36
thomas lewis	36
george digby	35
le	35
lionel	35
simon fraser	35
george mackenzie	34
james douglas	34
john henry	34
juan	34
robert devereux	34
william cavendish	34
fabian	33
frederick howard	33
marie	33
browne	32
clara	32
justus	32
silas	32
carl von	31
hector	31
jean d'	31
marco girolamo	31
francis d'	30
nicola francesco	30
sylvester	30
willoughby bertie	30
arise	29
frances chamberlaine	29
marcello	29
noël antoine	29
thomas augustine	29
georges louis leclerc	28
gottfried august	28
johann heinrich	28
john boyle	28
john joseph	28
manuel	28
nathaniel william	28
sarah churchill	28
tom	28
william cecil	28
jesse	27
noël antoine	27
alice	26
carl heinrich von	26
charles francis	26
elizabeth grey	26
george isaac	26
henry james	26
henry montagu	26
jean baptiste	26
juan eusebio	26
margaret cavendish	26
philip morin	26
rachel	26
raphael	26
robert john	26
sayer	26
william cusack	26
anna maria	25
blaise	25
christoph christian	25
rebecca	25
robertus	25
alexander stewart	24
audley	24
augustine	24
john wynn	24
charles henry	23
elizabeth sibthorpe	23
frank	23
isaiah	23
james barry	23
peregrine	23
sam	23
william douglas	23
dominique	22
gavin	22
george henry	22
giovanni francesco	22
isabel	22
saint	22
stewart	22
thomas richard	22
tommy	22
william lisle	22
asa	21
charles douglas	21
charles montagu	21
george gordon	21
james maitland	21
thaddeus mason	21
alfonso	20
ange	20
charles geneviève louis auguste andré timothée d'	20
conrad	20
daniel finch	20
henry howard	20
jean jacques	20
joseph holden	20
william wentworth	20
eli	19
francisco	19
george germain	19
heinrich cornelius	19
henry william	19
james graham	19
matthew robinson-morris	19
otto	19
robert treat	19
titus maccius	19
alberto	18
aldo	18
charles lennox	18
david erskine	18
george robert	18
henrich	18
john francis	18
randle	18
robert hay	18
robert pool	18
albrecht von	17
charles pinot-	17
elie	17
jean gaspard	17
jo	17
johann reinhold	17
john ker	17
lucius cary	17
marco antonio	17
mariana	17
mary white	17
nicol	17
richard joseph	17
robert rich	17
thomas brooke	17
will	17
william alexander	17
william laurence	17
andrew robinson stoney	16
angel	16
christoph martin	16
east	16
george bubb	16
george hay	16
ira	16
james murray	16
jean françois	16
jean paul	16
johann jakob	16
johann sigismund	16
john ward	16
louis sébastien	16
richard paul	16
robert martin	16
temple	16
toby	16
william bell	16
william henry cavendish-bentinck	16
boyle	15
carl	15
chandler	15
edward howard	15
eugene	15
francis grant	15
geo	15
george lindsay-crawford	15
henri joseph	15
jared	15
mark anthony	15
mateo	15
richard owen	15
robert lumley	15
roger palmer	15
wentworth dillon	15
william julius	15
barbara	14
campbell	14
charles william	14
etienne	14
georg	14
george skene	14
grace	14
henry booth	14
hubert	14
lilly	14
marion	14
nicola	14
st george	14
william duff	14
william howard	14
william murray	14
abiah	13
adrien	13
alexander fraser	13
alexander wedderburn	13
ant -fr	13
antonio del	13
armand jean du plessis	13
charles coote	13
david stewart erskine	13
dominick	13
dunbar douglas	13
ethan	13
george frideric	13
george van den bempdé	13
henry constantine	13
james eyre	13
johann friedrich	13
john hope	13
justus henry christian	13
matteo	13
pierre henri	13
pierre joseph	13
regina maria	13
samuel taylor	13
willoughby	13
angelo	12
anne douglas	12
benjamin andrewes	12
caroline	12
charles schaw	12
christopher frederic	12
eben w	12
eden	12
edward russell	12
ellis cornelia	12
english	12
eunice	12
fisher	12
george stepney	12
jason	12
jean baptiste bourgignon d'	12
jean françois	12
jean joseph	12
johann jacob	12
johann lorenz	12
john joshua	12
john murray	12
judah	12
juliana	12
leonardo	12
man	12
margaret caroline	12
patrick murray	12
tony	12
true	12
william graham	12
william hamilton	12
alexander fraser tytler	11
ant jaq	11
basil william	11
benjamin smith	11
brooke	11
charles françois du périer	11
christian friedrich	11
christian gotthilf	11
cyril	11
daniel isaac	11
edward augustus	11
edward william	11
ely	11
fr	11
georg friedrich	11
george smith	11
gilbert elliot	11
henry evans	11
henry redhead	11
hester lynch	11
ja	11
johann david	11
johann gottlieb	11
johann joachim	11
johann philipp	11
john robert	11
john talbot	11
mrs	11
noel	11
whiting	11
william bromley	11
william fiennes	11
william grant	11
william thomas	11
william wyndham	11
zephaniah	11
alison	10
allen	10
bartholomew di	10
benito jerónimo	10
bennet	10
charles stanley	10
daniel peter	10
douglas	10
edward wortley	10
elizabeth robinson	10
elizabeth sarah villa-real	10
george booth	10
george frederick	10
george onesiphorus	10
henry neville	10
jean pierre	10
john quincy	10
judith	10
king of england	10
maria susanna	10
paul p	10
phil	10
pierre étienne auguste	10
robert anthony	10
robert bailey	10
robert boucher	10
robert edward	10
stephen payne	10
william gordon	10
william kerr	10
william martin	10
anne kingsmill finch	9
antoine laurent	9
august gottlieb	9
baptista	9
bertie	9
catherine elizabeth	9
charles brockden	9
charles cajetan	9
charles edward	9
charles gabriel	9
charles howard	9
charles john ann	9
charles kendal	9
charles louis	9
charles peter	9
franciscus mercurius van	9
george anne	9
george warter	9
giovanni angelo	9
giovanni da	9
giovanni pietro	9
grey	9
henry herbert	9
henry pierrepont	9
henry scott	9
james allan	9
james napper	9
jerome	9
joan	9
johann andreas	9
john gerar william	9
joseph c	9
lambert van den	9
laurence hynes	9
leone battista	9
louis charles	9
mary julia	9
mercy otis	9
mother	9
pierre jean	9
rees	9
reeve	9
richard coote	9
robert acklom	9
robert dundas	9
robert stewart	9
william george	9
abigail	8
alexander james	8
alexandre	8
ashley	8
augustus henry fitzroy	8
azariah	8
brook	8
christian fürchtegott	8
constantine john phipps	8
dale	8
david murray	8
david s	8
david threipland	8
elizabeth leveson-gower	8
francis ingram seymour conway	8
françois jean	8
friedrich hermann von	8
henry seymour	8
hermann von	8
james dalrymple	8
jean baptiste van	8
jean bochart	8
jean georges	8
jean lerond d'	8
jean simon	8
jeffrey	8
joel abraham	8
john lodge	8
joseph f w	8
leonel	8
little	8
louis-antoine de	8
malachi	8
mary anne	8
mary lee	8
meredith	8
narcissus	8
peres	8
peyton	8
philips van	8
robert dudley	8
robert greville	8
thomas clio	8
william peere	8
young	8
alex	7
alexander lockhart	7
alexis	7
angelus	7
archer	7
august wilhelm	7
auguste heinrich julius	7
azel	7
bennett	7
billy	7
bryce	7
cecil	7
charles grant	7
charles maitland	7
charles willson	7
constantine	7
cosmo george	7
damaris	7
david hirchel	7
dorothea sinclair duff	7
elizabeth sophia	7
ferdinando tracy	7
foote	7
francis north	7
francis perceval	7
garnet	7
gebhard friedrich august	7
georg christian	7
george frederick nugent	7
hendrik van	7
henry addington	7
henry george	7
henry hyde	7
henry penruddocke	7
henry sidney	7
james francis	7
jean andré	7
johann peter	7
johann wilhelm von	7
john christopher	7
john mason	7
john mead	7
lawrence parsons	7
luca	7
marco	7
margaret stewart	7
matt	7
may	7
mercy	7
naphtali	7
pat	7
percy	7
peregrine osborne	7
pier giovanni	7
richard verney	7
robert cecil	7
robert spencer	7
samuel morton	7
sidney	7
sir henry	7
susannah maria arne	7
terence	7
thomas george	7
thomas howard	7
thomas walter	7
ulrich von	7
william charles	7
william maule	7
william petty	7
william sinclair	7
william todd	7
woman	7
abraham van	6
adam moses emanuel	6
adrian	6
albert otto	6
alexander contee	6
alexander montgomerie	6
anne hyde	6
antonio maria	6
arrigo caterino	6
auguste	6
bishop of carthage	6
carl bernhard	6
carl peter	6
charles boyle	6
charles françois philibert	6
charles hamilton	6
charles hay	6
charles hope	6
charles mordaunt	6
charles nicholas	6
cooper	6
dr	6
edmond charles	6
edward rowe	6
elizabeth chudleigh	6
elizabeth percy	6
ester	6
eupham	6
felice	6
frances mackenzie	6
francis boyle	6
francis garden	6
francis henry	6
francis rawdon-hastings	6
frig	6
george richards	6
guy toussaint julien	6
hen	6
henry barry	6
henry david	6
henry gray	6
hieronymus david	6
jacques davy	6
james henry	6
james radclyffe	6
jaques	6
jean henri	6
john gale	6
john glen	6
john joshua proby	6
john lindsay	6
john morin	6
john vere	6
joseph nicol	6
keith	6
knightley	6
marc	6
margaret sinclair	6
martha arundel	6
moses c	6
nancy	6
nicolas antoine	6
onno zwier van	6
philippus van	6
pierre joseph d'	6
pierre louis	6
richard annesley	6
robert carter	6
robert j	6
robert wallace	6
romaine joseph	6
sarah fyge	6
sarah wentworth	6
sir francis	6
sir william	6
sylvester douglas	6
tam	6
thomas grey	6
thomas william	6
walter blake	6
walter savage	6
wheeler	6
william davies	6
william russell	6
alden	5
alexander leslie	5
alicia	5
amelia	5
antoine marie	5
arthur william	5
ashton	5
auger	5
baptist noel	5
calvin	5
cambridge	5
camille	5
catharine rebecca	5
charles alfred	5
christiaan van	5
claude françois	5
claude joseph	5
clifford william	5
consider	5
dalby	5
david a	5
david james	5
david thomas	5
deane	5
deborah	5
denis vairasse d'	5
edward daniel	5
elizur	5
francis godolphin osborne	5
francis stoughton	5
françois jean	5
françois paul	5
french	5
g neville	5
georg paul	5
george andrew	5
george augustus william	5
george brudenell	5
george brydges	5
george buchan	5
george edward	5
george griffin	5
george pitt	5
gervase parker	5
henry rich	5
hermon	5
j hector	5
jacques andré	5
james ph	5
jean sylvain	5
johann adam	5
johann clemens	5
johann gottfried	5
johann gustav	5
johann kaspar	5
johann ludwig	5
johann rudolf	5
john blair	5
john chrysostom gregory	5
john daniel	5
john hadley	5
john leslie	5
john newell	5
john wall	5
joseph grove john	5
joseph marie	5
landon	5
leone	5
ludolf	5
margaret blair	5
matthew white	5
mervyn touchet	5
noel joseph	5
ph levi	5
philip david	5
richard bankes	5
richard graham	5
richard henry	5
richard payne	5
robert home	5
robert ker	5
robert r	5
seguin henry	5
sir richard	5
tobie	5
val	5
vital d'	5
william andrew	5
william baillie	5
william boyd	5
william cunningham	5
william f	5
william herbert	5
william johnston	5
william moore	5
william pitt	5
william steel	5
william taube	5
winifred	5
ysbrand van	5
abraham blackstone	4
abraham isaak	4
abraham lynsen	4
adrian van	4
adrien michel hyacinthe	4
alan	4
alexander hume-campbell	4
alexander penrose cumming	4
alexander philip wilson	4
alexander sinclair	4
alexander v	4
algernon percy	4
allan maconochie	4
amable	4
andrew thomas stewart	4
anna riggs	4
anne scott	4
antoine george	4
antoni van	4
arent van	4
asher	4
augustus frederic christopher	4
aurelio	4
bar	4
barry	4
barry maxwell	4
benito jerónimo	4
benjamin douglas	4
benjamin henry	4
carl gustaf	4
charles calvert	4
charles fitzroy	4
charles frederick	4
charles gerard	4
charles theodore	4
charles-marguerite-jean-baptiste mercier	4
christian heinrich	4
christian peter von	4
christopher daniel	4
claud	4
consort of charles i	4
constant	4
cornelius william	4
cyrus	4
daniel clarke	4
darby	4
david leslie	4
david william	4
dolly	4
ed	4
edmund boyle	4
edward henry	4
emery	4
esteban	4
evangelista	4
evelyn	4
felipe	4
fernão mendes	4
francis henry egerton	4
francis taaffe	4
francis william	4
frederick william	4
free	4
friedrich von	4
garrett	4
george annesley	4
george davies	4
george goring	4
george montgomery	4
george parker	4
george ramsay	4
george van den bempdé	4
george william	4
georges-louis de	4
giles linnett	4
giuseppe loreto	4
gustav anton	4
henry cary	4
henry charles	4
henry clifford	4
henry david erskine	4
henry fox	4
henry francis	4
henry loftus	4
henry petty	4
hermann van der	4
hipólito san joseph	4
hipólito san joseph	4
home riggs	4
hugh percy	4
hull	4
is	4
j dennis	4
j van der	4
jacques bénigne	4
james augustus	4
james harris	4
james ley	4
james lindsay	4
james scott	4
james stewart	4
jas	4
jean rodolphe d'	4
jean siffrein	4
jemmy	4
jenkin	4
jo jacob	4
johan	4
johann christian	4
johann conrad	4
johann heinrich gottlob von	4
johann hieronymus	4
johann michael	4
john keith	4
john kennedy	4
john miller	4
john paul	4
john russell	4
john sylvester john	4
jon	4
jona	4
jordan	4
joseph gurney	4
joseph jacob ritter von	4
joseph jekyll	4
joshua l	4
julien	4
karl josef von	4
lemuel dole	4
libert	4
louis claude	4
louis edmé	4
louis guillaume	4
lucius henry	4
m le roy	4
mary dawes	4
mary elizabeth	4
matteo maria	4
maurice auguste	4
maxwell	4
mead	4
morgan j	4
murray	4
neal	4
niccolò marcello	4
nicolas gabriel	4
old	4
paddy	4
peregrine bertie	4
peter van	4
pierre le pesant	4
randal	4
randall plunkett	4
raymond	4
rest	4
richard grenville-temple	4
richard josceline	4
richard lovell	4
robert carey	4
robert griffeth	4
robert kerr	4
robert monckton-arundell	4
robert waring	4
robin	4
roger hope	4
samuel hull	4
shon ap	4
sir george	4
stephen martin	4
stephen mix	4
stephen theodore	4
susan	4
sydney	4
tate	4
temple henry	4
thomas addis	4
thomas gregory	4
thomas kennedy	4
thomas robert	4
thomas wells	4
tully	4
uno von	4
valentin andreas	4
veronica	4
villiers clara	4
vin	4
westley	4
william dalrymple-crichton	4
william scott	4
william seymour	4
william wenman	4
yves	4
abraham ben hananiah dei galicchi	3
abraham louis	3
adair	3
alain	3
alexander crowcher	3
angelo maria	3
anna eliza brydges	3
anne claude philippe	3
anne grenville-temple	3
anne lindsay	3
anne montgomery	3
antoine augustin	3
anton friedrich	3
aron	3
bassett	3
bell	3
benjamin choyce	3
benjamin young	3
bess	3
bridget	3
bryan i'anson	3
cater	3
cha	3
charles alexander	3
charles brandon	3
charles colyear	3
charles cotesworth	3
charles erskine	3
charles george	3
charles h	3
charles nicolas	3
charles sackville	3
chauncy	3
christian anton	3
christian gottfried	3
christian ludwig	3
christopher love	3
claude deschamps	3
claude grostête	3
claudio	3
colin lindsay	3
cressy	3
daniel ben	3
darius	3
david b	3
david evans	3
diana	3
domingo	3
drake	3
ebenezer grant	3
edward cecil	3
ellen	3
elliot	3
emmanuel	3
emmanuel van	3
etienne françois	3
ferdinand oliver	3
forde grey	3
fra	3
francis bermingham	3
francis burdett	3
francis kelly	3
francis noel clarke	3
francis williams	3
françois joseph	3
françois xavier	3
frederick morton	3
friedrich wilhelm ludolf gerhard augustin	3
georg andreas	3
george cadogan	3
george cockburn	3
george douglas	3
george evans	3
george hanmer	3
george henry hay	3
george isham	3
george marie	3
george r	3
george verney	3
george walpole	3
germain	3
giovanni andrea	3
giuseppe maria	3
gottfried van	3
grace carteret	3
harri	3
harrison gray	3
heinrich otto	3
henrietta cavendish scott bentinck	3
henrietta hope	3
henrietta maria	3
henrique xavier	3
henry browne	3
henry carey	3
henry collingwood	3
henry lasher	3
henry merttins	3
henry o'brien	3
henry reginald	3
henry sacheverell	3
henry somerset	3
herman van	3
hester	3
hester ann	3
hieronim	3
higgins	3
hugh murray	3
isabella howard	3
ivory	3
j g van	3
jacob judah aryeh leon	3
jacques benigne	3
jakob von	3
james lovell	3
james sinclair	3
james wilson	3
jane cholmeley	3
jane elizabeth	3
jean antoine claude	3
jean baptiste claude	3
jean baptiste michel	3
jean nicolas	3
jean philippe	3
jeremiah van	3
jerry	3
joe	3
johann albrecht	3
johann christoph	3
johann christophorus	3
johann ernst	3
johann gotthilf	3
johann liborius	3
johann nepomuck	3
johannes van	3
john bernard	3
john cole	3
john george	3
john lanne	3
john maitland	3
john prior	3
john stewart	3
john william	3
jonah	3
joseph brown	3
joseph damer	3
joseph honoré	3
joseph marius	3
joseph whittingham	3
juan bautista	3
juan da	3
judith sargent	3
jules	3
julian	3
kenneth mackenzie	3
king	3
kirby	3
lacy	3
lawrence shirley	3
legard	3
lorenzo guglielmo	3
louis bernard	3
louis d'	3
louis françois armand du plessis	3
louis marie	3
louis philippe joseph	3
luke plunkett	3
margaret kincaid	3
marie joseph paul roche yves gilbert du motier	3
mario di	3
mary hay	3
mary martha	3
michel descazeaux	3
mme	3
moses cohen d'	3
nikolaus joseph	3
otto van	3
owen mac	3
owen roe	3
patrick ruthven	3
paul hay	3
paul henry	3
paul jérémie	3
peltro william	3
peregrine clifford	3
peter andreas	3
ph	3
philipp andreas	3
philippe richard	3
phipps	3
rachael	3
randall	3
rebecca carey	3
rene	3
richard boyle	3
richard hely-hutchinson	3
richard scrafton	3
richard talbot	3
robert bruce	3
robert carr	3
robert cutlar	3
robert stuart	3
robert william	3
roderick mackenzie	3
ruth	3
samuel martin	3
sebastian vander	3
sh	3
shinkin ap	3
shirley	3
simon finley	3
son	3
taylor	3
thomas collins	3
thomas dawson	3
timmy	3
tufton charles	3
uriah	3
vaughan	3
wendy	3
whitley	3
william c	3
william fraser	3
william gerard	3
william henry granville	3
william jarvis	3
william lindsay	3
william ward	3
winchcombe henry	3
abraham von	2
adam cockburn	2
addison	2
agamemnon shaglock van	2
agrippa d'	2
al -phil	2
al qāsim ibn ḁlı̄	2
alexander bruce	2
alexander doriack	2
alexander gibson	2
alexander herman	2
alexander murray	2
alexander ogilvy	2
allyn	2
amelia fraser	2
amy	2
andres	2
angell dillon	2
ann elizabeth	2
ann julia	2
ann maria	2
anne hamilton	2
anthony da	2
anthony james radclyffe	2
antoine alexandre henri	2
antoine babuty	2
antoine grimoald	2
antoine john	2
antoine urbain	2
anton ferdinand von	2
anton raphael	2
antonia	2
antonie	2
aquila	2
ari	2
ariel	2
armand louis	2
arthur mohun st leger	2
augusta caterina petra	2
augustus everard	2
augustus john hervey	2
aulus cornelius	2
barbara villiers palmer	2
barnett	2
barry yelverton	2
beau	2
benjamin franklin	2
benjamin habakkuk	2
benjamina	2
benjamine	2
bernard edward howard	2
bernardus	2
betty	2
bobby	2
bonaventura van	2
brice	2
brown	2
brownlow bertie	2
bryan bury	2
cajetan	2
carl benjamin	2
caroline lucretia	2
cary	2
castore	2
catherine cailleau	2
catherine douglas	2
catherine sarah	2
catherine sedley	2
ch	2
charles bennet	2
charles bruce	2
charles chalmont	2
charles cobbe	2
charles cunningham	2
charles françois	2
charles geneviève louis auguste andré timothée d'	2
charles georges	2
charles godfrey	2
charles gordon	2
charles henri	2
charles knollys	2
charles lee	2
charles philippe	2
charles pinckney	2
charles stuart	2
charles ventris	2
charles vipont	2
cheney	2
christian august	2
christian frederik	2
christian friedrich daniel	2
christian gottlob	2
claude irvine boswell	2
claude philibert	2
clopton	2
clovis hesteau	2
collin	2
connor maguire	2
da	2
da milano	2
da vinci	2
daniel augustus	2
daniel tnangam	2
darcy	2
david c	2
david francesco	2
dietrich ludwig gustav	2
dillon	2
dionis	2
doll	2
drue	2
eberhard august wilhelm von	2
edme	2
edward deane	2
elis	2
elisabeth elphinstone	2
elizabeth campbell	2
elizabeth fitzgerald	2
emily	2
emmanuel joseph	2
england	2
evans	2
eyre	2
fernando	2
frances dillon	2
frances maria	2
frances teresa stuart	2
francis daniel	2
francis ferrand	2
francis john hyde	2
francis russell	2
francis scott	2
francis seymour	2
francis stuart	2
francis thomas	2
francis venables	2
francisco solano	2
francois	2
françois marc	2
frans van den	2
franz anton	2
fred	2
fri	2
friedrich adolph	2
friedrich christian	2
gabriel james	2
gael	2
geo alex	2
georg adam	2
georg ernst	2
georg joachim	2
georg jonathan von	2
georg rodolf	2
george campbell	2
george fermor	2
george forbes	2
george gerbier	2
george h	2
george hastings	2
george joseph	2
george keith	2
george montagu	2
george peter	2
george poyntz	2
george rodney	2
george symes	2
george talbot	2
george woodford	2
gerard fridrikh	2
german	2
gershom mendes	2
gio batta	2
giovanni alberto	2
giovanni antonio	2
giovanni battista felice	2
giovanni michele	2
graham	2
grazio	2
hannah callowhill	2
hannah webster	2
harriot steuart	2
henrietta cavendish holles harley	2
henrik van	2
henry benedict	2
henry charles christian	2
henry digby	2
henry draper	2
henry edwards	2
henry francis robert	2
henry grey	2
