Name	Count
Cicero, Marcus Tullius	405
Fenning, Daniel	161
Younge, Richard	123
Fisher, George	119
Josephus, Flavius	108
Seneca, Lucius Annaeus	102
Smith, William	100
Nepos, Cornelius	94
Swallow, John	92
Justinus, Marcus Junianus	88
Dove, Jonathan	86
King, Thomas	84
Beverley, Thomas	79
Bullord, John	75
Ford, Emanuel	73
Trigge, Thomas	73
Perrin, John	66
Smith, John	60
Culpepper, Nathanael	58
Wakely, Andrew	54
Brown, William	53
Hollyband, Claudius	50
Mauger, Claude	50
Hayes, Richard	48
Tacitus, Cornelius	48
Forbes, William	46
Brown, John	44
Lucretius Carus, Titus	43
Turner, John	43
Stubbes, Phillip	42
Lupton, Thomas	40
Hawkins, John	39
Hill, John	39
Jones, John	39
Florus, Lucius Annaeus	38
Taylor, John	38
White, William	38
Young, John	38
Curtius Rufus, Quintus	37
Browne, John	36
Campbell, John	36
Gordon, John	36
Grant, Peter Leslie	36
Price, John	36
Smith, Thomas	35
Openshaw, Robert	33
Pulle, John	33
Ball, William	31
Gallen, Thomas	31
Smith, James	31
Nott, Job	30
Fleetwood, John	29
King, John	29
Wilson, William	29
Bohun, William	28
Fowle, Thomas	28
Nichols, Francis	28
Bowne, Tobias	27
Howard, Thomas	27
Wilson, John	27
Berault, Peter	26
Moore, Thomas	26
Scott, John	26
Wright, John	26
Wright, Thomas	26
Jones, William	25
Lanfiere, Thomas	25
Paterson, James	25
Taylor, William	25
Cooke, Thomas	24
D'anvers, Caleb	24
Muckarsie, John	24
Williams, Thomas	24
Carter, Richard	23
De Britaine, William	23
Fitz-adam, Adam	23
Brown, Robert	22
Denison, Stephen	22
Mitchell, John	22
Russell, John	22
Vallance, James	22
Williams, John	22
Wimbledon, Thomas	22
Withals, John	22
Axford, John	21
Brett, John	21
Butler, Isaac	21
Maxwell, John	21
Robinson, John	21
Steel, David	21
Brayne, John	20
Broughton, Richard	20
Chidley, Samuel	20
Greenwood, Henry	20
Hamilton, William	20
Hitchens, James	20
Hudson, Peter	20
Walker, George	20
Bell, John	19
Bray, William	19
Crimsal, Richard	19
Gearing, William	19
Hunter, William	19
Plautus, Titus Maccius	19
Reynolds, John	19
Roussat, Richard	19
Stern, Philip	19
Thomson, James	19
White, John	19
White, Thomas	19
Cotton, Clement	18
Crisp, Thomas	18
Graham, William	18
Hampton, Barnabas	18
Houghton, Thomas	18
How, Samuel	18
Jackson, John	18
Killiray, Matthew	18
Kitchin, John	18
Nixon, Anthony	18
Riley, George	18
Robertson, William	18
Themylthorpe, Nicholas	18
Anderson, William	17
Armstrong, Mostyn John	17
Bird, James Barry	17
Carr, William	17
Clarke, Thomas Brooke	17
Daffy, Anthony	17
Decalves, Alonso	17
Duffett, Thomas	17
Duncombe, Giles	17
Grant, John	17
Huguenin Du Mitand, Louis	17
Johnson, Robert	17
Manners, Nicholas	17
Monipennie, John	17
Penkethman, John	17
Skinner, Thomas	17
Smith, George	17
Smith, Samuel	17
Streete, Thomas	17
Willock, John	17
Abercromby, David	16
Anderson, John	16
Carter, William	16
Cawthorne, Joseph	16
Coats, John	16
Dawson, John	16
Deans, Archibald	16
Gordon, William	16
Hope, William	16
Jackson, William	16
King, William	16
Knapp, John	16
Minucius Felix, Marcus	16
Ridgway, James	16
Shaw, John	16
Spittlehouse, John	16
Stewart, John	16
Swan, Abraham	16
Thomson, John	16
Torriano, Giovanni	16
Warren, Erasmus	16
Weston, James	16
Williams, William	16
Wilson, Thomas	16
Wright, Leonard	16
Douglas, William	15
Ellis, William	15
Fraser, Alexander	15
Hannay, Robert	15
Lilly, John	15
Lonsdale, Mark	15
Martin, John	15
Morison, James	15
Neve, Richard	15
Owen, John	15
Prichard, Samuel	15
Roberts, John	15
Row, James	15
Smith, Robert	15
Spottiswoode, John	15
Whitaker, Edward	15
Workman, Benjamin	15
Arbuckle, James	14
Barry, James	14
Beawes, Wyndham	14
Boulton, Richard	14
Bradbury, Charles	14
Castaing, John	14
Cato, Dionysius	14
Catullus, Gaius Valerius	14
Cooper, William	14
Flin, Laurence	14
Freize, James	14
Garrett, Walter	14
Gills, Thomas	14
Gordon, James	14
Guillemain De Saint-victor, Louis	14
Hammond, Charles	14
Hicks, Thomas	14
Johnson, William	14
Jones, Thomas	14
Leach, William	14
Mallory, John	14
Mcdouall, Patrick	14
Phillips, John	14
Pigot, Francis	14
Poulson, James	14
Robertson, John	14
Rogissart, Alexandre De	14
Simpson, William	14
Sobersides, Solomon	14
Sprint, John	14
Sutherland, William	14
Thumb, Tom	14
Virel, Matthieu	14
Walker, John	14
Watt, Thomas	14
Wilkinson, John	14
Wood, John	14
Wood, William	14
Young, Thomas	14
Adis, Henry	13
Allestree, Richard	13
Arthur, Robert	13
Bakewell, Thomas	13
Bettesworth, John	13
Bourn, Benjamin	13
Bradshaw, Ellis	13
Bristow, Peter	13
Campbell, Duncan	13
Clarke, William	13
Clement, Simon	13
Cockburn, John	13
Eliot, Thomas	13
Ellesby, James	13
Fairfax, Thomas	13
Farquharson, Robert	13
Fisher, John	13
Gaya, Louis De	13
Gordon, Alexander	13
Grant, James	13
Gray, Robert	13
Hales, Charles	13
Hall, John	13
Hobson, Paul	13
Jones, Robert	13
King, Richard	13
Lewis, John	13
Lightbody, James	13
Livigni, Filippo	13
Mackenzie, Alexander	13
Marlow, Isaac	13
Morgan, John	13
Northbrooke, John	13
Randall, Joseph	13
Rogers, Thomas	13
Stewart, Robert	13
Symmons, Edward	13
Watkinson, Edward	13
Watson, Thomas	13
Weeks, James Eyre	13
West, Moses	13
Worship, William	13
Wright, William	13
Aiton, John	12
Bullingbrooke, Edward	12
Claridge, John	12
Cooke, Edward	12
Crosfeild, Robert	12
Edwards, Joseph	12
Festeau, Paul	12
Green, William	12
Gronniosaw, James Albert Ukawsaw	12
Haggar, Henry	12
Hall, Thomas	12
Holland, Samuel	12
Horler, Joseph	12
Hunt, James	12
Johnson, Richard	12
Julius, Alexander	12
Kaye, William	12
Knight, Titus	12
Lock, Peter	12
Lund, John	12
Peter, Charles	12
Phelpes, Charles	12
Quid, Oliver	12
Rivers, Peregrine	12
Robertson, James	12
Scott, William	12
Shaw, Ferdinando	12
Stafford, Anthony	12
Stewart, James	12
Stirling, William	12
Symonds, Joseph	12
Thomson, George	12
Tomlinson, William	12
Triebner, Christopher Frederic	12
Weatherwise, Abraham	12
Weekes, Nathaniel	12
Whitfield, Peter	12
Wood, Isaac	12
Allen, John	11
Barber, James	11
Battye, Thomas	11
Boad, Henry	11
Bottarelli, Ferdinando	11
Brown, Christopher	11
Browne, Thomas	11
Campbell, Archibald	11
Campbell, Robert	11
Chapman, Thomas	11
Chicken, Edward	11
Child, Samuel	11
Clarke, William Augustus	11
Cockson, Edward	11
Colvil, Samuel	11
Cotes, Humphrey	11
Davis, Thomas	11
Day, John	11
Dutton, Thomas	11
Graham, John	11
Harris, John	11
Hascard, Gregory	11
Hodges, Richard	11
Holder, Henry Evans	11
Jelinger, Christopher	11
Kellison, Matthew	11
König, Johann	11
Lambert, James	11
Lambert, John	11
Langham, Thomas	11
Leslie, Antonius	11
Marchant, John	11
Martin, Samuel	11
Mason, Richard	11
Morton, Thomas	11
Murrell, John	11
Packwood, George	11
Payne, Thomas	11
Philipe, Thomas	11
Phillips, James	11
Radcliff, Ebenezer	11
Reid, John	11
Silence, Timothy	11
Smith, Godfrey	11
Smith, Richard	11
Spiers, Alexander	11
Stanhope, Hugh	11
Strong, Nathaniel	11
Telescope, Tom	11
Thomas, William	11
Tyron, Richard	11
Unwin, William	11
Voster, Elias	11
Wallace, James	11
Warltire, John	11
Warne, Jonathan	11
White, George	11
Winter, Salvator	11
Wright, James	11
Wylie, Robert	11
Young, Robert	11
Young, William	11
Anderson, Aeneas	10
Barker, John	10
Barlow, John	10
Barriffe, William	10
Bean, James	10
Beloe, William	10
Blackwood, Christopher	10
Blanch, John	10
Boulton, Thomas	10
Brightly, Richard	10
Brodum, William	10
Browne, Richard	10
Burnet, Gilbert	10
Claudianus, Claudius	10
Clifford, Samuel	10
Clinker, Humphrey	10
Cockburn, William	10
Colliber, Samuel	10
Coltart, John	10
Cotes, John	10
Coustos, John	10
Creagh, Michael	10
Dary, Michael	10
Dawson, Thomas	10
Denniston, Walter	10
Dowling, Daniel	10
Egan, Anthony	10
Ellis, Tobias	10
Everett, George	10
Eyre, Henry	10
Fage, Robert	10
Falkirk, John	10
Farley, John	10
Fennor, William	10
Forbes, John	10
Fraser, William	10
Gibson, John	10
Goupil, Pierre Étienne Auguste	10
Graile, John	10
Gray, John	10
Gulliver, Martin	10
Gunston, Daniel	10
Halley, William	10
Hall, James	10
Harby, Thomas	10
Honeyman, Patrick	10
James, William	10
Jasz-berenyi, Paul P	10
Justice, Alexander	10
Ker, James	10
Lacam, Benjamin	10
Lawson, John	10
Leech, John	10
Lee, Richard	10
Mabbut, George	10
Maculla, James	10
Nendick, Humphrey	10
Neve, Robert	10
Nickolls, Robert Boucher	10
Panther, Abraham	10
Peter, John	10
Playstowe, Philip	10
Powell, John	10
Pricket, Robert	10
Ramsay, John	10
Raunce, John	10
Roberti, Antonius	10
Roberts, Samuel	10
Roch, Thomas	10
Rose, Hugh	10
Ross, Alexander	10
Satis, George	10
Scott, John Robert	10
Sharp, John	10
Shute, Giles	10
Spangenberg, Johann	10
Spinke, John	10
Strangehopes, Samuel	10
Symons, William	10
Thomas, John	10
Thompson, William	10
Thomson, Alexander	10
Trowell, Samuel	10
Weld, Matthew	10
Whitfield, Thomas	10
Williams, William Bell	10
Winer, Robert	10
Winlove, Solomon	10
Anderson, Robert	9
Andrews, John	9
Arnoux, Claude	9
Aspley, John	9
Bateman, Tho	9
Bentley, William	9
Bishop, Abraham	9
Boyd, Allan	9
Branscomb, James	9
Briggs, Richard	9
Browne, Edward	9
Brown, James	9
Bull, Digby	9
Burrows, John	9
Caesar, John James	9
Campbell, Alexander	9
Chamberlayne, Thomas	9
Chandler, Samuel	9
Clark, George	9
Cock, Thomas	9
Cooke, William	9
Cross, Walter	9
Darling, John	9
Davis, John	9
Deacon, John	9
De Gols, Gerard	9
Deletanville, Thomas	9
Duff, John	9
Evans, John	9
Glapthorne, Henry	9
Godbold, Nathaniel	9
Gordon, George	9
Hallifax, Charles	9
Hamilton, John	9
Harlow, Lawrence	9
Harper, William	9
Harrison, John	9
Hereford, Charles John Ann	9
Hough, Roger	9
Hubbart, Francis	9
Hudgebut, John	9
Kent, Samuel	9
Knell, Thomas	9
Lambe, Aaron	9
Leslie, Charles Cajetan	9
Lynde, Humphrey	9
Marius, John	9
Marprelate, Martin	9
Miles, Abraham	9
Monro, George	9
Moore, William	9
Nevil, Henry	9
Norwood, Robert	9
Paris, John	9
Parker, Thomas	9
Partridge, Samuel	9
Petowe, Henry	9
Phillips, Henry	9
Pineda, Pedro	9
Pye, Charles	9
Ramsay, Allan	9
Raymond, George Frederick	9
Rayner, John	9
Robinson, William	9
Skene, George	9
Stephenson, Robert	9
Stevens, John	9
Stevenson, Henry	9
Swallow, Thomas	9
Swift, Charles	9
Tagg, Tommy	9
Townsend, George	9
Turner, George	9
