Name	Count
J	73
R	57
D	45
N	37
W	28
T	25
Marchamont	24
François	24
Silius	20
H	19
Charles-françois Du Périer	18
Sébastien	16
Gabriel-honoré De Riquetti	16
Jean-paul	14
Slingsby	13
Murrough O'brien	13
Jean-gabriel	13
Jean-baptiste	12
Soame	11
M	11
Gryffith	11
Gatien	11
Galeazzo	11
C	11
W H	10
Niccolò	10
H H	10
G	10
Conyers	10
Bulstrode	10
Bevill	10
Pasquin	9
P	9
Marmaduke	9
Harbottle	9
E	9
Calybute	9
Browne	9
Simonds	8
O	8
L	8
J Z	8
Delariviere	8
Trophime-gérard	7
Polydore	7
Jean-antoine-nicolas De Caritat	7
François	7
Vicesimus	6
Shute	6
Pelatiah	6
Gorges Edmond	6
Eusebius	6
Daines	6
Capel	6
Arrigo Caterino	6
André	6
Ulick De Burgh	5
René	5
Pons Augustin	5
Pierre-daniel	5
Pemberton	5
Jean-henri	5
Humphry	5
Hamon	5
Foote	5
Famiano	5
éléazar De	5
Devereux	5
Théodore De	4
Sydenham	4
Praisegod	4
Ninian	4
Lodowick	4
Jean-pierre-louis De	4
Jean-pierre	4
Jacques-auguste De	4
Hiob	4
Garcilaso De La	4
François De	4
François De	4
Eliphalet	4
Charlwood	4
Benedikte	4
B	4
Yves-joseph	3
Unton	3
Theodorus	3
Theobald Wolfe	3
Sackville	3
Robert-françois-joseph	3
Q	3
Pierre-françois-xavier De	3
Philippus Van	3
Paul-emilien	3
M L E	3
Lysimachus	3
Jean-françois	3
Jean-alphonse	3
Iacopo	3
Hardress	3
Godard	3
Gaultier De Coste	3
François Antoine	3
Evrard De	3
Emmanuel-louis-henri-alexandre De Launay	3
Desiderius	3
Cristof Hermann	3
Consort Of Charles I King Of England	3
Christophorus	3
Cadwallader	3
Bartholomaeus	3
Aphra	3
Antoine-yves	3
Andrewes	3
W R	2
W M	2
Vincent-claude	2
Uvedale	2
Trophime-gérard	2
Torbern	2
Smyth	2
R V	2
R Plumer	2
Philémon De	2
Phelim	2
Onslow	2
Ogier Ghislain De	2
Newcome	2
Nestore	2
Michel-rené	2
Marquard	2
Marguerite-jeanne	2
Louis-pierre	2
Louis-marie	2
Lewes	2
Kenelm	2
J T	2
J S	2
Jerónymo	2
Jean-nicolas De	2
Jean-bernard-louis Desjean	2
Jean-bernard-louis	2
Jean-baptiste-louis	2
Jean-armand	2
Jean-antoine De Mesmes	2
Jean-andré	2
János	2
Ignazy	2
Honoré	2
Heneage Finch	2
Guillaume-alexandre De	2
Guidobald	2
Guichard	2
Georges-henri-victor	2
Gédéon	2
Gasparo	2
François Pierre	2
François-claude-amour	2
F M	2
Filliberto Sallier De	2
F Henry	2
Félix De	2
Fayrer	2
Eyles	2
Deodat	2
Bourchier	2
Bonaventura	2
Bernardin De	2
Benoı̂t De	2
Beauchamp	2
Bartolomej	2
Aylett	2
Aulay	2
Ant Jaq	2
Agmondisham	2
Agamemnon Shaglock Van	2
Whitelocke	1
Wellins	1
W D	1
W C	1
Watkin	1
Walraven Van	1
W A	1
V J	1
Vavasor	1
V	1
Ulpian	1
Trophime-grard	1
Trophime-gerard	1
Treadway Russell	1
Torquato	1
Thornhagh	1
Theobald	1
Thémiseul De	1
T H B	1
Tench	1
Tanfield	1
Tancred	1
Styan	1
Stephanus	1
Shippie	1
Serenus	1
Sébastien	1
Scipione	1
Scévole De	1
Sawney	1
Sake Deen	1
S	1
R Legge	1
Ridgly	1
Reymer	1
Return Jonathan	1
René-louis De Voyer	1
René Goulaine De	1
René	1
Reay	1
R B	1
Raunce	1
Raphe	1
Quirin	1
Pons De Lauzière	1
P J B	1
Pierre-victor	1
Pierre-curel	1
Pierre-alphonse	1
Philippe-auguste De Sainte-foix	1
P F	1
Petruccio	1
Pantaleão	1
Of Uppsala	1
N X	1
Noël Antoine	1
Niccolò	1
Niccolao	1
Mungo	1
Mercurius	1
Marc-rené-marie D'amarzit De Sahuguet D'	1
Luís De	1
Louis-rené De Caradeuc De	1
Louise-marguerite De Lorraine	1
Louis-charles De Hautefort	1
Louis-antoine De	1
Louis-alexandre	1
Lodovico	1
Lieuwe Van	1
Léonor D'	1
Lazzaro	1
Lat	1
Lancelot-voisin	1
J Samuel	1
Joseph-gaspard-gilbert De	1
José	1
Joannes Georgius	1
J L Jean-l	1
J L	1
Jerónymo	1
Jerónimo	1
Jean-vincent	1
Jean-roland	1
Jean-louis Guez	1
Jean-hugues Duroy De	1
Jean-guillaume De	1
Jean-françois Espic De	1
Jean-françois De	1
Jean-claude	1
Jean-baptiste-donatien De Vimeur	1
J B D'	1
Jaques-antoine	1
James-brown	1
J A	1
Israël-bernard De	1
Iōsēph	1
Humfrey	1
Hovenden	1
Horatius	1
Hopestill	1
Holloway Whitfield	1
Hoca	1
Hew	1
H E	1
Hayman	1
Hanserd	1
Habakkuk	1
G W	1
Gulielmus	1
Guillaume-joseph	1
Guillaume-emmanuel-joseph Guilhem De Clermont-lodève	1
Guilielmo	1
Gianvincenzo	1
Gerolamo Franchi Di	1
Gerardus	1
G D	1
Gabriel-honoré De Riquetti	1
Fynes	1
François Xavier	1
François Thérèse	1
François René Jean De	1
François René	1
François Paul	1
François Nicolaas	1
François-henri De Montmorency	1
François-hédelin	1
François Eudes De	1
François-dominique De Reynaud	1
François De Lorraine	1
François De Bonne	1
Florimond-claude	1
Fer~nao Lopes De	1
Félix	1
F A	1
F	1
Ezerel	1
Eyre	1
Eustache	1
Esaïe Du Mats De	1
Erycius	1
Eobald	1
Englehart	1
Ellert De	1
Elhanan	1
Eleutherius	1
Egerton	1
Edw	1
Eberhard August Wilhelm Von	1
East	1
Dougal	1
Donatien-marie-joseph De Vimeur	1
Dominique-joseph	1
Dermond	1
Dermod	1
Dermitius	1
Demophilus	1
D'blossiers	1
Damião De	1
Dalby	1
Cradock	1
Consort Of Frederick I King Of Bohemia	1
Consider	1
Conrade	1
Claude-louis	1
Claude-joseph	1
Chrétien Guillaume De Lamoignon De	1
Chileab	1
Chidly	1
Chidley	1
Charles-marie De	1
Charles-louis	1
Charles-joseph	1
Charles-jean-françois	1
Charles-auguste	1
C G	1
C E	1
C C	1
Castruccio	1
Carew	1
Battista	1
Bassett	1
Bartolomé	1
Bartholomé De	1
Barnabe	1
Aylmer	1
Auguste-pierre	1
Arundell	1
Arthur-roger	1
Arnoldus	1
Armand-guy	1
António De	1
António De	1
Antoine-françois-claude	1
Anselme D'	1
Anne-hilarion De Cotentin	1
André De	1
Alured Henry	1
Alssenadro	1
Alexandre-louis	1
Albrecht Von	1
Agathon Marie René De	1
Adrianus	1
Abū Al-maḥāsin Yūsuf	1
Abbé De	1
Abbé	1
