Name	Count
Total count: 	481407
English	451783
Latin	 16078
French	  7755
German	  1649
Welsh	   952
Romance (Other)	   772
Italian	   586
Greek, Ancient (to 1453)	   525
Multiple languages	   279
Dutch	   223
Scottish Gaelic	   107
Portuguese	    86
Scots	    86
Spanish	    86
Greek, Modern (1453-)	    85
Tamil	    50
Irish	    47
Hebrew	    41
French, Middle (ca. 1300-1600)	    36
Algonquian (Other)	    33
Danish	    22
Persian	    19
Manx	    18
Armenian	    15
Bengali	    12
Swedish	    10
Undetermined	    10
Arabic	     7
English, Old (ca. 450-1100)	     5
Icelandic	     3
Mohawk	     3
Malayalam	     2
Newari	     2
North American Indian (Other)	     2
Palauan	     2
Russian	     2
Arawak	     1
Coptic	     1
Delaware	     1
English, Middle (1100-1500)	     1
Gothic	     1
Gujarati	     1
Iroquoian (Other)	     1
Lithuanian	     1
Malay	     1
Mongolian	     1
Pahlavi	     1
Sanskrit	     1
Scottish Gaelix	     1
Turkish	     1
