Name	Count
New York N\.Y	723
Providence R\.I	163
Newport R\.I	76
Charleston S\.C	71
Portsmouth N\.H	38
Albany N\.Y	33
Exeter N\.H	30
Fishkill N\.Y	22
Burlington N\.J	20
Poughkeepsie N\.Y	17
New Bern N\.C	15
St\. Omer	12
Woodbridge N\.J	11
Halifax N\.S	8
Concord N\.H	8
Newark N\.J	7
New Brunswick N\.J	6
Hudson N\.Y	6
St\. John's Antiqua	5
Walpole N\.H	4
St\. Andrews	4
Newburgh N\.Y	4
Lansingburgh N\.Y	4
Kingston N\.Y	4
Hanover N\.H	4
Amherst N\.H	4
Warren R\.I	3
St\. Pierre Martinique	3
Keene N\.H	3
Jacksonburgh S\.C	3
Wilmington N\.C	2
Washington D\.C	2
St\. Augustine Fl	2
Schenectady N\.Y	2
New Windsor N\.Y	2
Hillsborough N\.C	2
Edenton N\.C	2
Dover N\.H	2
Columbia S\.C	2
Chatham N\.J	2
Bury St\. Edmunds	2
St\. Mary's Md	1
St\. John New Brunswick	1
St\. Helier	1
St\. Germans	1
St\. Eustatius	1
St\. Albans	1
Salisbury N\.C	1
Rome N\.Y	1
Raleigh N\.C	1
Ossining N\.Y	1
Newton N\.J	1
Mount Holly N\.J	1
Monmouth N\.J	1
Lancaster N\.J	1
Haverhill N\.H	1
Geneva N\.Y	1
Elizabeth N\.J	1
Bridgeton N\.J	1
