Name	Count
Total count: 	n= 455431  ( 100 % non-NA values)
2	119845
24	 26071
8	 19466
4	 18414
48	 16828
16	 13937
32	 12126
64	  8719
160	  7520
124	  6956
12	  6105
36	  5808
40	  5766
34	  5083
28	  4923
52	  4743
20	  4502
14	  4038
6	  3894
56	  3639
84	  3599
22	  3586
18	  3495
72	  3341
80	  3330
174	  3170
42	  2986
60	  2851
44	  2839
5	  2743
172	  2495
10	  2491
30	  2419
68	  2188
204	  2015
50	  1969
184	  1955
96	  1856
38	  1853
62	  1733
574	  1633
144	  1613
26	  1571
76	  1479
120	  1381
142	  1350
46	  1349
436	  1344
74	  1271
100	  1255
54	  1247
540	  1220
288	  1219
114	  1130
314	  1122
136	  1106
102	  1101
92	  1057
424	  1056
58	  1047
88	  1021
322	  1017
192	   987
516	   957
112	   956
190	   944
250	   905
108	   900
132	   893
400	   887
722	   875
104	   829
370	   826
312	   825
240	   808
152	   780
178	   775
664	   764
208	   762
110	   742
70	   741
148	   738
216	   733
168	   733
128	   723
106	   722
180	   704
228	   695
270	   683
156	   646
336	   625
214	   616
98	   614
304	   599
116	   582
66	   579
432	   559
82	   546
264	   539
704	   535
194	   520
328	   512
224	   510
375	   508
146	   508
78	   503
256	   500
948	   499
94	   499
384	   498
63	   486
181	   486
796	   482
296	   480
480	   474
244	   473
360	   469
212	   460
514	   450
176	   439
268	   413
35	   411
140	   406
158	   401
368	   400
130	   394
86	   389
348	   378
628	   377
90	   375
276	   375
272	   373
362	   369
320	   368
572	   365
372	   358
300	   356
608	   354
220	   353
138	   346
236	   337
118	   327
316	   322
294	   319
200	   316
238	   312
386	   299
232	   289
446	   283
768	   280
170	   280
154	   279
182	   269
402	   268
280	   267
196	   265
692	   262
166	   262
252	   260
412	   256
346	   252
414	   251
126	   250
376	   247
242	   241
274	   238
282	   234
164	   231
188	   230
496	   225
464	   225
352	   214
318	   210
354	   209
248	   208
408	   203
255	   200
324	   197
310	   191
466	   188
442	   187
404	   178
344	   178
278	   176
230	   176
340	   175
284	   172
416	   171
43	   168
134	   167
364	   166
89	   164
286	   164
162	   164
452	   161
150	   161
538	   160
544	   157
202	   157
482	   156
218	   155
450	   154
29	   151
494	   149
448	   146
434	   146
260	   146
186	   146
122	   144
292	   142
254	   142
428	   140
350	   138
234	   138
1349	   137
198	   136
456	   135
374	   134
290	   134
39	   133
338	   132
420	   131
226	   131
472	   130
392	   129
206	   128
732	   126
680	   124
334	   123
308	   122
298	   122
396	   121
306	   121
556	   119
398	   119
382	   114
210	   114
358	   113
330	   112
246	   112
302	   110
258	   110
262	   109
474	   108
444	   107
438	   107
326	   103
622	   101
394	   101
222	   100
512	    99
406	    99
385	    99
57	    98
418	    98
528	    97
332	    97
488	    94
440	    90
430	    88
388	    88
484	    87
476	    87
468	    87
147	    87
522	    84
504	    84
500	    81
342	    81
356	    80
410	    75
266	    73
179	    73
492	    71
115	    71
7	    69
564	    69
462	    68
378	    68
576	    67
554	    67
530	    67
560	    65
13	    63
460	    61
47	    60
454	    60
41	    60
390	    60
366	    59
552	    58
520	    58
380	    58
914	    57
638	    57
205	    57
668	    56
592	    53
426	    53
546	    52
508	    52
606	    50
536	    50
23	    50
490	    49
566	    47
506	    47
31	    47
9	    46
568	    45
422	    45
133	    45
610	    44
548	    44
458	    44
99	    43
470	    43
19	    43
526	    42
169	    42
71	    41
648	    41
580	    41
75	    40
596	    40
55	    40
61	    39
59	    39
542	    39
510	    39
498	    39
21	    39
532	    38
502	    38
1	    38
690	    37
478	    37
33	    37
83	    36
624	    36
600	    36
934	    35
73	    35
69	    35
325	    35
3	    35
642	    34
527	    34
632	    33
25	    33
243	    33
824	    32
27	    32
207	    32
15	    32
760	    31
562	    31
524	    31
486	    31
45	    31
518	    30
660	    29
656	    29
549	    29
49	    29
319	    29
11	    29
79	    28
644	    28
203	    27
724	    26
558	    26
