Name	Count
2	118366
24	27486
8	19758
48	19085
4	16496
16	14661
32	12185
400	9013
64	8754
36	7749
160	7462
124	6891
34	6150
12	6136
54	5917
40	5841
28	4987
52	4747
20	4546
14	4078
6	4002
72	3781
56	3699
18	3605
22	3591
84	3578
80	3325
174	3137
42	2971
60	2864
44	2849
5	2743
10	2706
172	2503
30	2463
68	2211
204	2008
50	1983
184	1964
96	1948
38	1889
746	1791
62	1741
144	1638
26	1613
574	1612
76	1479
120	1398
46	1375
142	1353
436	1347
108	1292
74	1279
100	1262
288	1255
540	1206
600	1144
114	1142
314	1110
136	1105
102	1096
92	1071
58	1060
88	1055
424	1045
322	1023
192	1004
516	959
112	958
190	944
240	926
132	913
250	898
722	867
312	844
104	831
216	817
370	816
152	787
178	782
168	774
208	772
664	760
128	748
148	746
110	744
70	741
106	713
180	712
228	699
270	696
156	649
336	648
214	616
98	613
304	598
66	590
116	585
264	584
432	575
800	571
82	549
704	528
194	522
78	513
328	513
224	512
480	508
360	507
146	507
256	503
375	500
94	499
384	499
948	496
63	486
296	484
181	483
796	478
244	471
158	464
212	454
176	450
514	444
140	429
268	411
81	407
35	405
368	401
86	397
130	395
90	385
628	378
348	375
276	374
320	370
272	370
572	369
362	368
220	358
372	356
300	356
608	351
138	346
236	336
118	334
316	325
200	325
294	316
238	310
386	301
768	294
232	290
1119	288
162	285
446	279
170	279
182	278
154	277
280	270
402	268
196	267
166	267
692	262
252	261
412	257
346	252
126	252
376	249
414	248
164	246
301.333333333333	241
274	240
242	240
282	237
188	230
496	226
464	222
352	216
354	213
318	213
248	213
408	211
324	203
1200	201
452	200
255	198
310	193
466	189
442	189
1600	186
344	180
416	178
404	177
230	177
278	176
340	174
284	173
43	170
134	170
364	168
286	167
150	164
89	162
202	160
544	159
538	158
218	157
482	156
450	155
476	154
29	153
198	153
448	150
186	149
122	149
494	147
434	146
254	146
1000	146
456	145
428	145
292	145
260	145
234	140
374	138
420	136
39	136
350	136
338	134
392	133
290	133
1349	133
226	131
472	130
206	129
732	127
680	124
308	124
334	123
298	123
556	122
398	121
306	119
210	118
330	117
246	117
396	115
358	115
382	114
1492	113
302	112
258	112
262	110
474	109
444	108
438	108
394	104
326	104
528	102
222	102
512	101
622	99
418	99
406	99
57	98
385	98
504	97
488	95
332	95
440	92
430	90
468	89
576	88
484	87
388	87
147	86
522	85
356	84
500	81
342	80
266	76
410	75
179	73
564	71
492	71
378	71
115	71
552	70
530	69
554	68
462	68
460	66
454	65
560	64
47	62
13	62
520	60
41	60
380	60
390	59
1800	59
668	58
638	58
366	58
624	57
205	57
914	56
23	56
135	55
592	54
546	54
606	53
426	53
1865	53
508	51
1400	51
536	50
490	50
243	50
648	49
548	49
31	47
566	46
506	46
422	46
568	45
458	45
610	44
2984	44
133	44
99	43
526	43
19	43
169	43
7	42
470	42
71	41
596	41
580	41
55	40
510	40
502	40
21	40
75	39
61	39
59	39
542	39
532	39
498	39
69	38
33	38
690	37
478	37
27	37
83	36
672	36
1	36
934	35
73	35
720	35
642	34
632	34
527	34
49	34
475.081632653061	34
45	34
189	34
325	33
25	33
207	33
824	32
518	32
3	32
15	32
79	31
582	31
578	31
524	31
486	31
840	30
760	30
656	30
11	30
9	29
660	29
562	29
549	29
319	29
864	27
644	27
203	27
724	26
65	26
604	26
558	26
37	26
237	26
17	26
584	25
247	25
2238	25
175	25
960	24
654	24
614	24
51	24
485	24
2000	24
197	24
171	24
141	24
816	23
77	23
403	23
193	23
702	22
590	22
271	22
125	22
588	21
