original	gatherings	width	height	obl	Count
Total count: 	10279				
8⁰.	NA	NA	NA	NA	2342
NA	NA	NA	NA	NA	1899
4⁰.	NA	NA	NA	NA	1593
12⁰.	NA	NA	NA	NA	 910
2⁰.	NA	NA	NA	NA	 848
1/2⁰.	NA	NA	NA	NA	 614
1⁰.	NA	NA	NA	NA	 511
?⁰.	NA	NA	NA	NA	 253
1/4⁰.	NA	NA	NA	NA	 144
4⁰	NA	NA	NA	NA	  82
4°.	NA	NA	NA	NA	  81
1/8⁰.	NA	NA	NA	NA	  81
8⁰	NA	NA	NA	NA	  63
16⁰.	NA	NA	NA	NA	  51
12⁰	NA	NA	NA	NA	  51
1/2⁰	NA	NA	NA	NA	  38
24⁰.	NA	NA	NA	NA	  34
2⁰	NA	NA	NA	NA	  31
18⁰.	NA	NA	NA	NA	  31
broadsheet	NA	NA	NA	NA	  28
obl. 1⁰.	NA	NA	NA	NA	  28
32⁰.	NA	NA	NA	NA	  22
quarto [fewer than 50 pages]	NA	NA	NA	NA	  20
15 cm. 8⁰	NA	NA	NA	NA	  18
fol.	NA	NA	NA	NA	  17
octavo	NA	NA	NA	NA	  17
1/12⁰.	NA	NA	NA	NA	  13
17 cm.	NA	NA	NA	NA	  12
obl. 1/2⁰.	NA	NA	NA	NA	  12
34 x 21 cm.	NA	NA	NA	NA	  11
21 cm.	NA	NA	NA	NA	  10
16 cm.	NA	NA	NA	NA	  10
quarto	NA	NA	NA	NA	  10
duodecimo	NA	NA	NA	NA	   9
22 cm.	NA	NA	NA	NA	   8
obl. 1/4⁰.	NA	NA	NA	NA	   7
1/4⁰	NA	NA	NA	NA	   7
obl. 12	NA	NA	NA	NA	   7
16⁰ in 8's.	NA	NA	NA	NA	   7
s.sh.fol.	NA	NA	NA	NA	   7
18 cm.	NA	NA	NA	NA	   6
19 cm.	NA	NA	NA	NA	   6
18⁰	NA	NA	NA	NA	   6
15 cm.	NA	NA	NA	NA	   5
33 x 21 cm.	NA	NA	NA	NA	   5
16⁰	NA	NA	NA	NA	   5
?⁰	NA	NA	NA	NA	   5
obl.4⁰.	NA	NA	NA	NA	   5
33 x 20 cm.	NA	NA	NA	NA	   4
31 x 19 cm.	NA	NA	NA	NA	   4
octavo [fewer than 50 pages]	NA	NA	NA	NA	   4
folio	NA	NA	NA	NA	   4
obl. 8⁰.	NA	NA	NA	NA	   4
obl. 4⁰.	NA	NA	NA	NA	   4
11 cm.	NA	NA	NA	NA	   3
14 cm.	NA	NA	NA	NA	   3
24 cm.	NA	NA	NA	NA	   3
20 cm.	NA	NA	NA	NA	   3
4⁰ in 8's.	NA	NA	NA	NA	   3
1/2°.	NA	NA	NA	NA	   3
obl.1/2⁰.	NA	NA	NA	NA	   3
2°.	NA	NA	NA	NA	   2
16 cm 8⁰	NA	NA	NA	NA	   2
14 cm. 12⁰	NA	NA	NA	NA	   2
18 cm. 4⁰	NA	NA	NA	NA	   2
(1/2')	NA	NA	NA	NA	   2
42 x 34 cm.	NA	NA	NA	NA	   2
40 x 25 cm.	NA	NA	NA	NA	   2
42 x 26 cm.	NA	NA	NA	NA	   2
36 x 23 cm.	NA	NA	NA	NA	   2
20 cm. (4to and 8vo)	NA	NA	NA	NA	   2
42 x 32 cm.	NA	NA	NA	NA	   2
50 x 40 cm.	NA	NA	NA	NA	   2
6⁰.	NA	NA	NA	NA	   2
10 cm.	NA	NA	NA	NA	   2
23 cm.	NA	NA	NA	NA	   2
42 x 24 cm.	NA	NA	NA	NA	   2
34 x 20 cm.	NA	NA	NA	NA	   2
20 x 16 cm.	NA	NA	NA	NA	   2
33 cm.	NA	NA	NA	NA	   2
35 x 22 cm.	NA	NA	NA	NA	   2
31 x 20 cm.	NA	NA	NA	NA	   2
31 cm.	NA	NA	NA	NA	   2
21 x 12 cm.	NA	NA	NA	NA	   2
38 x 30 cm.	NA	NA	NA	NA	   2
25 cm.	NA	NA	NA	NA	   2
24⁰	NA	NA	NA	NA	   2
1⁰	NA	NA	NA	NA	   2
8⁰?	NA	NA	NA	NA	   2
8⁰ .	NA	NA	NA	NA	   2
long 12⁰.	NA	NA	NA	NA	   2
4⁰..	NA	NA	NA	NA	   2
8.	NA	NA	NA	NA	   2
folio [fewer than 50 pages]	NA	NA	NA	NA	   2
16mo	NA	NA	NA	NA	   2
43 cm.	NA	NA	NA	NA	   2
23 cm (4⁰)	NA	NA	NA	NA	   2
8⁰ (22 cm.).	NA	NA	NA	NA	   2
8º.	NA	NA	NA	NA	   1
4⁰?.	NA	NA	NA	NA	   1
obl. 1/8⁰.	NA	NA	NA	NA	   1
oblong 2⁰.	NA	NA	NA	NA	   1
24⁰?	NA	NA	NA	NA	   1
8⁰?.	NA	NA	NA	NA	   1
4⁰?	NA	NA	NA	NA	   1
32⁰	NA	NA	NA	NA	   1
1/12⁰	NA	NA	NA	NA	   1
8⁰ in 4s	NA	NA	NA	NA	   1
obl. 2⁰.	NA	NA	NA	NA	   1
1/4⁰ (21 x 19 cm.)	NA	NA	NA	NA	   1
1/8⁰ (11 x 22 cm)	NA	NA	NA	NA	   1
1/2⁰ (31 x 21 cm)	NA	NA	NA	NA	   1
8�	NA	NA	NA	NA	   1
17 cm. 4⁰	NA	NA	NA	NA	   1
27 cm. 2⁰	NA	NA	NA	NA	   1
29 x 17 cm.	NA	NA	NA	NA	   1
28 x 27 cm.	NA	NA	NA	NA	   1
19 cm. 4⁰	NA	NA	NA	NA	   1
20 cm. 4⁰	NA	NA	NA	NA	   1
30 x 18 cm.	NA	NA	NA	NA	   1
33 cm. 2⁰	NA	NA	NA	NA	   1
31 x 21 cm.	NA	NA	NA	NA	   1
32 x 20 cm.	NA	NA	NA	NA	   1
28 cm. 2⁰	NA	NA	NA	NA	   1
14 cm. 16⁰	NA	NA	NA	NA	   1
14 cm. 8⁰	NA	NA	NA	NA	   1
obl.12⁰.	NA	NA	NA	NA	   1
38 x 29 cm.	NA	NA	NA	NA	   1
37 x 18 cm.	NA	NA	NA	NA	   1
38 x 16 cm.	NA	NA	NA	NA	   1
?	NA	NA	NA	NA	   1
27 x 23 cm.	NA	NA	NA	NA	   1
41 x 33 cm.	NA	NA	NA	NA	   1
20 x 25 cm.	NA	NA	NA	NA	   1
41 x 29 cm.	NA	NA	NA	NA	   1
30 x 23 cm.	NA	NA	NA	NA	   1
33 x 22 cm.	NA	NA	NA	NA	   1
32 x 18 cm.	NA	NA	NA	NA	   1
52 x 22 cm.	NA	NA	NA	NA	   1
43 x 18+ cm.	NA	NA	NA	NA	   1
39 x 33 cm.	NA	NA	NA	NA	   1
31 x 24 cm.	NA	NA	NA	NA	   1
48 x 30 cm.	NA	NA	NA	NA	   1
39 x 25 cm.	NA	NA	NA	NA	   1
21x16 cm.	NA	NA	NA	NA	   1
36 x 30 cm.	NA	NA	NA	NA	   1
33 x 19 cm.	NA	NA	NA	NA	   1
24 cm. (folio)	NA	NA	NA	NA	   1
34 x 22 cm.	NA	NA	NA	NA	   1
15 x 17 cm.	NA	NA	NA	NA	   1
13 x 23 cm.	NA	NA	NA	NA	   1
20 cm. (4to & 8vo)	NA	NA	NA	NA	   1
12 x 20 cm.	NA	NA	NA	NA	   1
56 x 45 cm.	NA	NA	NA	NA	   1
