region;country;comment
Ambiguous;Ambiguous;
Augusta (Ambiguous);Ambiguous;Augsburg/Augusta GA/Augusta Me
Bath;Ambiguous;England|USA
Blandford (Ambiguous);Ambiguous;England|USA
Boston (Ambiguous);Ambiguous;England|USA
Cambridge (Ambiguous);Ambiguous;England|USA
Canterbury (Ambiguous);Ambiguous;England|USA
Europe;Ambiguous;
Gloucester;Ambiguous;England|USA
Jersey (Ambiguous);Ambiguous;
Kentucky (Ambiguous);Ambiguous;
Newark (Ambiguous);Ambiguous;England|USA
Reading (Ambiguous);Ambiguous;England|USA
Salisbury;Ambiguous;England|USA
Westminster (Ambiguous);Ambiguous;
Worcester;Ambiguous;England|USA
York (Ambiguous);Ambiguous;
