Name	Count
Providence RI	164
Hartford CT	145
Watertown MA	86
Charleston SC	79
Newport RI	76
New London CT	69
Lancaster PA	61
Salem MA	56
Williamsburg VA	54
Norwich CT	51
Portsmouth NH	38
Cambridge MA	38
Litchfield CT	35
Albany NY	33
Exeter NH	30
Newburyport MA	27
Fishkill NY	22
Burlington NJ	20
Poughkeepsie NY	17
York PA	15
New Bern NC	15
St Omer	14
Germantown PA	12
Woodbridge NJ	11
Kings Lynn	10
Danvers MA	9
Newark NJ	8
Mass	8
Halifax NS	8
Concord NH	8
Bury St Edmunds	8
Norfolk VA	7
Winchester VA	6
Stockbridge MA	6
Richmond VA	6
New Brunswick NJ	6
Hudson NY	6
Chelmsford MA	6
Carlisle PA	6
Trenton NJ	5
St Johns Antiqua	5
Hanover NH	5
Windham CT	4
Walpole NH	4
St Georges Grenada	4
St Andrews	4
Newburgh NY	4
Leominster MA	4
Lansingburgh NY	4
Kingston NY	4
Halifax NC	4
Chambersburg PA	4
Amherst NH	4
Warren RI	3
St Pierre Martinique	3
St Augustine Fl	3
New Bedford MA	3
Keene NH	3
Jacksonburgh SC	3
Ephrata PA	3
Wilmington NC	2
Washington DC	2
Staunton VA	2
St Ives	2
Springfield MA	2
Shepherdstown VA	2
Schenectady NY	2
Reading PA	2
Petersburg VA	2
Northampton MA	2
Newbury MA	2
Hillsborough NC	2
Haverhill NH	2
Harrisburgh PA	2
Fredicksburg VA	2
Edenton NC	2
DumfriesVA	2
Dover NH	2
Columbia SC	2
Chatham NJ	2
Andover MA	2
AlexandriaVA	2
West Springfield MA	1
St Marys Md	1
St John New Brunswick	1
St Helier	1
St Germans	1
St Eustatius	1
St Albans	1
Scipio NY	1
Salisbury NC	1
Salisbury MA	1
Salem NY	1
Raleigh NC	1
Pembroke MA	1
Ossining NY	1
Newton NJ	1
Newfield CT	1
New Windsor NY	1
Mount Holly NJ	1
Monmouth NJ	1
Medford MA	1
Martinsburg VA	1
Lancaster NJ	1
Haverhill MA	1
Greenfield MA	1
Gloucester MA	1
Geneva NY	1
Elizabeth NJ	1
Dedham MA	1
Danbury CT	1
Concord MA	1
Chesire CT	1
Charlottesville VA	1
Charlestown MA	1
Brookfield MA	1
Bridgeton NJ	1
Bath NY	1
