publication_frequency_text	publication_frequency_annual	original_frequency	original_interval	original_time	Count
Total count (na.rm TRUE: 	3279				
Irregular	NA	irregular	no. iii (saturday, november 7, 1767)-no.xviii (saturday, april 16, 1768)	[1767]	1
Irregular	NA	no determinable frequency	began with no.1, 17 oct. 1767	mdcclxvii [1767]	1
Irregular	NA	irregular	began in 1798?	<1798>	1
Irregular	NA	irregular	number i. [wednesday, january 20, 1720]- numb. liii (wednesday, january 4, 1720 [i.e. 1721])	[1724]	1
Irregular	NA	irregular	vol. i. [for july and august, 1795.-for may and june 1796.]-vol. iii.[october, november and december, 1797-december, january and february, 1799]	1795-1799	1
Irregular	NA	irregular	[vol. i.] number i. [1776]-;apparently ceased in 1807	m.dcc.lxxvi. [1776]-	1
Irregular	NA	irregular	(september 1678. to january 1679/80.)-;ceased with third issue: 24 june-michaelmas term [i.e. 6 oct.] 1680	1680	1
Irregular	NA	irregular	numb. i. (began jan. 1. 1677. [1678])-numb xiv. [1680]	1677 [1678]-1680	1
NA	NA	no. 1. (monday, march 13, 1797.) vol. i.-vol. i. (wednesday, september 13, 1797.) no. 80	NA	[1797]	1
Irregular	NA	irregular	NA	<1755>	1
Irregular	NA	irregular	vol. i., from april, 1791, to january, 1793 [no. i-iv]-[vol. ii, 1794-1797 (no. i-iv)]	[1793-<1797>	1
Irregular	NA	irregular (collected issues)	vol. i [september, 1771-december, 1771]-vol. ii. [january, 1772-june, 1772.]	-mdcclxxii. [1772]	1
NA	NA	every nine issues	vol. i. [no. 1 (1791)-no. 9]-;ceased in 1819? with v. iii, no. 26	1795-	1
NA	NA	every twenty numbers	vol. i. [number i.-number xx. (wednesday, january 1, 1794-saturday, may 10, 1794.)]-vol. ii. [number xxi.-number xl. (saturday, may 17, 1794-saturday, march 21, 1795.]	[1795]	1
Irregular	NA	irregular	vol. i. from 10 car. i. 1634, to 10 gul. iii. 1698.-vol. viii. from 38 geo. iii. 1798, to 40 geo. iii. 1800	1779-1800	1
Irregular	NA	irregular	began in 1772; last reported issue: 1784	<1773-	1
Irregular	NA	irregular (collected issues)	vol. 1. (1793)-vol. xii. ([1807])	[1793-1807]	1
Irregular	NA	irregular	began in 1719	<1719>	1
Irregular	NA	irregular	[letter i. 29 feb. 1716]-letter ii. [3 mar. 1716]	[1716]	1
Irregular	NA	irregular	numb. iii.-numb. v. [1716]	[1716]	1
Irregular	NA	irregular	numb. i. [1719]	1719	1
Irregular	NA	irregular	number i. [1735]-number x. [1736]	1735-mdccxxxvi. [1736]	1
NA	NA	every ten numbers	vol. i. [july, 1783.-dec. 1783. + suppl.]-vol. vi. [no. li.-no. lx.]	1783-[1785]	1
Irregular	NA	irregular	began in 1706? ceased in 1708?	<1706-	1
Irregular	NA	irregular	dialogue the first.-the thirteenth and last dialogue	1691/2-1694	1
Irregular	NA	irregular	NA	<1729-	1
Irregular	NA	irregular	25th may 1798-18th october 1798	<1798>	1
Irregular	NA	irregular (cumulation)	1787-1788	m dcc lxxxviii. [1788]	1
Irregular	NA	irregular	numb. 1 (thursday, january 18. 1711.)-no. 4. (saturday, march 24. 1711.)	[1711]	1
Irregular	NA	irregular	[volume i. no. i.] (august 20, 1795.)-volume iii. no. xii. (january 30, 1796.)	august 20, 1795.-	1
Irregular	NA	no determinable frequency	no. ii (saturday, october 24, 1767)	[1767]	1
Irregular	NA	irregular	no. i. (may 1, 1795.)-no. v. (june, 1796)	1795-1796	1
Irregular	NA	irregular	vol. 1, no. 1 (apr. 7, 1798)-vol. 2, no. 13 (june 29, 1799)	1798	1
Irregular	NA	frequency irregular	vol. 9, no. 907 (may 30, 1783)-v. 10, no. 1087 (oct. 26, 1784)	1783-1784	1
Irregular	NA	irregular	vol. 1, no. 1 (jan. 24, 1775)-v. 7, no. 759 (july 30, 1781)	1775-1781	1
Irregular	NA	irregular	vol. i [no. 1-50] (1764)-v. ii. [no. 1-15 (1770-1774?)]	1764-1770 [i.e. 1774?]	1
Irregular	NA	irregular	from imp (jan. 23, 1648) - numb. 3 (jan. 29, 1648) [1649]	[jan.23, 1648] (date varies)	1
Irregular	NA	irregular (collected issues)	[vol. i] (m,dcc,xcii. [jan.-june 1792])-vol. x. ([july-dec.] 1795)	1792-1796	1
Irregular	NA	irregular	no. i. (monday, february 24, 1777.)-;ceased in mar. 1777	1777]	1
Irregular	NA	irregular	nr. 1 (6. mai 1732)-	1732	1
Irregular	NA	irregular	numb. 1. (edinburgh, april 18. 1693.)-numb. 3. (from tuesday, may 2. to saturday, may 6. [1693])	[1693]	1
Irregular	NA	irregular	began: 16/23 aug. 1642.;-monday the 22. of august till friday the twenty six 1642	1642	1
Irregular	NA	no determinable frequency	numb. i (friday, august 14. [1724])-;ceased in 1726?	1724-[1726?]	1
NA	NA	during the law terms	no. i. vol. i. (easter term, 1761. i geo. iii. [i.e. 4 apr.-8 may 1761])-;ceased in 1762	mdcclxi. [1761]-	1
Irregular	NA	irregular	volume the first.-volume the eighth	m.dcc.xci.-m,dcc. [1791-1800]	1
Irregular	NA	irregular	numb. i. (friday, april 18. 1718)-;ceased with: no. 7 (2 dec. 1719)	mdccxviii. [1718]-	1
Irregular	NA	irregular	number i (friday, march the 16th. [1764])-number v (friday, april the 6th. [1764])	[1764]	1
Irregular	NA	irregular	number i. (thursday, january 10, 1793.)-	1793- ]	1
Irregular	NA	irregular	part the ninth.-part the twelfth	1708	1
Irregular	NA	irregular	lundi 25 de septembre 1682.-;ceased with: 16 oct. 1682	1682	1
Irregular	NA	irregular	vol. i. [no. 1-14 (5 nov. 1792-9 feb. 1793)]-;ceased in 1794	1792 [i.e. 1793]-<1794>	1
Irregular	NA	irregular	number i	1751	1
Irregular	NA	irregular	[letter the first (1754)]-letter the fifth [(1755)]	m dcc liv. [1754]-1755	1
Irregular	NA	irregular	number i. (august 30, 1788.)-number xx. (sept.? 1788)	1789]	1
Irregular	NA	irregular (collected issues)	volume i. [number i. (saturday, october 1, 1791.)-number xxvii. (saturday, march 31, 1792.)]-;ceased in 1796?	mdccxcii. [1792-	1
Irregular	NA	irregular (collected issues)	numb. i (tuesday, october 11. 1709.) [novelty i.-novelty viii.]	mdccix. [1709]	1
Irregular	NA	irregular	number i. [may 30? 1752]-number v. [july 30? 1752]	m dcc lii. [1752]	1
Irregular	NA	irregular (collected issues)	vol. i. [no. 1. (wednesday, july 30, 1794.)-no. 26. <21 jan. 1795?>]-vol. iii. [no. 53. (wednesday oct. 14, 1795.)-no. 78. (wednesday april 14, 1796.)]	mdccxciv [i.e. 1795]-mdccxcvi [1796]	1
Irregular	NA	irregular	number i (1712)-;ceased in 1713 with no. v	mdccxii. [1712]-	1
Irregular	NA	irregular (published according to sitting dates of parliament)	being the first session in the eighteenth parliament of great britain: held in the year 1796. vol. xvi. [no. 1. (tuesday, september 27.)]-;ceased with v. 22 [sess 3:18th parl.] 1798	[1796-1797]	1
