Name	Count
Total count: 	136555
Great Britain	26275
England	12292
Great Britain;Great Britain	 6784
Great Britain.	 6481
England;England	 3732
Ireland	 3583
Scotland	 3557
United States	 2759
England;Great Britain	 2756
France	 1980
England;London	 1912
England.	 1419
Ireland;Ireland	 1248
Great Britain;Great Britain;Great Britain	 1179
England;England;England	 1159
Scotland;Scotland	 1092
Europe	  909
United States.	  791
Great Britain.;Great Britain	  766
Great Britain.;Great Britain.	  745
Rome	  743
London (England)	  739
England;England;Great Britain	  703
Ireland;Ireland;Ireland	  694
Ireland.	  622
Massachusetts	  559
United States;United States	  559
England;Great Britain;Great Britain	  503
Scotland.	  464
France;France	  447
New York (State)	  373
England;London;England	  357
Great Britain;Ireland	  352
Massachusetts.	  339
Pennsylvania	  333
Great Britain;Scotland	  306
England;London.	  301
England;London;England;London	  289
Pennsylvania;Philadelphia.	  280
Scotland;Scotland;Scotland	  276
Netherlands	  275
Great Britain;Great Britain;Great Britain;Great Britain	  274
New York (State);New York (State)	  269
Scotland;Edinburgh	  260
Pennsylvania.	  250
England;London;Great Britain	  248
Massachusetts;Boston.	  248
United States.;United States.	  248
Ireland;Great Britain	  243
United States.;United States	  242
Great Britain;England	  239
Great Britain;London (England)	  232
Scotland;Great Britain	  229
India	  224
England;England;England;England	  221
Great Britain.;Great Britain.;Great Britain.	  202
Ireland;Dublin	  197
Greece	  189
Great Britain.;Great Britain.;Great Britain	  184
Great Britain.;Great Britain;Great Britain	  181
Massachusetts.;Massachusetts	  176
England;London;London (England)	  171
Ireland;Ireland;Ireland;Ireland	  170
New England	  155
Italy	  151
Spain	  151
France.	  148
New York (State);New York.	  147
England.;England.	  144
England.;Great Britain	  143
Oxford Canal (England)	  137
Virginia	  136
France;Great Britain	  134
Wales	  133
Great Britain;United States	  125
Great Britain;France	  123
Coventry (England);Great Britain	  121
Germany	  121
Massachusetts.;Massachusetts.	  117
France;France;France	  116
England;England;London	  114
Europe;Europe	  112
London (England);Great Britain	  112
Pennsylvania;Philadelphia.;Philadelphia (Pa.)	  112
Canada	  111
Jamaica	  111
Pennsylvania.;Pennsylvania	  111
Massachusetts;Massachusetts	  109
England;England;England;Great Britain	  108
England;Great Britain;Great Britain;Great Britain	  106
London (England);London (England)	  106
Turkey	  105
Europe;Great Britain	  102
England;England;Great Britain;Great Britain	  100
England;London (England)	   99
Rhode Island	   97
Rhode Island.;Rhode Island	   96
Venice (Italy)	   95
Sweden	   94
Connecticut	   93
Bath (England)	   91
Maryland;Baltimore.	   91
Pennsylvania;Philadelphia.;Pennsylvania;Philadelphia.	   90
United States.;United States.;United States	   90
England;London;England;Great Britain	   87
Ireland.;Ireland	   87
Great Britain;United States;America.	   85
North America.	   84
Pennsylvania;Pennsylvania	   83
Pennsylvania.;Pennsylvania.	   83
Great Britain;France.	   82
Inkpen (England)	   82
New York (N.Y.)	   81
Connecticut.	   80
Nova Scotia	   80
Philadelphia (Pa.)	   79
England;London;Great Britain;Great Britain	   78
England;England;Great Britain;Great Britain;Great Britain	   76
Rome;Rome	   76
New York (State);New York.;New York (State);New York.	   75
United States.;United States.;United States.	   75
Egypt	   74
Ireland.;Ireland.	   71
New York (State);New York.;New York (N.Y.)	   71
England;Oxford	   70
Great Britain;Great Britain.	   70
England;Great Britain;England	   69
Georgia	   68
South Carolina.	   68
Scotland;Edinburgh;Scotland;Edinburgh	   67
England;Wales	   66
London	   66
Maryland	   66
New England;New England	   66
Rhode Island.	   66
Massachusetts;Boston.;Massachusetts;Boston.	   65
Great Britain;America.	   64
Great Britain;Europe	   64
Africa.	   63
England;England;Norfolk (England)	   63
Greece;Rome	   63
Boston (Mass.);Boston (Mass.)	   62
Great Britain;England;Great Britain	   62
New England.	   62
New South Wales.	   62
Portugal	   62
America	   61
Dublin (Ireland)	   61
England;England;London;England	   61
Great Britain;Hull (England)	   61
Scotland.;Scotland.	   61
Russia	   60
South Carolina	   59
Boston (Mass.)	   58
England;Northampton	   58
Great Britain.;Great Britain.;Great Britain.;Great Britain.	   58
Ireland;Ireland;Ireland;Ireland;Ireland	   58
Ireland.;Ireland;Ireland	   57
United States;Great Britain;America.	   57
United States;United States;United States	   57
West Indies	   57
Africa	   56
England;London.;London (England)	   56
Great Britain;Netherlands;Netherlands;Great Britain	   56
Great Britain;Spain.	   56
United States;Massachusetts	   56
England.;Great Britain;Great Britain	   55
New York (State);New York (State);New York (State)	   55
England;Ireland	   54
England;London;England;England	   54
United States;Great Britain	   54
Netherlands;Great Britain	   53
New Jersey.	   52
Ireland;Dublin.	   51
Massachusetts;United States	   50
New Hampshire	   50
Oxford (England)	   50
Paris (France)	   50
Virginia.	   50
Great Britain;Netherlands	   49
Netherlands;Netherlands	   49
Northern Ireland;Down (County)	   49
Edinburgh (Scotland)	   48
North America	   48
Yorkshire (England)	   48
England;London;England;London;London (England)	   47
Troy (Extinct city)	   47
New Hampshire.	   46
Poland	   46
Bengal (India)	   45
Great Britain;England;England	   45
Great Britain;Great Britain;London (England)	   45
Ireland;Ireland;Great Britain	   45
Jerusalem	   45
England;London;London (England);London (England)	   44
England.;Great Britain.	   44
Great Britian	   44
South Carolina;Charleston.	   44
West Indies, British	   44
India;India	   43
Bristol (England)	   42
England;Bristol	   42
Great Britain;Great Britain;Ireland	   42
Great Britain.;England;London.	   42
Ireland;Great Britain;Ireland	   42
Kent (England)	   42
Massachusetts;Boston.;Boston (Mass.)	   42
Scotland;Edinburgh.	   42
Scotland.;Scotland	   42
Switzerland	   42
Virginia.;Virginia.	   42
West Indies.	   42
Dublin (Ireland);Ireland	   41
England;London;England;London;England;London	   41
Great Britain.;Great Britain;Great Britain;Great Britain	   41
Suriname	   41
Atlantic coast (North America)	   40
New Jersey	   40
Thames River (England)	   40
England;England;London;Great Britain	   39
England;Scotland	   39
Great Britain;France;France;Great Britain	   39
Middle East	   39
West Indies, British.	   39
England;England;England;England;England	   38
Great Britain;Oxford (England)	   38
Vermont	   38
England;Oxford.	   37
Massachusetts.;Massachusetts.;Massachusetts.	   37
Virginia;Virginia	   37
1796.	   36
Virginia.;Virginia	   36
Georgia.	   35
Great Britain.;England	   35
South Carolina.;South Carolina	   35
Athens (Greece)	   34
England.;England	   34
Great Britain;Spain;Spain;Great Britain	   34
Jamaica;Jamaica	   34
Rome (Italy)	   34
China	   33
Connecticut;Connecticut	   33
England;London.;England;London.	   33
England;York	   33
Great Britain;America	   33
Great Britain;Colchester (England)	   33
Great Britain;Great Britain;America	   33
Great Britain;Great Britain;France	   33
Great Britain;Great Britain;France;France.;Great Britain.	   33
Great Britain;Great Britain;Great Britain;Great Britain;Great Britain	   33
France;France;France;France	   32
Great Britain;Great Britain;Scotland	   32
Great Britain;Kent (England)	   32
Great Britain.;Great Britain.;Great Britain.;Great Britain	   32
Ireland;Dublin;Ireland;Dublin	   32
Earth	   31
England;Cambridge	   31
England;England.	   31
England;Nottingham (England)	   31
Ethiopia	   31
Great Britain;Ireland.	   31
Scotland;Glasgow	   31
England;England;London (England)	   30
England;England;London;England;England	   30
England.;England.;England.	   30
France;United States;United States;United States.;France.	   30
Gibraltar	   30
Palestine	   30
Scotland;Scotland;Scotland;Scotland	   30
Connecticut.;Connecticut	   29
England;London;England;Great Britain;Great Britain	   29
England.;England.;Great Britain	   29
Great Britain;Yorkshire (England)	   29
Massachusetts;Boston	   29
Peru	   29
Scotland;Scotland;Great Britain	   29
Spain;Spain	   29
Spain.	   29
England;London.;Great Britain.	   28
France;Great Britain;Great Britain;France	   28
Georgia.;Georgia.	   28
Maryland.	   28
New England.;New England	   28
Pennsylvania;Philadelphia	   28
Prussia (Germany)	   28
United States;United States.	   28
United States.;United States;United States	   28
Dunkerque (France)	   27
England;England;England;England;Great Britain	   27
England;Norwich	   27
France.;France	   27
Gaul	   27
New York (State);United States	   27
Wales;Wales	   27
York (England)	   27
France;France;Great Britain;Great Britain;Great Britain.;France.	   26
Great Britain;England;London	   26
Great Britain;Scotland;Scotland	   26
Great Britain;Spain	   26
Italy;Italy	   26
North Carolina	   26
Québec (Province)	   26
Rhode Island.;Rhode Island.	   26
Scotland;Great Britain;Great Britain	   26
Vermont.	   26
America;America	   25
Denmark	   25
England;London;England;England;Great Britain	   25
France;Great Britain;Great Britain.;France.	   25
Great Britain;Great Britain;Spain;Spain;Great Britain	   25
Ireland.;Ireland.;Ireland	   25
Maryland.;Maryland	   25
United States;Massachusetts;Massachusetts	   25
Barbados	   24
England;Bath	   24
England;England;England;Great Britain;Great Britain	   24
England;England;England;London	   24
England;France	   24
Great Britain;France;France.;Great Britain.	   24
Liverpool (England)	   24
New London (Conn.);New London (Conn.)	   24
New York (N.Y.);New York (N.Y.)	   24
Scotland;England	   24
England;York;England;York	   23
Massachusetts.;Massachusetts;Massachusetts	   23
United States;Virginia	   23
Westminster (London, England)	   23
Belgium	   22
Bristol (England);Great Britain	   22
England;Bath.	   22
Exeter (England)	   22
France;Great Britain;Great Britain	   22
France;Great Britain;Great Britain;Great Britain.;France.	   22
Gaul;Rome	   22
Great Britain;India	   22
Great Britain;Ireland;Ireland	   22
Great Britain;Spain;Spain.;Great Britain.	   22
Great Britain;United States;America	   22
Great Britain;York (England)	   22
Haiti	   22
Holy Roman Empire	   22
India.	   22
Ireland.;Great Britain	   22
Maryland;Maryland	   22
Morocco	   22
New Jersey;New Jersey	   22
Norwich (England)	   22
Scotland;Great Britain;Scotland	   22
Birmingham (England)	   21
Canada;United States	   21
Connecticut.;Connecticut.	   21
Connecticut.;Connecticut.;Connecticut	   21
Coventry Canal (England)	   21
England;Great Britain;London (England)	   21
England;London;Great Britain;London (England)	   21
England;London;Ireland	   21
England;Oxford;England;Oxford	   21
Europe;Europe;Europe	   21
France;Europe	   21
France;France;Great Britain;Great Britain.;France.	   21
Great Britain;Great Britain;England	   21
Great Britain;London (England);Great Britain	   21
Great Britain;Scotland;Great Britain	   21
Ireland;Ireland;Ireland;Great Britain	   21
Ireland;Londonderry (Northern Ireland)	   21
Ireland.;Great Britain.	   21
Ireland.;Ireland.;Ireland.	   21
Massachusetts;Boston.;Massachusetts;Boston.;Massachusetts;Boston.	   21
Massachusetts;Massachusetts;Massachusetts	   21
Massachusetts;Salem.	   21
Moon	   21
New York (State);New York (State);New York (State);New York (State)	   21
Newcastle upon Tyne (England)	   21
Rhode Island;Providence.	   21
Russia;Russia	   21
United States.;United States.;United States.;United States	   21
United States.;United States.;United States.;United States.	   21
Winchester (England)	   21
Aberdeen (Scotland)	   20
Asia	   20
Charleston (S.C.)	   20
England;Great Britain;Ireland	   20
England;Lincoln;England;Lincoln	   20
England;London;England;London;Great Britain	   20
Europe;France	   20
Great Britain;Great Britain;United States	   20
Great Britain;India;India;Great Britain	   20
Great Britain.;Great Britain;Great Britain;Great Britain;Great Britain	   20
Ireland.;Ireland.;Ireland;Ireland	   20
Jamaica.	   20
Massachusetts.;Massachusetts.;Massachusetts	   20
Massachusetts.;United States;Massachusetts	   20
New Jersey.;New Jersey.	   20
Oceania	   20
Rhode Island.;United States	   20
United States;France	   20
Canada;Canada	   19
Colchester (England);Great Britain	   19
Damascus (Syria)	   19
England;Birmingham	   19
England;Durham	   19
England;Great Britain;Great Britain;Great Britain;Great Britain	   19
England;Surrey	   19
England;Worcester	   19
Europe;Great Britain;Great Britain	   19
France;Great Britain;Great Britain;Great Britain;France	   19
France;Great Britain.	   19
France;Netherlands	   19
France.;France.	   19
Great Britain;East Indies	   19
Great Britain;Wales	   19
Great Britain.;England.	   19
Hull (England)	   19
Hull (England);Great Britain	   19
Louisiana	   19
Malta;Sicily (Italy)	   19
Maryland;Annapolis.	   19
Mexico	   19
Netherlands.	   19
Newfoundland	   19
Norfolk Island.	   19
Rhode Island;Newport.	   19
Scotland;Aberdeen	   19
Scotland;Edinburgh;Edinburgh (Scotland)	   19
Spain;Great Britain	   19
United States;Connecticut	   19
United States;United States.;United States	   19
East Indies	   18
England;England;Great Britain;England	   18
England;West Country	   18
Europe.	   18
Genesee Region (N.Y.)	   18
Great Britain;Great Britain;Netherlands;Netherlands;Great Britain	   18
Great Britain;Netherlands;Netherlands.;Great Britain.	   18
Great Britain;Nobility;Great Britain	   18
Great Britain.;United States	   18
Highlands (Scotland)	   18
Ireland.;Ireland;Ireland;Ireland	   18
Jerusalem;Palestine	   18
Maine	   18
Massachusetts.;United States	   18
New York (State);New York	   18
Pennsylvania.;Pennsylvania.;Pennsylvania.	   18
Rome;Greece	   18
Scotland.;Great Britain.	   18
Scotland.;Scotland;Scotland	   18
Scotland.;Scotland.;Scotland.	   18
United States;France;United States;France.;United States.	   18
United States;Great Britain;America	   18
United States;United States;United States;United States	   18
Bermuda Islands	   17
Chester (England)	   17
Delaware	   17
England;England;England;Great Britain;Great Britain;Great Britain	   17
England;Leicester;England;Leicester	   17
England;London;England;London (England)	   17
