Name	Count
Total count: 	3528
Numb. 1.	7
Began in 1790?	3
Number I.-	3
Began in 1727?	2
Began in 1739?	2
Began in 1756?	2
Began in 1772.	2
Began in 1792.	2
Began in 1796; ceased in 1797.	2
Began in March, 1800? ceased before May 8, 1801.	2
For the year 1783-	2
January, 1790.	2
Numb. 1.-Numb. 2.	2
Number I.	2
Number I.-number II.	2
Number I.-number VI.	2
Tuesday, January 25, 1785. No. 1.-Tuesday, February 8, 1785. No. 5.	2
Vol. 1, no. 14 (Aug. 13, 1782)-v. 3, no. 115 (July 20, 1784).	2
10, 11, and 12th. [sic] days of October, 1683.-;Ceased with: 2/3 July 1684.	1
1012 (Monday January 1, to Wednesday January 3. 1704/5.)-;Ceased in 1705?	1
[1]-12.	1
1 (16. of Iuly. 1642.)-1 [i.e. 2] (Iuly the 16. to this present. 1642).	1
1-30 [1799?]	1
[13 Octob. 1643]-Continued from the 19. to the 25. of Octob. 1643.	1
14th-18th Parl.; 1774-1803.	1
15th Feb. 1800. Being the first number of volume I.-30th August, 1800. Being the sixth number of volume I.	1
16 Aug. 1715.	1
[1703]	1
1707.;Ceased in 1712.	1
1711.	1
1720	1
[1720 (Sept. 1719-Mar. 1720)]	1
[1728]	1
1734-1739.	1
1739. (vol. I.)-1743.	1
[1750?]	1
[1752:Nov.30-1753:Nov.22]	1
1762-1764.	1
1769. Vol. I.-	1
1774 [sic]. Vol. I. [Aug. 1774-July 1775];Ceased in 1776.	1
1779.-;Ceased in 1780.	1
1780 [2d of 3d month, 1781]-1800 [26th of the fifth month].	1
1780-;Ceased in 1783?	1
1784-1785.	1
[1785 (Mar.-Sept)]-;Ceased in 1786?	1
1786. Vol. I.	1
1787-1788.	1
1787. Vol. 1. [Sept. 1786-Dec. 1787]-1790. vol. 4. [Jan.-Feb. 1790].	1
1789. Volume the first.-;Ceased with 1792, v. 4.	1
[1790]-	1
[1790 (pts. 1-8)-1791 (pts. 9-10)].	1
1790. Vol. V [sic] [Mar.-Dec. 1790]-1792. Vol. V. [July-Dec. 1792]	1
1793.	1
1794-1800.	1
1794. [25th January, 1794-Saturday, June 21, 1794.]	1
1795. [No. I. (le Samedi 6 Juin.)-no. VIII. (le samedi 25 Juillet.)]-;Ceased with: Vol. XXXV. (1802).	1
1795. to the end of the year 1796.-;Ceased with the year 1805.	1
1796. Vol. I.-;Ceased with: vol. 8 (1804).	1
1797.	1
1797-8.	1
1798.	1
[1798]-;Ceased in 1802.	1
1798. Num. 1. (Mitwochs, den 3ten Januar.)-1799. num. 104. (Mitwochs, den 25ften December.).	1
1799 [Jan.-Dec. + supp.].	1
1800-	1
[18 Aug. 1699].	1
1. Stück (18. Jan. 1762)-310. Stück (28. Dez. 1767).	1
1. Stück (Aug. 20, 1739)-62. Stück (Sept. 16, 1745).	1
20th, 21st, 22d, and 23d, of April, 1726.-Numb. I. Part II. (Wednesday the 8th, Thursday the 9th, and Friday the 10th of December. [1742]).	1
[2 Jan. 1694]-	1
2 pars. Num. 1 (From Tuesday, Aprill 17. to Tuesday, Aprill 24. 1649)-Part 2. Nu. 55 (From Tuesday May 21. to Tuesday May 28. 1650)	1
311. Stück (5. Jan. 1768)-695. Stück (16. Mai 1775).	1
[4 Aug. 1645]-[18 Aug. 1645]	1
