publication_interval	publication_time	publication_frequency	Count
Total count (na.rm TRUE): 	184181		
NA	1800?	NA	3154
NA	1790?	NA	2993
NA	1795?	NA	2368
NA	1780?	NA	1952
NA	1750?	NA	1792
NA	1775?	NA	1564
NA	1785?	NA	1521
NA	1760?	NA	1397
NA	1770?	NA	1174
NA	1710?	NA	 854
NA	1798?	NA	 777
NA	MDCCLXXIV. [1774	NA	 753
NA	MDCCLXXVII. [1777	NA	 744
NA	MDCCXCII. [1792	NA	 744
NA	MDCCLXXXVIII. [1788	NA	 743
NA	MDCCLXXVI. [1776	NA	 730
NA	MDCCLXVIII. [1768	NA	 727
NA	MDCCLXVII. [1767	NA	 706
NA	MDCCLXVI. [1766	NA	 705
NA	MDCCLXXIII. [1773	NA	 704
NA	MDCCXCI. [1791	NA	 697
NA	MDCCLXXXVII. [1787	NA	 697
NA	MDCCLXXV. [1775	NA	 687
NA	MDCCLXXXIX. [1789	NA	 677
NA	MDCCLXXXVI. [1786	NA	 675
NA	1720?	NA	 661
NA	1796?	NA	 661
NA	MDCCLXXVIII. [1778	NA	 659
NA	MDCCXCIII. [1793	NA	 658
NA	1700?	NA	 656
NA	MDCCLXX. [1770	NA	 655
NA	MDCCLXXII. [1772	NA	 649
NA	1765?	NA	 641
NA	MDCCLXIX. [1769	NA	 633
NA	MDCCLXXIX. [1779	NA	 631
NA	MDCCXC. [1790	NA	 621
NA	MDCCLXIV. [1764	NA	 614
NA	MDCCLXIII. [1763	NA	 614
NA	MDCCLXXXV. [1785	NA	 609
NA	MDCCXCIV. [1794	NA	 607
NA	MDCCLXXXIII. [1783	NA	 602
NA	MDCCLXXXIV. [1784	NA	 598
NA	MDCCLXI. [1761	NA	 595
NA	MDCCLVI. [1756	NA	 586
NA	MDCCLXV. [1765	NA	 585
NA	MDCCLXXI. [1771	NA	 582
NA	MDCCLXXXI. [1781	NA	 572
NA	MDCCLXXX. [1780	NA	 571
NA	MDCCLVII. [1757	NA	 564
NA	MDCCL. [1750	NA	 557
NA	MDCCLIX. [1759	NA	 557
NA	MDCCLV. [1755	NA	 555
NA	MDCCLX. [1760	NA	 550
NA	1701?	NA	 541
NA	MDCCXXXV. [1735	NA	 529
NA	MDCCLVIII. [1758	NA	 527
NA	1799?	NA	 525
NA	MDCCLIII. [1753	NA	 517
NA	1797?	NA	 514
NA	MDCCLXXXII. [1782	NA	 514
NA	1730?	NA	 512
NA	MDCCLXII. [1762	NA	 506
NA	MDCCXLIX. [1749	NA	 505
NA	1793?	NA	 505
NA	M.DCC.XCI. [1791	NA	 487
NA	1794?	NA	 481
NA	1690?	NA	 480
NA	1740?	NA	 479
NA	1792?	NA	 479
NA	MDCCXCV. [1795	NA	 478
NA	M.DCC.LXXXVIII. [1788	NA	 477
NA	MDCCLII. [1752	NA	 475
NA	MDCCLI. [1751	NA	 473
NA	M.DCC.LXXXVII. [1787	NA	 470
NA	M.DCC.XC. [1790	NA	 464
NA	MDCCXLV. [1745	NA	 461
NA	MDCCXXXIX. [1739	NA	 456
NA	MDCCXLVI. [1746	NA	 451
NA	M,DCC,XCII. [1792	NA	 445
NA	M.DCC.LXXXIX. [1789	NA	 441
NA	MDCCLIV. [1754	NA	 441
NA	1695?	NA	 433
NA	1715?	NA	 432
NA	MDCCXXXII. [1732	NA	 431
NA	M,DCC,LXXXVIII. [1788	NA	 429
NA	M.DCC.XCII. [1792	NA	 429
NA	MDCCXLVIII. [1748	NA	 418
NA	1705?	NA	 416
NA	M,DCC,XC. [1790	NA	 407
NA	M,DCC,XCIII. [1793	NA	 403
NA	MDCCXLII. [1742	NA	 402
NA	1788?	NA	 400
NA	M,DCC,LXXXIX. [1789	NA	 397
NA	MDCCXL. [1740	NA	 396
NA	M,DCC,XCI. [1791	NA	 394
NA	MDCCXLVII. [1747	NA	 393
NA	MDCCXLI. [1741	NA	 393
NA	1725?	NA	 386
NA	MDCCXCVI. [1796	NA	 381
NA	M,DCC,LXXXVII. [1787	NA	 380
NA	M.DCC.LXXXVI. [1786	NA	 374
NA	MDCCXXXVI. [1736	NA	 373
NA	MDCCXXXIV. [1734	NA	 365
NA	M,DCC,XCIV. [1794	NA	 364
NA	1786?	NA	 364
NA	1782?	NA	 359
NA	MDCCXXX. [1730	NA	 358
NA	M.DCC.XCIII. [1793	NA	 354
NA	MDCCXXXVII. [1737	NA	 353
NA	1791?	NA	 352
NA	MDCCXLIV. [1744	NA	 352
NA	1680?	NA	 350
NA	MDCCXLIII. [1743	NA	 350
NA	1784?	NA	 348
NA	1755?	NA	 342
NA	M,DCC,LXXXIV. [1784	NA	 341
NA	M.DCC.LXXVI. [1776	NA	 340
NA	M,DCC,LXXXV. [1785	NA	 338
NA	M.DCC.LXXXIV. [1784	NA	 335
