publication_place	country	Count
Total count: 	481205	
1547. Imprinted at London	NA	     1
1548. Imprinted at London	NA	     1
[1552 Imprimé a Londres	NA	     1
1553. Imprinted at London	NA	     1
1565. Imprynted at London	NA	     1
1569. Imprinted at London	NA	     1
1569. Imprynted at London	NA	     1
1574 Imprinted at London	NA	     1
1575. at London	NA	     1
1575. Imprinted at London	NA	     2
1594. Printed at London	NA	     1
[1598. At London	NA	     1
[1599. At London	NA	     1
[1603. At London	NA	     2
1604. In London	NA	     1
1642. London	NA	     1
A Albany	NA	     1
A Amsterdam	NA	     9
[A Amsterdam [and sold in London by Franco̧is Vaillant?], de l'imprimerie de Daniel Boulesteys de la Contie, dans l'Eland-straat	NA	     1
A Amsterdam et a Leipzig	NA	     2
A Anuers	NA	     1
A Anvers	NA	     2
A argraffwyd yn Llundain	NA	     1
A Avignon	NA	     1
A Baltimore	NA	     2
Abartawe	England	     1
A Basle	NA	     1
A Basle [i.e. London?	NA	     1
A Bath	NA	     1
Abedreen [sic]	NA	     1
A Belfast	NA	     1
Aberdeen	Scotland	   512
[Aberdeen	NA	   174
[[Aberdeen	NA	     1
[A]berdeen	NA	     1
[Ab]erdeen	NA	     1
[Aberdeen?	NA	    66
[Aberdeen?]	NA	    16
[Aberdeen]	NA	    74
[Aberdeen];Aberdeen.	NA	     1
Aberdeene	NA	     1
[Aberdeen [Scotland]	NA	     2
[Aberdeen, Scotland]	NA	     3
Aberdeen [Scotland]	NA	     7
Aberdeis	NA	     1
Aberdene	NA	    74
[Aberdene	NA	     5
[Aberdene]	NA	     1
Aberdoniae	NA	    10
Aberdoniæ	NA	    37
[Aberdoniæ	NA	     1
[Aberdoniæ]	NA	     1
Aberdonié	NA	     1
Aberdoniê	NA	     1
Aberdoniis	NA	    18
Aberhonddu	England	    28
[Aberhonddu	NA	     1
[Aberhonddu?	NA	     1
A Berlin	NA	     1
[Aberystwyth	NA	     1
Abingdon	England	     5
[Abingdon?	NA	     8
[Abingdon?]	NA	     1
A Birmingham	NA	     2
à Birmingham	NA	     1
A Boston	NA	     3
A. Boston	NA	     1
Ä Boston	NA	     1
A Boston [i.e. Paris]	NA	     1
A Boston, [i.e. Paris?]	NA	     1
A Boston [Mass.]	NA	     1
A bPairis	NA	     1
Abredaeis	NA	     2
Abredæis	NA	     1
Abredeis	NA	    30
[Abredeis	NA	     1
Abredeis [Aberdeen]	NA	     1
Abredoniae	NA	    13
Abredoniæ	NA	    24
[Ab]redoniæ	NA	     1
Abredoniae [sic]	NA	     2
Abredoniæ [sic]	NA	     1
Abredoniis	NA	     4
A Breintiuyd yn ninas Paris	NA	     1
A breintivvyd yn ninas Paris	NA	     1
A brintiwyd yn llundain	NA	     1
A brintiwyd yn Llundain	NA	     3
A Brintiwyd yn Llundain ir Awdwr	NA	     1
A Bruxelle	NA	     2
A Bruxelles	NA	     2
[Absolutu[m] in alma Parhisioru[m] academia	NA	     1
[Absolutum in alma Parhisio[rum] [Paris] academia	NA	     1
A Buckingham [i.e. Paris?	NA	     1
A Cambridge	NA	     1
A Cantorbery	NA	     1
A Cantorbery [i.e. Amsterdam?]	NA	     1
A Charleston [S.C.]	NA	     2
A Charles-Town [i.e. Paris?]	NA	     1
A Chelsea	NA	     3
[Ac in alma Parhisiorum Academia	NA	     1
A Cologn	NA	     1
A Cologne [i.e. London]	NA	     2
A Cork	NA	     1
À Cork	NA	     1
Ad exemplar Abredoniæ	NA	     1
A Dordrecht	NA	     1
[A Douay	NA	     1
A Dublin	NA	    30
à Dublin	NA	     1
À Dublin	NA	     1
A Edimbourg	NA	    15
à Edimbourg	NA	     1
A Edimbourg [i.e. France?]	NA	     1
A Edimbourg [i.e. Lyons?]	NA	     1
A Edimbourg [i.e. Paris?]	NA	     2
A Edimbourg [i.e. Paris]	NA	     5
A Edinbourg	NA	    14
Aeerdeen [sic]	NA	     1
A Eleutheres [i.e., printed abroad]	NA	     1
Aeræ	NA	     1
Aeris	NA	     1
A Francefort, [Et à Londres]	NA	     1
A Francfort	NA	     1
A Frankfort	NA	     1
Ag a briniwyd yn Llundain	NA	     1
A Geneue	NA	     1
A Geneva [i.e. London?]	NA	     1
A Géneve	NA	     1
A Geneve [i.e. London?]	NA	     1
A Glascow [i.e. Paris?]	NA	     1
A Glasgow	NA	     5
Agra [i.e. Paris?]	NA	     1
Agraphwyd yn y Mwythig	NA	     1
A Guernesey	NA	     5
Ai Argrapha yn Philadelphia	NA	     1
A'i brintio yn Llundain	NA	     1
Ai brintio yn Llundain	NA	     1
Ai brintio yn Lundain	NA	     1
Ai printfodd yn Rhydychen [i.e. Oxford]	NA	     1
A'i printio yn Llundain	NA	     3
A'i printio, yn Llundain	NA	     1
A'i printio yn L'lvndain	NA	     1
A'i printio yn Lundain	NA	     1
Air	NA	    49
[Air	NA	     1
Air [Scotland]	NA	     1
Aix	NA	     2
[Aix-la-Chapelle	NA	     1
A Jersey	NA	     3
[A la Basse-Terre	NA	     1
A la Haye	NA	     2
A La Haye	NA	     8
A La Haye [i.e. London]	NA	     1
A La Haye [The Hague]	NA	     1
A la Nlle. Orleans	NA	     1
A la Nlle. Orléans.	NA	     1
A la Nouvelle Orléans	NA	     1
A La Nouvelle Orléans	NA	     1
[A la Point-à-Pitre	NA	     1
A La Rochelle	NA	     1
A la Savoye [i.e. London]	NA	     1
A La Trinité Martinique	NA	     1
Albany	NA	   158
[Albany	NA	    47
[Albany?	NA	    19
[Albany]	NA	    64
[Albany] America	NA	     1
[Albany, New York	NA	     1
[Albany, New York?	NA	     1
[Albany, N.Y.	NA	     6
[Albany, N.Y.?	NA	     1
[Albany, N.Y.]	NA	     4
Albany [N.Y.]	NA	    25
Albany - State of New-York	NA	     1
Albany--State of New-York	NA	     3
['Albigion']	NA	     1
Albigion [i.e. London]	NA	     3
Albion [i.e. London?]	NA	     1
Albionopoli [i.e. Frankfurt?]	NA	     1
Albionopoli [i.e. London]	NA	     4
Alcester	England	     1
[Aldermanbury	NA	     1
[Aldershot]	NA	     2
Aldershot in Hampshire near Farnham in Surrey	NA	     1
[Aldershot in Hampshire near Farnham in Surry	NA	     1
Aldershot in Hampshire near Farnham in Surry	NA	    62
Aldershot in Hampshire near Farnham in Surry.	NA	     1
Aldershot in Hampshire, near Farnham in Surry	NA	     1
Aldershot in Hampshire, near Farnham in Surry.	NA	     1
à Leeds	NA	     1
A Leicester	NA	     1
A Leide	NA	     1
Alexandria	NA	     2
[Alexandria	NA	     1
Alexandria [i.e. London]	NA	     2
(Alexandria [Va.]	NA	     1
[Alexandria Va.	NA	     1
[Alexandria, Va.	NA	    10
[Alexandria, Va.?	NA	     5
Alexandria [Va.]	NA	    17
Alexandria, Va	NA	     1
Alexandria, Va.	NA	     1
Alexandria, Virginia	NA	     1
Alfreton	England	     1
[Alfreton]	NA	     1
A Lichfield	NA	     1
Alnwick	England	    38
[Alnwick	NA	     9
[Alnwick?	NA	     9
[Alnwick]	NA	     4
Alnwick [England]	NA	     1
A Lobháin	NA	     1
A Londees [sic]	NA	     1
A Londe [sic, i.e. the Netherlands?]	NA	     1
A London	NA	     2
A Londra	NA	     3
A Londre	NA	    15
A Londre [i.e. Paris]	NA	     1
A Londre [i.e. the Netherlands?]	NA	     1
a Londres	NA	     4
A londres	NA	     1
[A Londres	NA	     3
A Londres	NA	  1097
A Londres [?]	NA	     1
A Londres.	NA	     2
A. Londres	NA	     2
A' Londres	NA	     1
Á Londres	NA	     2
[à Londres]	NA	     1
à Londres	NA	     8
À Londres	NA	    51
A Londres ; A Dublin	NA	     1
A Londres [Amsterdam?]	NA	     1
A Londres & à Paris	NA	     1
A Londres :;Et a Cambridge	NA	     1
A Londres; et se trouve à Bruxelles	NA	     1
A Londres, et se trouve a Paris	NA	     5
A Londres, et se trouve à Paris	NA	     5
A Londres; et se trouvent à Paris	NA	     1
A Londres, et se vend à Paris	NA	     1
A Londres [Frankfurt?]	NA	     1
A Londres [Geneva?]	NA	     1
a Londres [i.e. Amsterdam?]	NA	     1
A Londres [i.e. Amsterdam?]	NA	    31
A Londres [i.e. Amsterdam]	NA	     6
à Londres [i.e. Amsterdam	NA	     1
à Londres [i.e. Amsterdam?]	NA	     1
à Londres [i.e. Amsterdam]	NA	     1
A Londres [i.e. Antwerp?]	NA	     1
A Londres [i.e. Basle?]	NA	     2
A Londres [i.e Berlin]	NA	     1
A Londres [i.e. Berlin?]	NA	     1
A Londres [i.e. Berlin]	NA	     2
A Londres [i.e. Bouillon]	NA	     2
A Londres [i.e. Brussels?]	NA	     3
A Londres [i.e. Brussels]	NA	     1
A Londres [ie Brussels?]	NA	     1
À Londres [i.e. Brussels?	NA	     1
A Londres [i.e. Dresden]	NA	     1
À Londres [ie.e Paris	NA	     1
A Londres [i.e. Florence?]	NA	     1
A Londres [i.e. France?]	NA	     9
A Londres [i.e. France]	NA	     2
A Londres [i.e. Geneva?]	NA	     4
A Londres [i.e. Geneva]	NA	     3
A Londres [i.e. Hamburg?]	NA	     2
A Londres[i.e. Hamburg	NA	     1
A Londres [i.e. Holland]	NA	     1
à Londres [i.e. Lausanne?]	NA	     1
A Londres [i.e. Leipzig?]	NA	     1
A Londres [i.e. Liege?]	NA	     2
A Londres [i.e. Liège or Paris?]	NA	     1
A Londres [i.e. Liepzig?]	NA	     1
A Londres [i.e. Lyon]	NA	     1
A Londres [i.e. Lyons?]	NA	     1
A Londres [i.e. Maastricht?]	NA	     1
A Londres [i.e. Marseille?]	NA	     1
A Londres [i.e. Montreal]	NA	     1
A Londres [i.e. Nancy]	NA	     1
A Londres [i.e. Netherlands?	NA	     1
A Londres [i.e. Netherlands?]	NA	     3
A Londres [i.e. Netherlands]	NA	     2
A Londres [i.e. Neuchâtel?]	NA	     1
A Londres [i.e. Neuchâtel]	NA	     3
A Londres [i.e. Nîmes]	NA	     1
A Londres [i.e. Orleans?]	NA	     2
[A Londres [i.e. Paris]	NA	     1
A Londres [i.e. Paris	NA	    17
A Londres [i.e. Paris?	NA	     5
A Londres [i.e. Paris??]	NA	     1
A Londres [i.e. Paris?]	NA	   201
