name;synonyme
Aberdeen;aberdeen
Görliz;aberdeen
Belfast;aberdeen
Aberdeen;aberden
Edinburgh;aberden
Oxford;academia oxonie
London;academia oxonie
Aberdeen;aeerdene
London;aeerdene
Antwerp;agayne antwerpe
Reading;agayne antwerpe
Ayr;aire
Colchester;aire
Albany NY;albany
Washington DC;albany
Providence RI;albany
Albany NY;albany america
London;albany america
Albany NY;albany york
La Trinite;albany york
NA;albigion
Albany NY;albigion
Alnwick;alnwick
Litchfield Ct;alnwick
Alston;alston
Paris;alston
Altenburg;altenburg
Gotha;altenburg
Bern;altenburg
Göttingen;altona
Hamburg;altona
America;america
NA;america
Exeter NH;america exeter
Philadelphia Pa;america exeter
Philadelphia Pa;america philadelphia
New York NY;america philadelphia
Providence RI;america providence r island
Exeter NH;america providence r island
Salem Ma;america salem mass
Providence RI;america salem mass
Worcester Ma;america worcester massachusetts
Vienna;america worcester massachusetts
Vevey;america worcester massachusetts
Amsterdam;amsteldam
The Hague;amsteldam
Trefeca;amsteldam
Amsterdam;amstelrodam
London;amstelrodam
Amsterdam;amsterdam
Oxford;amsterdam
Basel;amsterdam
Octorara Pa;amsterdam
Pittsfield ma;amsterdam
Litchfield Ct;amsterdam
London;amsterdam
Edinburgh;amsterdam
Reims;amsterdam
Gilmanton NH;amsterdam
Aylesbury;amsterdam
Cambridge;amsterdam
Rouen;amsterdam
Leipzig;amsterdam
Paris;amsterdam
Manchester;amsterdam
Padua;amsterdam
York;amsterdam
Hagerstown Md;amsterdam
Amsterdam;amsterdam edinburgh
Edinburgh;amsterdam edinburgh
Amsterdam;amsterdam id
St Omer;amsterdam id
Amsterdam;amsterdam john johnson bookseller dwelling upon water passe card
Dublin;amsterdam john johnson bookseller dwelling upon water passe card
Amsterdam;amsterdam london
Oxford;amsterdam london
Amsterdam;amsterledam
Istanbul;amsterledam
Amwythig;amwythig
Amsterdam;amwythig
Antwerp;andewarpe
London;andewarpe
Andover Ma;andover
London;andover
Andover Ma;andover mass
London;andover mass
St Andrews;andreapoli
Andover Ma;andreapoli
Annapolis Md;annapolis
New York NY;annapolis
Annapolis Md;annapolis md
London;annapolis md
Amsterdam;anno dni amsterdam
London;anno dni amsterdam
Worcester;anno m d xlix worceter
Port-au-Prince;anno m d xlix worceter
Paris;anno parisio rum
Worcester;anno parisio rum
Port-au-Prince;an port au prince
Frankfurt;an port au prince
St Johns Antiqua;antigua
Salisbury;antigua
Strabane;antigua
Antwerp;antuarpe
London;antuarpe
Antwerp;antverpiae
London;antverpiae
Antwerp;antvverp
Mechelen;antvverp
Antwerp;antvverpe
Bordeaux;antvverpe
Antwerp;antvvorpe
Bruges;antvvorpe
Antwerp;antwerp
London;antwerp
Douai;antwerp
Paris;antwerp
Madrid;antwerp
Oxford;antwerp
Middelburg;antwerp
Athlone;antwerp
Mechelen;antwerp
Waterford;antwerp
Uniontown pa;antwerp
Valletta;antwerp
NA;antwerp
Augsburg;antwerp
Edinburgh;antwerp
Amsterdam;antwerp
Frankfurt;antwerp
Cologne;antwerp
Bonn;antwerp
Randolph vt;antwerp
Antwerp;antwerpie
London;antwerpie
Antwerp;antwerpie p er me gerardum leeu
Oxford;antwerpie p er me gerardum leeu
Antwerp;antwerp london
Oxford;antwerp london
Antwerp;antworp
Delft;antworp
Antwerp;antworpe
London;antworpe
