original	polished	Count
[London	London	55451
[London]	London	21146
[London?	London	15322
[Edinburgh	Edinburgh	11017
Londini	London	6504
Philadelphia	Philadelphia PA	5656
Imprinted at London	London	5208
[Edinburgh?	Edinburgh	3565
[Philadelphia	Philadelphia PA	2694
Edinburgi	Edinburgh	2651
At London	London	2211
Printed at London	London	2176
[London?]	London	2085
[Dublin	Dublin	2045
Londres	London	2018
[Boston	Boston	1972
New-York	New York NY	1868
[Dublin]	Dublin	1785
[New York	New York NY	1455
[Imprinted at London	London	1442
A Londres	London	1105
Londres [i.e. Paris?]	Paris	1058
[Boston]	Boston	1016
[Philadelphia]	Philadelphia PA	1001
London [England]	London	940
[Edinburgh]	Edinburgh	908
[[London]	London	906
[Oxford	Oxford	870
[Dublin?	Dublin	830
[Cambridge	Cambridge	753
Oxoniæ	Oxford	742
[New York]	New York NY	738
Oxonii	Oxford	694
Hartford	Hartford CT	679
[Edinburgh?]	Edinburgh	621
Cantabrigiæ	Cambridge	604
[Newcastle upon Tyne?	Newcastle	530
Newcastle upon Tyne	Newcastle	521
New-London [Conn.]	New London CT	513
[Cambridge]	Cambridge	494
[Oxford]	Oxford	488
[Imprynted at London	London	465
New-Haven	New Haven MA	437
[Oxford?	Oxford	395
Providence	Providence RI	386
[Philadelphia?	Philadelphia PA	372
Baltimore	Baltimore Md	372
[Newcastle upon Tyne	Newcastle	367
[Londini	London	342
Glasguae	Glasgow	339
[Boston?	Boston	337
Wilmington [Del.]	Wilmington De	286
Printed at Boston	Boston	269
Londra	London	266
Boston: N.E.	Boston	264
[United States	United States	263
Exon	Exeter	261
[Glasgow]	Glasgow	258
[Glasgow?	Glasgow	257
Norwich [Conn.]	Norwich CT	249
Dublinii	Dublin	244
Londres [i.e. Paris]	Paris	243
[Dublin?]	Dublin	241
Annapolis	Annapolis Md	234
[Newport, R.I.	Newport RI	234
Boston in New-England	Boston MA	229
[Glasgow	Glasgow	228
[Quebec	Quebec	223
Dublin [Ireland]	Dublin	221
[Annapolis	Annapolis Md	218
Charleston [S.C.]	Charleston SC	218
[Manchester	Manchester	215
Newport [R.I.]	Newport RI	215
Boston, N.E.	Boston	215
At Oxford	Oxford	212
[Halifax	Halifax	210
[York	York	208
A Londres [i.e. Paris?]	Paris	201
[Tunbridge Wells]	Tunbridge Wells	201
Printed at Oxford	Oxford	201
[Charleston, S.C.	Charleston SC	201
Williamsburg [Va.]	Williamsburg VA	198
[Glasgow?]	Glasgow	196
[Providence	Providence RI	188
Boston, New-England	Boston MA	186
[York?	York	184
[Cambridge?	Cambridge	180
[Salisbury	Salisbury	175
[Bath]	Bath	174
[Aberdeen	Aberdeen	174
Printed at Worcester, Massachusetts	Worcester MA	171
[Providence]	Providence RI	170
[London, England]	London	169
[Williamsburg, Va.	Williamsburg VA	169
[London, England	London	168
Caerfyrddin	Carmarthen	165
[Saint-Omer	St Omer	165
[Coventry?	Coventry	160
Albany	Albany NY	159
[Worcester]	Worcester	156
Londres [i.e. Amsterdam?]	Amsterdam	156
[Manchester]	Manchester	155
[Amsterdam	Amsterdam	154
Lancaster [Pa.]	Lancaster PA	153
[Newcastle upon Tyne]	Newcastle	151
New York	New York NY	150
London printed	London	147
Germantown [Pa.]	Germantown PA	147
Etonæ	Eton	146
Salem [Mass.]	Salem MA	146
N. London [i.e., New London, Conn.]	New London CT	146
[Canterbury?	Canterbury	144
[Salisbury]	Salisbury	141
Glocester	Gloucester	139
Cambridge [Mass.]	Cambridge MA	138
Excusum Londini	London	135
[Bristol	Bristol	135
[New York?	New York NY	134
[Hartford	Hartford CT	130
[Norwich	Norwich	128
[Tunbridge Wells	Tunbridge Wells	127
[Maidstone	Maidstone	126
Boston in N.E.	Boston	125
[Westminster	London	125
[Richmond	Richmond	124
Portsmouth [N.H.]	Portsmouth NH	123
[Bristol?	Bristol	122
Newburyport [Mass.]	Newburyport MA	122
[Birmingham	Birmingham	120
[Downpatrick?	Downpatrick	119
[Bristol]	Bristol	117
[Shrewsbury]	Shrewsbury	117
[Manchester?	Manchester	116
[Shrewsbury?	Shrewsbury	113
[New Haven	New Haven MA	112
[Cambridge, Mass.	Cambridge MA	112
[New London, Conn.	New London CT	111
[Antwerp	Antwerp	110
Corke	Cork	108
[Rochester	Rochester	101
[Watertown, Mass.	Watertown MA	99
Philadelphia.	Philadelphia PA	98
[Amsterdam]	Amsterdam	96
Tunbridge-Wells	Tunbridge Wells	96
[Warwick	Warwick	96
Imprynted at London	London	96
[Norwich?	Norwich	95
[Enprynted at London	London	94
Printed at Edinburgh	Edinburgh	94
[Northampton	Northampton	94
[New Haven]	New Haven MA	93
[New London, Conn.]	New London CT	91
Edinburg	Edinburgh	90
Boston; New-England	Boston MA	90
Bury St. Edmund's	Bury St Edmunds	88
[Portsmouth, N.H.	Portsmouth NH	86
[Baltimore	Baltimore Md	85
Burlington [N.J.]	Burlington NJ	85
Cantabrigiae	Cambridge	84
[Birmingham]	Birmingham	83
[Printed at London	London	83
[Nottingham]	Nottingham	82
[Newburyport, Mass.]	Newburyport MA	82
Edinburgh [Scotland]	Edinburgh	82
Philadelphia [Pa.]	Philadelphia PA	82
[Savannah	Savannah Ga	82
[Amsterdam?	Amsterdam	80
Basil	Basel	80
Exeter [N.H.]	Exeter NH	80
n.p.	n p	80
[York]	York	79
[Cork?	Cork	79
[Norwich]	Norwich	78
Glasguæ	Glasgow	78
[Cork]	Cork	77
[Excusum Londini	London	77
London [i.e. The Hague]	The Hague	76
Germantaun [Pa.]	germantaun pa	75
Imprinted at Dublin	Dublin	75
Aberdene	Aberdeen	75
London [i.e. York?]	York	74
[Aberdeen]	Aberdeen	74
[Newcastle upon Tyne?]	Newcastle	73
[Coventry	Coventry	72
Llundain	London	72
[Newcastle]	Newcastle	72
[Birmingham?	Birmingham	71
[Exeter?	Exeter	71
[Middelburg	Middelburg	71
Printed at Paris	Paris	71
[Paris	Paris	70
Oxon	Oxford	69
Boston.	Boston	68
[Liverpool	Liverpool	67
[Ipswich?	Ipswich	67
[Aberdeen?	Aberdeen	66
Aldershot in Hampshire near Farnham in Surry	Aldershot	66
[Salem, Mass.	Salem MA	66
[Newport, R.I.]	Newport RI	66
Oxford [i.e. London]	London	66
Germanton [Pa.]	Germantown PA	65
Cambridge [Cambridgeshire]	Cambridge	65
Westminster	London	64
[Albany]	Albany NY	64
[Nottingham	Nottingham	63
[Hull	Hull	63
[Portsmouth, N.H.]	Portsmouth NH	63
Boston, in N.E.	Boston	63
[Salem, Mass.]	Salem MA	63
[[Dublin]	Dublin	63
A Londres [i.e. Paris]	Paris	62
[Providence?	Providence RI	62
Newport, Rhode-Island	Newport RI	62
London [i.e. Edinburgh]	Edinburgh	62
