original	polished	Count
Total count: 	n=22966 (50% non-NA values)	Total count: 
[London	London	5250
[London]	London	2851
[London?	London	1142
Imprinted at London	London	1007
Philadelphia	Philadelphia PA	570
Printed at London	London	529
[Philadelphia	Philadelphia PA	472
London [England]	London	455
[Edinburgh	Edinburgh	390
Londini	London	384
[Dublin	Dublin	348
[Boston	Boston	347
[New York	New York NY	295
[Edinburgh?	Edinburgh	208
[Oxford	Oxford	202
New-York	New York NY	192
[Edinburgh]	Edinburgh	176
Londres	London	175
[[London]	London	169
At London	London	164
Dublin [Ireland]	Dublin	163
A Londres	London	154
[London?]	London	151
[New York]	New York NY	146
[Boston]	Boston	143
[Philadelphia]	Philadelphia PA	138
[Dublin]	Dublin	131
[Oxford]	Oxford	130
Printed at Oxford	Oxford	121
Londres [i.e. Paris?]	Paris	117
[Imprinted at London	London	105
[London, England]	London	104
[London, England	London	102
Oxonii	Oxford	80
Hartford	Hartford CT	77
Edinburgi	Edinburgh	71
[Boston?	Boston	66
[Watertown, Mass.	Watertown MA	64
[Edinburgh?]	Edinburgh	62
[Providence	Providence RI	62
[United States	United States	59
[Dublin?	Dublin	58
Providence	Providence RI	57
Edinburgh [Scotland]	Edinburgh	51
Oxoniæ	Oxford	49
Printed at Edinburgh	Edinburgh	48
Baltimore	Baltimore Md	48
[Philadelphia?	Philadelphia PA	47
New-Haven	New Haven MA	38
Oxford [i.e. London]	London	38
Excusum Londini	London	36
Printed at York	York	36
Cantabrigiæ	Cambridge	35
Lancaster [Pa.]	Lancaster PA	34
Norwich [Conn.]	Norwich CT	33
New-London [Conn.]	New London CT	33
[Annapolis	Annapolis Md	32
[Norwich?	Norwich	31
[Oxford?	Oxford	30
[New York?	New York NY	28
Londres [i.e. Paris]	Paris	28
Salem [Mass.]	Salem MA	27
Glasguae	Glasgow	27
Newcastle upon Tyne	Newcastle	26
Basil	Basel	26
London printed	London	26
[Londini	London	26
Williamsburg [Va.]	Williamsburg VA	25
Printed at Boston	Boston	25
[Charleston, S.C.	Charleston SC	25
[Hartford	Hartford CT	25
[Providence]	Providence RI	25
[Newport, R.I.	Newport RI	24
[Cambridge]	Cambridge	23
Boston, New-England	Boston MA	23
Boston: N.E.	Boston	23
[Imprynted at London	London	23
Printed at Leith	Edinburgh	23
[Williamsburg, Va.	Williamsburg VA	21
Imprinted at Dublin	Dublin	21
A Londres [i.e. Paris?]	Paris	20
[Hartford?	Hartford CT	20
Boston in New-England	Boston MA	19
[Newport, R.I.]	Newport RI	19
Imprinted at York	York	19
Philadelphia [Pa.]	Philadelphia PA	18
Cambridge [Mass.]	Cambridge MA	18
Newport [R.I.]	Newport RI	18
[Amsterdam	Amsterdam	18
[Aberdeen	Aberdeen	17
Aberdene	Aberdeen	17
[Edinburgh, Scotland	Edinburgh	17
[Connecticut	Litchfield CT	16
Albany	Albany NY	16
[Exeter, N.H.	Exeter NH	16
Londres [i.e. Amsterdam?]	Amsterdam	16
[Excusum Londini	London	16
Printed at Oxford [i.e. London]	London	16
[Coventry?	Coventry	16
Bristoll	Bristol	15
[York]	York	15
[Fishkill, N.Y.	Fishkill NY	15
Printed at Kilkenny	Kilkenny	15
Manchester [England]	Manchester	15
[Cambridge	Cambridge	14
[Exeter, England]	Exeter	14
[Watertown, Mass.?	Watertown MA	14
Dublinii	Dublin	14
[[London	London	14
Nottingham [England]	Nottingham	14
[New Orleans	New Orleans La	13
[Salem, Mass.]	Salem MA	13
[New London, Conn.]	New London CT	13
Exon	Exeter	13
[Dublin?]	Dublin	13
At Oxford	Oxford	13
[Amsterdam?	Amsterdam	13
Printed at Dublin	Dublin	13
[Amsterdam]	Amsterdam	13
Reprinted at Dublin	Dublin	13
Cork [Ireland]	Cork	13
[London [England]	London	13
[Bath]	Bath	12
[Middelburg	Middelburg	12
Edinbvrgh	Edinburgh	12
[Printed at London	London	12
[Oxford, i.e. London]	London	12
Re-printed at Edinburgh	Edinburgh	12
[Dublin, Ireland]	Dublin	12
[Glasgow]	Glasgow	11
[Cambridge, Mass.	Cambridge MA	11
Boston, N.E.	Boston	11
[Charleston, S.C.]	Charleston SC	11
[United States?	United States	11
[Salem, Mass.	Salem MA	11
[Norwich, Conn.]	Norwich CT	11
Annapolis	Annapolis Md	11
Charleston [S.C.]	Charleston SC	11
A Philadelphie	Philadelphia PA	11
[Lancaster, Pa.	Lancaster PA	11
[Hartford]	Hartford CT	11
Londra	London	11
[Cork]	Cork	11
Calcutta [India]	Calcutta	11
[Whitehaven?	Whitehaven	10
[Bristol	Bristol	10
[York	York	10
[York?	York	10
[Richmond	Richmond	10
[Antwerp	Antwerp	10
Newcastle upon Tyne [England]	Newcastle	10
[Bath, England]	Bath	10
[Leith]	Edinburgh	9
[Glasgow?	Glasgow	9
[[New York]	New York NY	9
[Portsmouth, N.H.	Portsmouth NH	9
Boston.	Boston	9
[Trenton	Trenton	9
Wilmington [Del.]	Wilmington De	9
Lynn	Kings Lynn	9
Westminster	London	9
[[Edinburgh]	Edinburgh	9
[New Haven	New Haven MA	8
New York	New York NY	8
[Glasgow	Glasgow	8
[Bristol]	Bristol	8
[Baltimore	Baltimore Md	8
Newport, Rhode-Island	Newport RI	8
A Londres [i.e. Paris]	Paris	8
Corke	Cork	8
Oxon	Oxford	8
Imprynted at London	London	8
Imprentit at Edinburgh	Edinburgh	8
[Cambridge, England	Cambridge	8
[Scotland	Edinburgh	8
Coventry [England]	Coventry	8
York [England]	York	8
[Edinburgh, Scotland]	Edinburgh	8
Shrewsbury [England]	Shrewsbury	8
[Rochester	Rochester	7
À Londres	London	7
[Bristol?	Bristol	7
[Cambridge?	Cambridge	7
[Boston, Mass.]	Boston MA	7
[Boston, Mass.	Boston MA	7
Philadelphia.	Philadelphia PA	7
[New York?]	New York NY	7
[Savannah	Savannah Ga	7
[Burlington, N.J.	Burlington NJ	7
Newbury-Port [Mass.]	Newburyport MA	7
Boston; New-England	Boston MA	7
N. London [i.e., New London, Conn.]	New London CT	7
Printed at Worcester, Massachusetts	Worcester MA	7
[New London, Conn.?	New London CT	7
[Portsmouth, N.H.?	Portsmouth NH	7
[Salisbury]	Salisbury	7
Hague	The Hague	7
Impressum Londini	London	7
Imprinted at Amsterdam	Amsterdam	7
At Amsterdam	Amsterdam	7
[[Dublin]	Dublin	7
[Sheffield, England]	Sheffield	7
Salisbury [England]	Salisbury	7
Reading [England]	Reading	7
[Bristol, England]	Bristol	7
