Name	Count
Total count: 	n= 11159  ( 100 % non-NA values)
Boston	9485
Boston new england	 654
Wilmington del	 371
Boston mass	 140
Douai	  94
Doway	  85
Massachusetts	  73
Boston massachusetts	  50
Douay	  43
Boston america	  17
Jersey	  14
Boston lincs	  14
Bostoniae	  12
Massachusetts boston	   9
Concord	   9
New england	   8
Dovvay	   6
Massachusetts state boston	   5
America boston	   5
White hall	   4
Martinique	   4
Duaci	   4
Dovay	   4
Carrick	   4
Blandford	   4
Massachuset boston	   3
Kentucky	   3
Augusta	   3
Wilmington delaware	   2
St georges grenada	   2
Saint pierre	   2
Dvaci	   2
Boston new england london	   2
Bostoni nov anglia	   2
Wilmingtoni wilmington del	   1
Wilmingtonii del	   1
St georges town grenada	   1
State massachusetts bay boston	   1
Saint pierre martinique	   1
La trinité martinique	   1
Bostonut	   1
Boston north america	   1
Bostoni nov anglorum mdccxxxiii	   1
Bostoni nov anglorum	   1
Bostoni nov angliâ	   1
Bostoni massachusettensium	   1
Bostoniae nov ang	   1
Bostoni aelig	   1
Bostoniae americae	   1
Bostoniæ	   1
Bostonæ nov anglorum	   1
Bosto n	   1
Bostn	   1
Bay state boston	   1
