original	polished	count
[S.l.	NA	424
[S.l.]	NA	45
[Newport, R.I.	newport	24
[Imprynted at London	imprynted london	23
[Newport, R.I.]	newport	19
Newport [R.I.]	newport	18
[Fishkill, N.Y.	fishkill	15
Imprynted at London	imprynted london	8
Imprentit at Edinburgh	imprentit edinburgh	8
[S.l	NA	8
Charles-Town [S.C.]	charles town	6
Poughkeepsie [N.Y.]	poughkeepsie	6
[Concord, N.H.]	concord	6
Printed at London, and re-printed at Edinburgh	london re edinburgh	6
Printed by His Majesties command at Oxford	majesties command oxford	6
[Edinburgh] Printed at London, and re-printed at Edinburgh	edinburgh london re edinburgh	6
[Poughkeepsie, N.Y.	poughkeepsie	5
[Newbern, N.C.	newbern	5
[Newport, R.I.?	newport	5
Newbern [N.C.]	newbern	5
[Enprynted at London	enprynted london	5
Charlestown [S.C.]	charlestown	4
Providence, in New-England	providence new england	4
Hudson [N.Y.]	hudson	3
Lansingburgh [N.Y.]	lansingburgh	3
Fish-Kill [N.Y.]	fish kill	3
Imprentit at Sanctandrois	imprentit sanctandrois	3
Printed by his Majesties speciall command at Cambridge	majesties speciall command cambridge	3
[s.l.	NA	3
[Fishkill, N.Y.?	fishkill	2
Printed in Hudson [N.Y.]	hudson	2
[Jacksonburgh, S.C.	jacksonburgh	2
[Amherst, N.H.]	amherst	2
Fish-kill [N.Y.]	fish kill	2
[Newbern, N.C.?]	newbern	2
[London? :bs.n.	london bs	2
[Imprentit at Edinburgh	imprentit edinburgh	2
Jmprinted at London	jmprinted london	2
Imprented at Edinburgh	imprented edinburgh	2
[Cambridge and London]	cambridge london	2
Prynted at London	prynted london	2
Printed at Oxford, and reprinted at Shrewsbury	oxford shrewsbury	2
[London and Oxford]	london oxford	2
St. John's in Antigua	st john's antigua	2
St. Ives in Huntingdonshire [England]	st ives huntingdonshire england	2
[Poughkeepsie [N.Y.]	poughkeepsie	1
A Amsterdam et a Leipzig	amsterdam leipzig	1
[Point-à-Pitre, Guadeloupe?	point pitre guadeloupe	1
[A la Point-à-Pitre	la point pitre	1
Pointe-A-Pitre, [Guadeloupe]	pointe pitre guadeloupe	1
Paris :b chez Nicolas Buon, rue S. Jacques a l'Enseigne Sainct Claude, & de l'homme Sauvage	paris b chez rue s jacques l'enseigne sainct claude de l'homme sauvage	1
[S.C.	NA	1
Printed at Poughkeepsie [N.Y.]	poughkeepsie	1
[Elizabeth, N.J.?	elizabeth	1
[Poughkeepsie, N.Y.?	poughkeepsie	1
[Raleigh, N.C.?	raleigh	1
Elizabeth-Town [N.J.]	elizabeth town	1
[Keene, N.H.]	keene	1
[Jacksonburgh, S.C.]	jacksonburgh	1
Poughkeepsie, Dutchess County [N.Y.]	poughkeepsie dutchess county	1
[Poughkeepsie, N.Y.]	poughkeepsie	1
Newburgh [N.Y.]	newburgh	1
Charles-town [S.C.]	charles town	1
Concord [N.H.]	concord	1
[Newbern, N.C.?	newbern	1
New-Windsor [N.Y.]	new windsor	1
[New Bern, N.C.	new bern	1
[Mount Holly, N.J.]	mount holly	1
A Philadelphie, et se trouve à Paris	philadelphie se trouve paris	1
[Lansingburgh, N.Y.]	lansingburgh	1
Poughkeepsie, [N.Y.]	poughkeepsie	1
[Newburgh, N.Y.?	newburgh	1
Warren (R.I.)	warren	1
A Newport [R.I.]	newport	1
[Hudson, N.Y.]	hudson	1
Salem, N.E.	salem	1
Schenectady [N.Y.]	schenectady	1
Keene: state of New-Hampshire	keene state new hampshire	1
Londres, et se trouve à Paris	londres se trouve paris	1
[Hamburg and London]	hamburg london	1
Basseterre in St. Christopher	basseterre st christopher	1
London and Francfort	london francfort	1
Londres [The Hague?]	londres hague	1
[Dubl]in	dubl	1
[Impr]inted at Lon[don	inted lon don	1
[Imprintit at Edinburgh	imprintit edinburgh	1
[Imprynted at London in Powles church yarde by Rycharde Iugge and Iohn Cawood printers to the Quenes Maiestie. Cum priuilegio Regiæ Maiestatis]	imprynted london powles church yarde rycharde iugge quenes maiestie cum priuilegio regiæ maiestatis	1
Imprimé à Londres par Richard Field, sur les copies impriméez à Tours & à la Rochelle	londres par sur les copies impriméez tours la rochelle	1
Imprented at Striviling	imprented striviling	1
Imprintit at Striviling	imprintit striviling	1
And imprentit [in Edinburgh	imprentit edinburgh	1
Imprentit at Striuiling	imprentit striuiling	1
In't Nederduyts over-gheset na't ghedruckte exemplaer van Londen	in't nederduyts over gheset na't exemplaer van londen	1
Imprinted in the Cathedrall Church of the blessed Trinitie Dublin	cathedrall church blessed trinitie dublin	1
[Imprynted at Londo[n]	imprynted london	1
[Imprinted at Roan by Martin Mesgissier, the kinges printer. 1585. With priuiledge. And imprinted at London	roan kinges priuiledge london	1
[Enprynted by me William Caxton in thabbey of Westme[n]stre by london, fynysshed, and accomplysshed the, viij, day of October, the yere of the incatnacyon of our lord God, M,CCCC,lxxxij and in the xxii yere of the regne of Kyng Edward the fourth	enprynted me thabbey westmenstre london fynysshed accomplysshed viij day yere incatnacyon our lord m cccc lxxxij xxii yere regne fourth	1
Prentyd at London	prentyd london	1
[Emprynted at westmynstre	emprynted westmynstre	1
[[Imprynted at London	imprynted london	1
Imprynted at Ca[n]terbury	imprynted canterbury	1
Prynted at Canterbury	prynted canterbury	1
[At Edinburgh ye 17. day of July	edinburgh ye day	1
[Enprynted in London	enprynted london	1
[Imprintyd at London	imprintyd london	1
[Enpre[n]tyd in the Duchye of Braband in the towne of Andewarpe	enprentyd duchye braband towne andewarpe	1
Translated out of the High-Dutch, and printed at London	translated out high dutch london	1
[Enprynted at Londo[n]	enprynted london	1
[Emprented in ye famous cite of Andwarpe	emprented ye famous cite andwarpe	1
[Imprynted at Lo[n]don	imprynted london	1
[Imprynted at London in Temstrete ouer agaynste the stiliardes, at the signe of the dobbel hood	imprynted london temstrete ouer agaynste stiliardes signe dobbel hood	1
Printed, by His Majesties command, at Oxford	majesties command oxford	1
Printed at London, and re-printed at Leith	london re leith	1
[n.l.	NA	1
[Edinburgh] Re-printed at Edinburgh	edinburgh re edinburgh	1
Printed at London, and reprinted at Dublin	london dublin	1
By order, re-printed at Edinburgh	re edinburgh	1
[Printed at London, and re-printed at Aberdene	london re aberdene	1
[Edinburgh] London printed, Edinburgh re-printed	edinburgh london edinburgh re	1
[Edinburgh] London printed, and re-printed at Edinburgh	edinburgh london re edinburgh	1
[Glasgow] London printed, and re-printed at Glasgow	glasgow london re glasgow	1
[Edinburgh] Printed at Dublin, and re-printed at Edinburgh	edinburgh dublin re edinburgh	1
Edinburgh :bprinted by the heir of Andrew Anderson, printer to His most Sacred Majesty	edinburgh bprinted heir his most sacred majesty	1
NA	NA	1
Printed first at London, and now re-printed at Edinburgh	london now re edinburgh	1
[London :bs.n.]	london bs	1
[London :bs.n.	london bs	1
London :printed by T. Moore in White-Fryers	london moore white fryers	1
Jmprinted at Dublin	jmprinted dublin	1
[S.l]	NA	1
[[S.l.	NA	1
Hagh [The Hague]	hagh hague	1
Imprinted first at London and reprinted at Edinburgh	london edinburgh	1
[London] :bPrinted for Edward Husband, printer to the Honorable House of Commons	london bprinted honorable house commons	1
Printed by His Majesties command, at Oxford, Ianuary 5.	majesties command oxford	1
By order re-printed at Edinburgh	re edinburgh	1
Printed by His Majesties command at Oxford, March 25	majesties command oxford	1
Londini excussum	londini excussum	1
Printed by His Majesties command at Oxford, Decemb. 21	majesties command oxford	1
[S.n.	NA	1
Printed by his Majesties command, at Oxford	majesties command oxford	1
Printed at London, to prevent mis-information	london prevent mis information	1
Imprinnted [sic] at London	imprinnted london	1
Imprinted at Dublin, and now reprinted at London	dublin now london	1
[London] : Printed for Tom Tell-troth at the sign of the Old Kings Head in Axe-yard in King street, Westminster	london tom tell troth sign old kings head axe yard king street westminster	1
Printed by His Majesties command at Oxford [i.e. London], February 24. By Leonard Lichfield, printer to the university.	london university	1
Oxford [and London]	oxford london	1
[s.l.]	NA	1
[S.l. : s.n.	NA	1
Imprinted at Yorke, and now reprinted at London	yorke now london	1
[Londo]n	londo	1
[S.n.]	NA	1
Printed by His Majesties command at Oxford, Novemb.18.	majesties command oxford	1
Printed by His Maiesties command at Oxford	maiesties command oxford	1
[Dublin] London: printed and re-printed	dublin london re	1
Printed by His Majesty command at Oxford	majesty command oxford	1
[Haverhill, N.H.]	haverhill	1
Portland (District of Maine)	portland district maine	1
[Bridgeton, N.J.]	bridgeton	1
Newburgh (Orange County) [N.Y.]	newburgh orange county	1
Mount Pleasant [i.e. Ossining, N.Y.]	ossining	1
Scipio (Onondaga County, S.N.Y.)	scipio onondaga county	1
Basseterre, in St. Christopher's [St.Kitts-Nevis]	basseterre st christopher's st kitts nevis	1
Schenectady, (State of New-York)	schenectady state new york	1
Bath, County of Steuben, State of New-York	bath county steuben state new york	1
[Washington, D.C.]	washington	1
City of Washington [D.C.]	city washington	1
Charlestown [Charleston, S.C.]	charlestown charleston	1
Frederick-Town: (state of Maryland)	frederick town state maryland	1
Newburgh (Ulster County )[N.Y.]	newburgh ulster county	1
London [and Birmingham, England]	london birmingham england	1
