Name	Count
N p	80
Abroad	21
Wilmington (DE or NC)	18
St Pierre	15
Providentiae	14
Jersey (St Helier or Jersey City NJ)	14
Concord (MA or NH)	9
Prs	8
North	8
Great britain	6
Augsburg or Augusta GA	5
Whitehaven GB	4
White hall (Whitehall PA or London)	4
Kentucky (Washington Ky or Frankfort Ky)	4
Carrick (Carrickfergus or Carrick-on-Suir)	4
Cap-Haitien	4
Winchester GB	3
Really abroad	3
Queb_ec	3
Borough	3
R	2
Pace	2
Nouiter london	2
N	2
Europe	2
Utopia	1
United state	1
S a	1
Rochell	1
Portsmouth GB	1
Permissu superiorum	1
Paslic	1
Nulun	1
N l	1
Menley	1
Melvill	1
Low countries	1
Little britain	1
La Trinite	1
Kemmish	1
Je ne sai ou	1
Insula	1
Imprinte d lon don	1
Imp	1
Illegible	1
Highwayman	1
Europ	1
Eleutheropolis	1
Elbl_g	1
Continental	1
Continent	1
Canterbury NH	1
Californien	1
Bwten lonnen	1
Bs l	1
Ambiguous	1
Albigion	1
Actually abroad	1
