Name	Count
Total count: 	87911
18th century.	20698
17th century.	 9329
Civil War, 1642-1649	 4387
17th century	 2760
18th century	 1644
Charles II, 1660-1685	 1609
Commonwealth and Protectorate, 1649-1660	 1532
Revolution, 1775-1783	 1491
William and Mary, 1689-1702	 1158
Charles I, 1625-1649	  951
1660-1688	  854
16th century.	  800
Revolution, 1775-1783.	  778
17th century.;17th century.	  670
1775-1783.	  664
1760-1789.	  612
To 1775.	  601
1775-1865.	  560
1500-1800.	  557
1727-1760.	  550
18th century.;18th century.	  550
Civil War, 1642-1649.	  447
1702-1714.	  445
Civil War, 1642-1649;1642-1649	  445
1789-1820.	  431
1649-1660	  420
1760-1820.	  406
War of 1689-1691	  378
Anne, 1702-1714	  371
18th century;18th century	  369
1625-1649	  343
Revolution, 1789-1799.	  334
Rebellion of 1641	  330
1689-1702	  322
1702-1714	  316
Revolution, 1789-1799	  315
Elizabeth, 1558-1603	  310
Early modern, 1500-1700.	  308
1660-1688.	  306
1642-1649	  304
Colonial period, ca. 1600-1775.	  281
James II, 1685-1688	  277
Commonwealth and Protectorate, 1649-1660;1649-1660	  274
Stuarts, 1603-1714	  270
George II, 1727-1760	  261
1714-1727.	  255
William and Mary, 1689-1702.	  252
Colonial period, ca. 1600-1775	  242
Revolution of 1688	  234
1760-1820	  230
Civil War, 1642-1649;17th century	  222
French and Indian War, 1755-1763.	  218
George I, 1714-1727	  218
Early modern, 1500-1700	  214
Restoration, 1660-1688	  213
Charles I, 1625-1649.	  203
1797-1801.	  192
Charles II, 1660-1685.	  177
Charles II, 1660-1685;1660-1688	  175
1789-1797.	  160
16th century	  159
17th century;Civil War, 1642-1649	  158
1689-1745	  157
1517-1648	  150
William and Mary, 1689-1702;1689-1702	  149
1603-1714	  147
George III, 1760-1820	  147
17th century;17th century	  145
1727-1760	  144
Puritan Revolution, 1642-1660	  138
1660-1714	  134
Civil War, 1642-1649.;1642-1649.	  134
Revolution, 1775-1783.;Revolution, 1775-1783	  131
18th century;18th century;18th century	  130
James I, 1603-1625	  130
Rebellion of 1798.	  129
1500-1799.	  126
1649-1660;Commonwealth and Protectorate, 1649-1660	  124
James I, 1603-1625.	  124
Charles I, 1625-1649;Civil War, 1642-1649	  121
Revolution, 1775-1783;Revolution, 1775-1783	  117
Louis XIV, 1643-1715	  114
George III, 1760-1820.	  113
Civil War, 1642-1649;Charles I, 1625-1649	  110
Anne, 1702-1714.	  108
George II, 1727-1760.	  108
Early works to 1800.	  104
Commonwealth and Protectorate, 1649-1660.	  103
Stuarts, 1603-1714.	  102
18th century.;18th century.;18th century.	   97
1688-1815.	   93
1660-1714.	   92
17th century.;Civil War, 1642-1649	   92
1760-1789	   90
1789-1799.	   89
Wars of Independence, 1556-1648	   89
1642-1649;Civil War, 1642-1649	   88
1689-1702.	   88
1714-1727	   87
Revolution of 1688.	   87
1789-1815.	   86
Primitive and early church, ca. 30-600	   84
17th century;War of 1689-1691	   81
1714-1760.	   80
Civil War, 1642-1649;1625-1649	   80
George I, 1714-1727.	   80
1649-1775.;17th century.	   78
1789-1820	   78
French and Indian War, 1755-1763	   78
17th Century.	   77
Union, 1801.	   76
19th century.	   75
Republic, 510-30 B.C.	   75
To 1800.	   74
Union, 1707.	   74
Charles I, 1625-1649;1625-1649	   70
Revolution, 1775-1783.;1775-1783.	   67
1648-1715	   66
1689-1714	   66
Union, 1801.;The Union, 1800.	   66
1783-1789.	   65
1649-1660.	   63
Primitive and early church, ca. 30-600.	   63
Revolution, 1775-1783;Revolution, 1775-1783.	   63
1508-1797	   62
To 1898.	   61
Early works to 1800	   60
French and Indian War, 1755-1763.;French and Indian War, 1755-1763.	   60
1775-1783.;Revolution, 1775-1783	   59
1775-1865.;18th century.	   59
1500-1800	   58
1648-1715.	   58
1714-1760	   58
1648-1714	   57
Elizabeth, 1558-1603.	   57
Civil War, 1642-1649;1603-1714	   56
17th century;Commonwealth and Protectorate, 1649-1660	   55
James II, 1685-1688;1660-1688	   55
Wars of the Huguenots, 1562-1598	   55
