original	polished	Count
1800.	1800	3713
1799.	1799	3548
1798.	1798	3354
1796.	1796	2931
1797.	1797	2911
1795.	1795	2717
1794.	1794	2508
[1800?]	1800	2304
1793.	1793	2219
1792.	1792	2113
1642.	1642	2010
1796]	1796	1752
1798]	1798	1726
1797]	1797	1702
1795]	1795	1700
1794]	1794	1629
[1800]	1800	1599
1791.	1791	1568
1788.	1788	1557
1792]	1792	1553
1793]	1793	1518
[1790?]	1790	1515
1790]	1790	1505
1660.	1660	1505
1787.	1787	1500
1790?]	1790	1472
1799]	1799	1466
1710.	1710	1446
1790.	1790	1433
1789.	1789	1407
1800]	1800	1384
1714.	1714	1351
1786.	1786	1339
1791]	1791	1284
1715.	1715	1283
1712.	1712	1257
1785.	1785	1234
1708.	1708	1225
1707.	1707	1223
1795?]	1795	1217
1702.	1702	1205
1784.	1784	1203
1713.	1713	1202
1709.	1709	1201
1716.	1716	1181
1789]	1789	1169
1783.	1783	1165
1711.	1711	1164
1704.	1704	1158
1701.	1701	1151
[1795?]	1795	1149
1681.	1681	1130
[1798]	1798	1123
1717.	1717	1121
1782.	1782	1108
1776.	1776	1107
1777.	1777	1102
1682.	1682	1100
1659.	1659	1092
1780?]	1780	1091
1705.	1705	1089
1689.	1689	1086
1683.	1683	1086
1774.	1774	1071
1774]	1774	1056
1685.	1685	1048
1775.	1775	1044
1703.	1703	1034
1700.	1700	1029
1684.	1684	1028
1770.	1770	1028
1773.	1773	1024
1719.	1719	1018
1648.	1648	1015
1706.	1706	1014
1750?]	1750	1014
1780]	1780	1012
[1795]	1795	1010
1641.	1641	1010
[1796]	1796	996
[1799]	1799	996
1718.	1718	991
1786]	1786	990
1775]	1775	983
1788]	1788	974
1661.	1661	944
1778.	1778	944
1784]	1784	943
1720.	1720	936
1779.	1779	929
1771.	1771	914
1767.	1767	913
1647.	1647	913
1777]	1777	909
1773]	1773	900
1766.	1766	898
1699.	1699	897
1780.	1780	891
1756.	1756	890
1776]	1776	886
1766]	1766	886
1643.	1643	885
1680.	1680	884
1696.	1696	883
1769.	1769	881
1722.	1722	879
1779]	1779	877
1758.	1758	873
1785]	1785	872
1760.	1760	869
1765.	1765	868
1697.	1697	865
1759.	1759	863
1721.	1721	861
1695.	1695	861
[1797]	1797	859
1768.	1768	859
1750.	1750	858
[1780?]	1780	858
1755.	1755	858
1772.	1772	852
1753.	1753	851
1800?]	1800	849
1690.	1690	844
1688.	1688	841
1769]	1769	840
1728.	1728	839
[1794]	1794	838
1764.	1764	836
1698.	1698	835
1770]	1770	833
1745.	1745	833
1781.	1781	829
[1793]	1793	824
1692.	1692	820
[1775?]	1775	817
1656.	1656	815
1741.	1741	811
1657.	1657	811
1727.	1727	810
1781]	1781	809
1757.	1757	807
1725.	1725	805
1691.	1691	805
1751.	1751	805
1765]	1765	805
1772]	1772	804
1754.	1754	804
1761.	1761	803
