Name	Count
Total count: 	n=475263 (100% non-NA values)
1800	10585
1795	 9310
1790	 8528
1798	 7825
1796	 7707
1799	 7240
1794	 7154
1797	 6989
1792	 6895
1793	 6879
1791	 5793
1780	 5588
1785	 5538
1775	 5499
1788	 5390
1789	 5207
1787	 4859
1786	 4739
1770	 4582
1784	 4394
1760	 4182
1774	 4169
1750	 4136
1783	 4083
1776	 4063
1777	 4052
1642	 4030
1779	 3699
1782	 3693
1773	 3616
1778	 3559
1781	 3540
1765	 3540
1710	 3421
1768	 3355
1772	 3353
1769	 3278
1766	 3264
1767	 3216
1771	 3125
1660	 3007
1761	 2953
1755	 2918
1700	 2850
1756	 2837
1762	 2830
1715	 2818
1689	 2790
1720	 2742
1764	 2737
1763	 2736
1714	 2660
1690	 2641
1757	 2599
1745	 2577
1753	 2571
1759	 2569
1740	 2568
1711	 2561
1730	 2556
1758	 2538
1712	 2492
1695	 2454
1701	 2446
1749	 2437
1748	 2436
1648	 2378
1725	 2377
1754	 2361
1751	 2350
1680	 2333
1735	 2285
1716	 2283
1739	 2261
1705	 2258
1713	 2253
1747	 2233
1702	 2233
1685	 2231
1727	 2211
1746	 2196
1721	 2184
1741	 2178
1736	 2178
1707	 2163
1688	 2162
1742	 2158
1733	 2158
1641	 2151
1681	 2149
1732	 2136
1709	 2119
1726	 2115
1643	 2114
1728	 2113
1752	 2109
1717	 2109
1704	 2090
1708	 2070
1719	 2017
1743	 2014
1682	 2013
1718	 2006
1744	 1988
1729	 1984
1731	 1976
1722	 1972
1659	 1961
1696	 1958
1734	 1945
1706	 1921
1703	 1910
1647	 1908
1737	 1900
1683	 1894
1724	 1860
1684	 1858
1698	 1849
1738	 1827
1691	 1811
1699	 1807
1679	 1787
1697	 1771
1649	 1767
1723	 1753
1692	 1653
1693	 1639
1661	 1633
1694	 1526
1650	 1506
1646	 1396
1687	 1391
1670	 1363
1644	 1362
1674	 1350
1653	 1349
1675	 1335
1678	 1329
1662	 1311
1645	 1278
1655	 1272
1663	 1270
1654	 1259
1658	 1250
1672	 1218
1657	 1212
1656	 1191
1686	 1187
1652	 1155
1677	 1152
1676	 1136
1673	 1132
1651	 1110
1671	 1061
1665	  977
1664	  970
1640	  859
1669	  843
1668	  799
1667	  740
1635	  732
1666	  708
1630	  703
1625	  689
1638	  673
1633	  643
1631	  642
1624	  614
1639	  610
1622	  609
1620	  598
1637	  579
1634	  578
1623	  571
1632	  567
1621	  558
1615	  545
1636	  537
1628	  535
1618	  535
1613	  517
1629	  505
1619	  503
1616	  495
1609	  476
1627	  471
1614	  461
1612	  456
1607	  449
1626	  441
1617	  435
1603	  435
1604	  425
1611	  415
1606	  412
1610	  408
1608	  408
1600	  398
1605	  377
1590	  354
1602	  334
1595	  326
1585	  321
1599	  316
1596	  312
1580	  304
1592	  303
1591	  300
1589	  297
1598	  295
1581	  288
1597	  279
1584	  279
1594	  263
1570	  261
1579	  260
1548	  257
1601	  256
1583	  254
1588	  249
1587	  245
1550	  238
1586	  236
1575	  225
1578	  216
1582	  210
1593	  208
1577	  207
1555	  195
1574	  180
1556	  180
1573	  175
1566	  171
1576	  170
1572	  168
1553	  168
1549	  167
1560	  164
1565	  161
1569	  155
1567	  152
1562	  151
1571	  150
1561	  144
1563	  143
1530	  139
1552	  138
1554	  136
1551	  133
1538	  129
1547	  128
1568	  123
1546	  118
1545	  118
1533	  114
1559	  113
1540	  112
1520	  112
1525	  110
1557	  108
1534	  107
1544	  106
1531	  106
1510	  106
1535	  105
1558	  101
1543	   99
1528	   94
1527	   91
1564	   89
1542	   88
1532	   86
1526	   83
1536	   82
1539	   81
1515	   79
1521	   77
1537	   76
1529	   70
1518	   69
1523	   65
1517	   65
1505	   63
1541	   60
1508	   60
1500	   59
1509	   57
1522	   54
1519	   53
1516	   52
1511	   44
1499	   42
1496	   42
1512	   39
1524	   38
1506	   37
1514	   35
1513	   34
1502	   34
1507	   33
1497	   32
1483	   32
1498	   28
1495	   27
1504	   25
1503	   25
1494	   23
156	   22
1490	   20
1501	   16
1477	   16
1485	   15
1480	   15
1493	   14
1492	   14
1481	   14
1484	   12
1491	    9
1489	    9
1482	    9
1476	    8
1487	    7
1486	    7
1479	    7
1488	    4
1	    4
700	    3
7	    3
6	    3
554	    3
3	    3
1478	    3
0	    3
689	    2
654	    2
653	    2
642	    2
5	    2
4	    2
169	    2
1475	    2
1474	    2
14	    2
82	    1
8	    1
792	    1
696	    1
695	    1
691	    1
687	    1
682	    1
671	    1
664	    1
661	    1
660	    1
658	    1
655	    1
641	    1
63	    1
62	    1
610	    1
596	    1
562	    1
560	    1
546	    1
53	    1
42	    1
361	    1
26	    1
23	    1
20	    1
19	    1
176	    1
175	    1
17	    1
167	    1
164	    1
16	    1
1473	    1
1462	    1
1456	    1
1455	    1
1441	    1
1388	    1
13	    1
1289	    1
1254	    1
1181	    1
1074	    1
1000	    1
10	    1
